father	اب
niqab	پوشیه
telephone number	شماره تلفن
goldfish	ماهی قرمز
mint	نعنا
watering can	آب‌پاش
vulture	کرکس
volunteer	داوطلب
athlete	ورزشکار
Mahan	ماهان
charger	شارژر
footballer	بازیکن فوتبال
player	بازیکن
anniversary	سالروز
equality	برابری
inequality	نابرابری
common	همدلی
temple	معبد
smartphone	تلفن هوشمند
scandal	رسوایی
اعتراف	اعتراف کردن
consent	رضایت
app	اپلیکیشن
air pollution	آلودگی هوا
consulate	کنسولگری
constitution	قانون اساسی
campaign	کمپین
European	اروپایی
employer	کارفرما
Indonesia	اندونزی
shop	فروشگاه
skirmish	درگیری
seek	ویدیدن
Torah	تورات
fight	جنگیدن
mastic	سقز
cardiac arrest	ایست قلبی
philosopher	فیلسوف
gout	نقرس
percent	درصد
torture	شکنجه کردن
cellar	زیرزمین
dripstone	کلفخشنگ
X-ray	پرتو ایکس
physicist	فیزیکدان
isotope	ایزوتوپ
intestine	روده
large intestine	روده بزرگ
small intestine	روده باریک
small intestine	روده کوچک
reporter	گزارشگر
digestive system	دستگاه گوارش
Paristan	پریستان
have sex	مرزیدن
piss	میختن
spin	ریسیدن
blame	نکوهیدن
whimper	نویدن
vomit	ومیدن
relax	آرمیدن
sneeze	اشنوسیدن
trot	پوییدن
songwriter	ترانه‌سرا
go down	فرود آمدن
evening	شامگاه
idea	ایده
period	پریود
natural birth	زایمان طبیعی
epidural	اپیدورال
Caesarean section	سزارین
umbilical cord	بند ناف
cervix	سرویکس
cervix	دهانه رحم
cervical cancer	سرطان دهانه رحم
stitch	بخیه
premature birth	زایمان زودرس
early	زودرس
آی	آی‌وی‌اف
post-natal depression	افسردگی پس از زایمان
ominous	مرخشه
fortunate	خجسته
link	لینک
village	روستا
shorts	شلوارک
rural	روستایی
rock and roll	راک اند رول
potable	آشامیدنی
rally	راهپیمایی
spring cleaning	خانه‌تکانی
mislead	گیفتن
impregnate	گشنیدن
split	گسستن
digest	گواریدن
digest	گواردن
Palace of Westminster	کاخ وست‌مینستر
Westminster	وست‌مینستر
Theresa	ترزا
hasten	شتافتن
hasten	شتابیدن
stimulate	وژولیدن
express	گزاردن
angle	زاویه
kidney	قلوه
forget	فراموشیدن
give birth	زاییدن
give birth	زادن
moon	لوخن
citron	ترنج
دروغ	دروغ گفتن
why	از چه روی
why	برای چه
furtive	ابیشه
confused	کالفته
stupid	کالیو
receipt	رسید
dance	وشتن
ping pong	پینگ‌پونگ
advanced	پیشرفته
banking	بانکداری
mortar	هاون
as	به عنوان
baby	نینی
Japan	واق واق
املا	املای نانوشته غلط ندارد
eastern	مشرقی
meadow	راغ
balustrade	دارابزین
basin	حوضک
spawn	اشپل
morning draught	صبوح
monsoon	بارسات
Kashmiri	کشمیری
share	نیابه
hoopoe	پوپو
tongs	کلبتان
tongs	کلبتین
harmful	زیانکار
afflicted	مبتلا
solicitude	عنایت
بلا	بلای عشق
بلاها	بلاهای عشق
اهل	اهل درد
password	گذرواژه
Ohrmazd	اورمزد
Jupiter	برجیس
wrecker	مخرب
صلح	روند
cautious	بر حذر بودن
diagram	نمودار
visible	پدیدار
successor	جانشین
horseman	سوارکار
pasture	سبزه‌زار
stand up	بر پای خاستن
Paul	پولس
Paul	پاول
smallpox	آبله
Echium amoenum	گل گاوزبان
clown	مسخره
nigger	سیاه سوخته
re-engage	دوباره مجذوب شدن
contest	مبارزه
hilt	قبضه
occupy	قبضه کردن
front porch	پیش ایوان
excuse	معذرت
incompetent	بی‌عرضه
rice	چلو
hurry up	بجنب
slip	شخشیدن
leaning	تکیه
samosa	سنبوسه
dark blue	شهلا
نرگس	نرگس شهلا
shortage	کمبود
anaemia	کم‌خونی
update	آپدیت
compatible	سازگار
نرگس‌ها	نرگس‌های شهلا
paragraph	پاراگراف
global warming	گرمایش زمین
coconut oil	روغن نارگیل
intent	نیت
good	حسن نیت
bad	سوء نیت
long	کشیده
mould	قالب
periplus	رهنامه
water cannon	ماشین آب‌پاش
vegan	وگان
millet	ارزن
coeliac disease	بیماری سلیاک
clinic	کلینیک
gluten	گلوتن
coeliac disease	سلیاک
central bank	بانک مرکزی
prevention	پیشگیری
Roger	راجر
Scythia	ساکاستان
Sistan	سجستان
Sistan	سیستان
Scythian	ساکا
Scythia	سکائستان
Scythian	سکا
Scythia	سکاستان
mini skirt	مینی‌ژوپ
start-up	استارتاپ
Sasan	ساسان
black pepper	فلفل سیاه
Iran	زاول
Sistan	زابلستان
Sistan	زاولستان
fidget spinner	اسپینر
rubber	پاک‌کن
pork	گوشت خوک
funny	خنده‌دار
cotton wool bud	گوش‌پاک‌کن
beef	گوشت گاو
chubby	تپل
technique	تکنیک
timeline	تایم‌لاین
wife	زوجه
inflection	تصریف
targe	درقه
tarhana	ترخینه
buttermilk	پینو
particle	پرگاله
illiterate	بی‌سواد
educated	باسوادی
literacy	سواد
به	به یاد داشتن
mixture	معجون
stroke	ضربه
arbitration	داوری
riches	توانگری
smooth	هموار
palm tree	نخله
search	سرچ
YouTube	یوتیوب
jar	بانکه
painting	نقاشی
incense	بخور
rani	رانی
violet	بنفشه‌ای
اهل	اهل مجلس
muskmelon	کاونجک
sprout	جوانه
a leopard cannot change its spots	لا تبدیل لخلق الله
people	اهل انصاف
people	اهل بیت
people	اهل جهان
people	اهل دل
people	اهل دیوان
people	اهل دنیا
people	اهل علم
people	اهل عشق
people	اهل فساد
people	اهل حال
people	اهل هنر
people	اهل حسد
notification	اطلاع
curl	زلف
now	فعلا
grass	سرسبز
emancipating	تحریر
holly	شرابه
encirclement	محاصره
برپا	برپا کردن
strangeness	غریبی
Montenegro	مونته‌نگرو
shy	غریبی کردن
enter	درآمدن
UNESCO	یونسکو
chief	مهتر
vagabond	عیار
sickle	حاخشوک
savory	مرزه
emphasis	تشدید
carter	چرخچی
messy	شلم شوربا
stew	شوربا
once upon a time	روزی از روزها
once upon a time	روزی روزگاری
mellifluous	شکرشکن
ungrateful	بی چشم و رو
away	زاستر
OPEC	اوپک
helmet	سالبرت
bottle gourd	سیکی
sparrow	چوغور
white	سیفید
banquet	میزد
heel	پاشنه
winepress	نسپار
parch	هواسیدن
stark	سترگ
toiler	رنجبر
fearful	هراسان
spread	مفسد فی الارض
extinct	منقرض
far-reaching	رسا
prison poem	حبسیه
lavash	لواش
varied	متنوع
Esperanto	اسپرانتو
underestimate	دست‌کم گرفتن
bless	برکت دادن
sign	اشاره
prime minister	وزیر اعظم
balloon	پفلنگ
torch	چراغ قوه
slap	تپانچه
ruined	خراو
haggling	چانه‌زنی
neurofibromatosis	نوروفیبروماتوز
sofa	کاناپه
spinal column	ستون فقرات
polygyny	چندزنی
polygamy	چندهمسری
insulin	انسولین
oestrogen	استروژن
evolution	تکامل
evolution	فرگشت
congenital	مادرزادی
stem cell	سلول بنیادی
blood bank	بانک خون
blade	تیخ
bottle	کیزه
election	انتخاو
bitter	تهل
partridge	کوگ
eyelash	مزلنگ
laser	لیزر
shoe	ارسی
3D printer	چاپگر سه‌بعدی
solution	راه‌حل
plum	گرجه
punishment	جزا
hull	قشر
milk	دوشیدن
tribe	عشیره
shaking	لرز
choice	گزینه
follow	فالو کردن
clip	کلیپ
surfing	موج‌سواری
chariot	عرابه
wavelength	طول موج
surfer	موج‌سوار
kitten	بچه‌گربه
reception	پاگشا
soup	شورباه
vitamin C	ویتامین ث
vitamin D	ویتامین دی
calcium	کلسیم
synthesis	سنتز
blood pressure	فشار خون
hypertension	فشار خون بالا
gestational diabetes	دیابت بارداری
blood sugar	قند خون
fatty liver	کبد چرب
traditional medicine	طب سنتی
retweet	ریتوییت کردن
pharmacology	داروشناسی
pharmacologist	داروشناس
group of death	گروه مرگ
oh God	خدایا
velvet	مخمل
scarlet fever	مخملک
headache	سردرد
social network	شبکه اجتماعی
dustman	رفتگر
fisherman	ماهی‌گیر
having sex	مرزش
vet	دامپزشک
veterinary medicine	دامپزشکی
international relations	روابط بین‌الملل
international law	حقوق بین‌الملل
red blood cell	گلبول قرمز
haemoglobin	هموگلوبین
white blood cell	گلبول سفید
duck	مرغابی
letter	مکتوب
crossbow	کمان زنبورکی
buckle	سگک
slide	سرسره
water slide	سرسره آبی
first aid	کمک‌های اولیه
period	رگل
menstrual cup	فنجان قاعدگی
mountaineering	کوهنوردی
quarter	چارک
curiosity	کنجکاوی
infertility	ناباروری
morning-after pill	قرص اورژانسی
آی	آی‌یودی
unwanted	ناخواسته
vomit	وامیدن
opposite	مقابل
map	نقشه
heir	وارث
list	لیست
cheese puff	پفک
now	حالی
dry-cleaning	خشک‌شویی
sewing machine	چرخ خیاطی
freezer	فریزر
wheelchair	ویلچر
bedroll	رختخواب
lame	رام
watchful	مراقب
demon	بغامه
chess-player	شطرنج‌باز
harmonica	سازدهنی
collar	یقه
collar	گریبان
polo-neck	یقه اسکی
angina	آنژین
angina pectoris	آنژین صدری
dressing	پانسمان
dental floss	نخ دندان
circle	محفل
beauty	رونق
census	سرشماری
thread	نخ
goatskin	تیماج
meteorite	شهاب‌سنگ
meteorite	سنگ آسمانی
tennis player	تنیس‌باز
tennis player	تنیسور
tennis elbow	آرنج تنیس‌بازان
ring	انگشتر
wedding ring	حلقه ازدواج
engagement	نامزدی
engagement ring	حلقه نامزدی
homelessness	بی‌خانمانی
homeless	بی‌خانمان
homelessness	گورخوابی
homelessness	کارتن‌خوابی
homeless	کارتن‌خواب
postponement	تعویق
random	تصادفی
rapeseed	کلزا
appetite	اشتها
energy drink	نوشابه انرژی‌زا
thickness	ضخامت
summary	خلاصه
آتش	آتش زدن
tear gas	گاز اشک‌آور
pepper spray	اسپری فلفل
Molotov cocktail	کوکتل مولوتف
couplet	بیت
Bible	کتاب مقدس
container	کانتینر
container	بارگنج
Hanseatic League	هانزا
exit	خروجی
arrogance	خودپسندی
arrogant	خودپسند
infected	عفونت کردن
patrol	گشت
guard	کشیک دادن
guard	پاسبانی کردن
strangled	خفه
suffocation	خفگی
expectant	پرتوقع
bruise	کبودی
garrison	پادگان
cover	پوشش دادن
interrogation	بازجویی
interrogate	بازجویی کردن
soot	دوده
radical	رادیکال
success	موفقیت
thankful	متشکر
متشکر	متشکر بودن
سپاسگزار	سپاسگزار بودن
ممنون	ممنون بودن
owner	خداوند
gum	لثه
false teeth	دندان مصنوعی
electric toothbrush	مسواک برقی
thank you	ممنونم
tooth enamel	مینای دندان
سفید	سفید کردن
algorithm	الگوریتم
unboxing	آنباکسینگ
تلگراف	تلگراف‌خانه
smartwatch	ساعت هوشمند
telegraph	تلگراف
satellite	ماهواره
satellite internet	اینترنت ماهواره‌ای
ZWNJ	ماهواره‌ای
ZWNJ	نفتکش
fossil	سنگواره
fossil	فسیل
anarchy	هرج و مرج
cot	گهواره
fascism	فاشیسم
dictatorship	دیکتاتوری
fortunately	خوشبختانه
shameful	شرم‌آور
shameless	بی‌شرم
farriery	نعلبندی
story	حدیث
intifada	انتفاضه
sparkler	فشفشه
defence	پدافند
anti-satellite	ضد ماهواره
transsexual	تراجنسی
oval	بیضی
rabbi	خاخام
Isfahan	راوند
healthy	درواخ
ربانی	دعای ربانی
counted	شمرده
death knell	ناقوس مرگ
khasra	خسره
first	اولین
Mazandaran	نکا
Airbus	ایرباس
inkwell	دوات
sail	بادبانی
Bahá'u'lláh	بهاءالله
Bahá'í Faith	بهائیت
change	بدعت
kaymak	شمه
unprecedented	بی‌سابقه
kaymak	قیماق
که	کزین
faggot	بچه کونی
grandpa	بابابزرگ
bishop	سکوبا
curd	هلونگ
deep state	دولت عمیق
museum	موزیم
vulgar	سبشت
crushed	درشته
penguin	پنگوئن
printer	پرینتر
famine	قحط
اژدهایان	اژادر
bastard	سندره
he-goat	نخواز
plunder	تاراج
river	فرب
artilleryman	توپچى
struggle	تنازع
scholar	محقق
lemon balm	بلنجمشک
mugwort	بلنجاسپ
pennyroyal	پونه
wreath	گرزن
leer	آغیل
shrike	ورکاک
grapeseed	تکز
ZWNJ	روسپی‌زاده
Lech	لچ
fish	پشیز
whistle	هشپلک
stale	بیات
dishonorable	گیاده
wave	لهر
grass	غرواس
pasture	جرامین
increase	افزایش پیدا کردن
increase	افزایش یافتن
این	این چیه
precocious	روچه
light	راوک
raisin	سکج
weigh	سنجیدن
tattered	سخش
tahini	ارده
liberate	رهانیدن
motorway	اتوبان
motorway	آزادراه
testosterone	تستوسترون
leaven	خمیرمایه
deceitful	سالوس
three hundred	سیصد
oh man	ای بابا
flake	فلس
soft	لشن
bravo	شاباش
deadline	مهلت
architecture	مهرازی
architect	مهراز
Djibouti	جیبوتی
San Marino	سن مارینو
Swaziland	سوازیلند
Seychelles	سیشل
غربی	صحرای غربی
Comoros	کومور
Mauritius	موریس
Gabon	گابن
Lesotho	لسوتو
Democratic Republic of the Congo	جمهوری دموکراتیک کنگو
Tanzania	تانزانیا
Mozambique	موزامبیک
Cameroon	کامرون
Malawi	مالاوی
phenomenal	خارق‌العاده
Zimbabwe	زیمبابوه
Burundi	بوروندی
Eritrea	اریتره
گرم	دمت گرم
glossy	خوشاب
visible	پیداوار
Maldives	مالدیو
Brunei	برونئی
Ugaritic	اوگاریتی
امیر	امیرحسین
dew	بژم
clasp	ابزیم
distressed	پریش
Jalal	جلال
São Tomé and Príncipe	سائوتومه و پرنسیپ
accusation	بهتان
بهتان	بهتان زدن
obscene	قبیح
competitor	هماورد
Upanishad	اپنکهت
place	جایگاه
moon	ماهچه
cereal	غله
صدمه	صدمه دیدن
صدمه	صدمه زدن
waiter	پیشخدمت
wasteland	برهوت
horse	ریباری
shake	رعشه
disorderly	مغشوش
how	چگونه
astronaut	فضانورد
comfort	بساخ
inclination	میل
horse	نزوق
anxious	مشوش
uninterested	ملول
most	بیشترین
outlaw	لوتی
legume	هرول
joy	هرواج
tefilla	تفیلا
sun	لیو
cicada	زنجره
distorted	معوج
enjoy	کیف کردن
curd	دراغ
sixth	دانگ
shelter	ابشتن
silk	یپک
ladle	ملاقه
pavilion	پرده‌سرای
scratch	خدشه
enclosure	پرواس
sorcery	فرهست
possession	انفست
beet	چغندر
Dejagah	دژآگه
Ghoochannejhad	قوچان‌نژاد
Sosha	سوشا
penalty	پنالتی
red card	کارت قرمز
offside	آفساید
FIFA	فیفا
derby	داربی
Mahdavikia	مهدوی‌کیا
Queiroz	کی‌روش
royal family	خانواده سلطنتی
central heating	شوفاژ
well	چاه
oil well	چاه نفت
bureau de change	صرافی
lion	هژبر
riddle	بردک
Middle Eastern	خاورمیانه‌ای
tailpiece	سیم‌گیر
nut	شیطانک
Nima	نیما
gel	ژل
violin	ویولن
آزمایش	آزمایش خون
mezuzah	مزوزا
wheat flour	سمد
futsal	فوتسال
Dadashpour	داداش‌پور
viola	ویولا
کاشی	کاشی‌کاری
pus	استیم
reef	آبسنگ
coral reef	آبسنگ مرجانی
جوجه	جوجه‌تیغی
vegetarianism	گیاهخواری
chemical reactor	رآکتور شیمیایی
reactor	رآکتور
chemical	شیمیایی
nuclear engineering	مهندسی هسته‌ای
husband	همسریابی
affect	هناییدن
friend	دوست‌یابی
mut'a	صیغه
proposal	خواستگاری
finally	بالاخره
DM	دایرکت
debug	دیباگ کردن
router	روتر
port	پورت
structure	ساختار
Hojaji	حججی
miner	معدنچی
periodic table	جدول تناوبی
ornament	آذین
electrical engineering	مهندسی برق
computer engineering	مهندسی کامپیوتر
software engineering	مهندسی نرم‌افزار
mechanical engineering	مهندسی مکانیک
aerospace engineering	مهندسی هوافضا
chemical engineering	مهندسی شیمی
browser	مرورگر
motherboard	مادربرد
webcam	وب‌کم
software engineer	مهندس نرم‌افزار
electrical engineer	مهندس برق
mechanical engineer	مهندس مکانیک
oat	یولاف
swimmer	شناگر
Daneshgar	دانشگر
razor	خودتراش
sign language	زبان اشاره
کم	کم‌شنوا
hearing	شنوا
evil	بختک
valuable	ارزشمند
compartment	حجره
black-and-white	یا رومی روم، یا زنگی زنگ
black-and-white	نه رومی روم، نه زنگی زنگ
evening	ایوار
dawn	شبگیر
skiff	زورق
frog	بک
mind	خاطر
barometer	فشارسنج
clew	کلاف
kaf	کاف
Tabriz	تبریزی
yawn	خمیازه
bolster	متکا
worried	نگران
convulsion	تشنج
heart failure	نارسایی قلب
heart attack	سکته قلبی
chronic	مزمن
rumen	اشکمبه
scarecrow	مترسک
island	ابخست
emergency	اضطراری
medicine	پزشکی
sweet flag	وج
exalted	معظم
ammonium chloride	نوشادر
Bryonia	فاشرا
Tetraclinis articulata	سندروس
happiness	سعادت
role	نقش
result	حاصل
prevalence	رواج
backpack	کوله
convex	گوژ
humpback	گوژپشت
destination	مقصد
nowhere	تورقوزآباد
nowhere	هیچ‌جا
car wash	کارواش
anthropologist	مردم‌شناس
cryptic	مرموز
fern	سرخس
portico	رواق
hobby	تفنن
Kashk	کشک
wagon	هم‌پالکی
Mazanderani	مازنی
cave	مغاره
type	سنخ
cronyism	پارتی بازی
fanfare	طمطراق
synagogue	کنشت
شب	شب چله
تابستان	چلهٔ تابستان
چله	چله‌ی تابستان
زمستان	چلهٔ زمستان
چله	چله‌ی زمستان
شب چله	شب چله‌ی زمستان
شب یلدا	شب یلدا
chestnut	شاه‌بلوط
club	وفنوک
beast	هیون
saddlecloth	ادرم
saddlebag	خرجین
شکلاتی	شکلاتی
گاززده	دونات
فنجان	شکلات داغ
فنجان	هات چاکلت
group	فوج
Persian	ادب فارسی
vagrant	ویلان
grow	گوالیدن
foster	پروردن
maidservant	کنیز
harvest	کرپا
anise	انیسون
anise	بادیان رومی
fennel	رازیانه
perch	پدواز
lime	گرچ
dizzy	گیج
flowerbed	گلشن
hall	تارمی
scissors	کازود
cubit	ارش
homework	مشق
spurge	شبرم
Hiva	هیوا
wallflower	خیری
dog rose	نسترن
bee	کلیز
disquiet	تشویش
box	شمشاد
holly	کولخاس
Zhovan	ژوان
Ronak	روناک
unlucky	کم‌بخت
restive	چموش
squid	انکاس
abase	انک کردن
embarrassed	کنفت
evilness	خاتوله
vessel	خنور
grumble	غرنبه
common rock thrush	باسترک
abstinent	هیوند
Soroosh	سروش
deposit	ودیعه
salty	خوش‌نمک
dispute	شلتاق
scimitar	پلارک
beat	کویستن
churn	نهره
stunted	کلته
beer	بگنی
scattered	پید
asylum	سامه
glorious	مجدانی
vigorous	قبراق
aware	آگاه
cloak	فرچی
accidentally	اتفاقاً
waste	اتلاف
shudder	چندش
bane	یمان
provision	آذوقه
sack	چنته
fall down	ریستن
quilt	دواج
expulsion	اخراج
saddle	دفنوک
poor	سالوک
horrible	انر
Aryan	انیر
egg	استینه
how	چجور
Pooran	پوران
Poorang	پورنگ
torch	مشعل
fight	آفند
bulky	یغر
goitre	جخش
firm	رست
bog	بروشک
crack	رخنه
Babylonian	بابلی
attain	یازیدن
money belt	همیان
secret	اسرار
method	اسلوب
subscription	اشتراک
stable	اصطبل
not at all	اصلاً
improvement	اصلاح
porosity	تخلخل
cloth	قنداق
bond	پته
crossbar	فلنج
sweet flag	اگیر
shout	هوار
far away	پرت
resin	راتینه
noodle	اگرا
oblique	اریب
jerib	جریب
elecampane	راسن
shrewd	الپر
piece	الیف
babble	بادرم
ground meat	قیمه
stew	غرمج
Mazdak	مزدک
plunder	هپل هپو
plunder	هپلی کردن
fan	بادبیزن
woad	وسمه
shrewd	ارغه
pressure cooker	زودپز
ajwain	نغنخواد
taste	خوا
ziziphora	ژاژ
disperse	گشفتن
pluck	ارود کردن
tease	شید کردن
neigh	شیهه
put off	دول دادن
west	باختر
سورپرایز	سورپرایز
mongoose	خدنگ
plough	خیش
flagstone	ویم
messenger pigeon	کالوج
pimp	جابیز
feverfew	کوپل
screw pine	گیدی
bustard	هوبره
happening	تاور
beadle	چاوش
shed	کپر
fodder	قرموت
donkey	استحمار
املای نانوشته غلط ندارد	ندارد
unwritten	نانوشته
sly	مکار
sly	حیله‌گر
trickster	ترفندباز
marine	آبزی
herring	شاه‌ماهی
salmon	ماهی آزاد
scroll	طومار
Belarusian	بلروسی
assist	پاس گل
transistor	ترانزیستور
waiting	منتظر
archives	بایگانی
music video	نماهنگ
conference	همایش
hamza	همزه
cafetière	فرنچ پرس
beach volleyball	والیبال ساحلی
volleyball	والیبال
Meysam	میثم
kidney stone	سنگ کلیه
chicory	کاسنی
circus	سیرک
theoretical physics	فیزیک نظری
superposition	برهم‌نهی
Kamyar	کامیار
Easter	عید پاک
diode	دیود
osmosis	اسمز
artificial intelligence	هوش مصنوعی
inheritance	میراث
welder	جوشکار
welding	جوشکاری
solar cell	سلول خورشیدی
perovskite	پروسکایت
paddy field	شالیزار
creature	مخلوق
اپلای	اپلای کردن
impedance	امپدانس
کشتی	کشتی آزاد
finalist	فینالیست
Western-style toilet	توالت فرنگی
spelling	املا
Northern Ireland	ایرلند شمالی
squat toilet	توالت ایرانی
Dastmalchi	دستمالچی
serpent	اربد
turpeth	تربد
homophobic	همجنسگراهراس
homophobic	همجنس‌گراهراس
cleanse	پالودن
sandpaper	سنباده
cup	پنگان
forced labor	بیگاری
place	جای
spark	ابیز
shoemaker	کفاش
ladle	کفچه
hey	هی
executioner	جلاد
hollow	پوکی
error	خطا
marriage	کابین
meadow-saffron	سورنجان
certainly	مسلما
bridle	لگام
congress	کنگره
badly	بدحجاب
numerosity	تکثر
lock	کلف
trick	مکر
خود	خود نوشتن
leader	سرکرده
praise	ستایش
marigold	آذرگون
Sogdiana	سغد
cultural pessimism	چی بودیم، چی شدیم
zerumbet	زرنباد
zedoary	جدوار
zedoary	ژدوار
grace	فیض
layer	البا
shoe	چپت
unruly	وروجک
mischievous	تخس
non-existence	نیستی
Xwanirah	خونیرث
pink	صورتى
leader	سالار
deer	گوزن
last	پارسال
oriental plane	صنار
last year	سال پیش
last year	سال گذشته
aware	هوشیار
jasmine	یاسمن
dish	سکوره
Khuzestan	خوزستان
Ahvaz	اهواز
هنر	دپارتمان
cylinder	استوانه
hamza	ملکه همسر
hamza	ملکه حاکم
rascal	دغا
undertunic	سدره
مرگ	مرگ بر
hole	مغاک
اندیشه	اندیشه نیک، گفتار نیک، کردار نیک
دنبال	دنبال آمدن
dinar	دینار
reward	پاداش
Ahasuerus	احشوروش
lizard	مارمولک
delay	درنگ
variable	متغیر
comedy	کمدی
thermometer	دماسنج
temperature	دما
heat	حرارت
thermal	حرارتی
thermal	گرمایی
oak apple	مازو
epistemology	معرفت‌شناسی
hemlock	شوکران
archaic	استاذ
rare	اوستاد
scholarly	استادانه
petition	عرض حال
petition	عرضحال
perform	بی‌ گدار به آب زدن
ethnic	قومی
order	فرمایش
Kashmir	قشمیر
offender	متخلف
aid	همیاری
about	در مورد
recompense	عوض
collide	به هم خوردن
accident	تصادف کردن
run over	زیر گرفتن
slip	سر خوردن
faint	غش کردن
faint	غش
bruised	کبود شدن
fender	گلگیر
smashed	له شدن
slippery	لیز
slide	لیز خوردن
come	پیش آمدن
pass	خوش گذشتن
enter	وارد شدن
get up	پا شدن
approach	نزدیک شدن
deceive	گول زدن
annoy	اذیت کردن
grumble	ژکیدن
appear	پدید شدن
invisible	ناپدید
disappear	ناپدید شدن
repair	تعمیر کردن
early riser	سحرخیز
loudspeaker	بلندگو
signatory	امضا کننده
legible	خوانا
sighted	بینا
capable	گویا
childish	بچگانه
continue	ادامه دادن
ezafe	در طول
bench	نیمکت
beat up	کتک زدن
handgun	تفنگچه
Dönmeh	دونمه
nymph	حوری
soapwort	غاسول
branch	شعبه
guide	قلاوز
little	زنبورک
Daphne mezereum	مازریون
litharge	مردار سنگ
crane	جر ثقیل
defend	دفاع کردن
birthwort	زراوند
long pepper	دارفلفل
abstinence	خویشتنداری
declaration	ابراز
provoking	مضحک
Muslim	حمزه
جر ثقیل	جرثقیل
head	کله
Tehran	زورا
Baghdad	مزوره
Sri Lanka	سرندیپ
Serendip	سراندیپ
without	ناچار
ilkhan	ایلخان
Hulagu	هولاکو
psychologist	روان‌شناس
participation	مشارکت
really	واقعا
Turan	توران
trade	سودا
كمكهاى	کمک‌های
hazardous	خودکشی از ترس مرگ
parliamentary group	فراکسیون
wink	چشمک
Isfahani	اصفهانی
royal	شاهانه
vestibule	دهلیز
epithet	انوشیروان
travel	سیاحت
brocade	دیبا
gift	تحفه
remedy	چاره
family tree	شجره
weaver	مکوک
rebellion	عصیان
Antioch	انطاکیه
غربی	آسیای غربی
ultrasound	فراصوت
bravery	شجاعت
teapot	قوری
patriarchy	پدرشاهی
patriarchy	پدرسالاری
thus	ایدون
vacuum cleaner	جاروبرقی
Asu	آسو
moderation	اعتدال
stilyard	قپان
corrupt	تباه
ravage	دریدن
bronchus	نایژه
anarchism	آنارشیسم
sevruga	اوزون برون
paradise	مینو
rice	شلتوک
rice	شالی
eye	توک
trousers	نیفه
defeated	مغلوب
defeat	شکست
sarcocol	انزروت
lose	از دست دادن
treasurer	خزینه‌دار
bride	دغد
bride	بیو
pail	ستل
spinach	شومین
white mustard	اسپندان
strawberry	چیلک
Persian shallot	زافه
friend	جوره
fire-worshipper	آتش‌پرست
impolite	بی ادب
pull out	آهیختن
educate	فرهیختن
caper	کبر
Gemini	دوپیکر
model	پیشوا
circle	چنبر
harper	چنگی
vault	چارطاق
شب	شب‌بوی
شب	شب‌بو
marching	سورسات
safe	ایمن
marble	تیله
turned	نگون
later	پسان
aggressive	جنگره
wild	بدرام
wudu	دست‌نماز
priest	کشیش
laurel	دهمست
laurel	دهمشت
outsourcing	برون‌سپاری
crowdsourcing	جمع‌سپاری
beekeeper	زنبوردار
beekeeping	زنبورداری
insecticide	حشره‌کش
colony	مستعمره
capitalism	سرمایه‌داری
colonize	استعمار کردن
colonialist	استعمارگر
colonization	مستعمره‌سازی
phototherapy	نوردرمانی
chemotherapy	شیمی‌درمانی
immunotherapy	ایمنی‌درمانی
distance	فاصله
spacing	فاصله‌گذاری
side	سوی
radiotherapy	پرتودرمانی
radiotherapy	رادیوتراپی
radio	رادیویی‌
radiography	پرتونگاری
tomography	برش‌نگاری
in the meantime	در این فاصله
crystallography	بلورنگاری
legislation	قانون‌گذاری
legislate	قانون‌گذاری کردن
machine translation	ترجمه ماشینی
car	ماشینی
gene therapy	ژن‌درمانی
catheter	کاتتر
angiography	رگ‌نگاری
angiography	آنژیوگرافی
echography	پژواک‌نگاری
prostatectomy	پروستات‌برداری
mutation	جهش
mutant	جهش‌یافته
old age	پیری
stem cell	یاخته بنیادی
identifier	نشانگر
capital	سرمایه
investor	سرمایه‌گذار
investment	سرمایه‌گذاری
invest	سرمایه‌گذاری کردن
collective	جمعی
crowdfunding	سرمایه‌گذاری جمعی
roommate	هم‌اتاقی
shake	تکاندن
sunbeam	پرتو آفتاب
irradiate	پرتو زدن
spool	قرقره
electrification	برق‌رسانی
electric	برقی
escalator	پله‌برقی
electrician	برق‌کار
tobacco	تنباکو
prey	طعمه
predator	درنده
T-junction	سه‌راهی
extension block	سیم‌سیار
convoluted	پیچاپیچ
complicated	پیچیده
clot	لخته
clot	لخته شدن
strip	نوار
electrocardiogram	نوار قلب
Gaza Strip	نوار غزه
uroflowmetry	نوار مثانه
mammography	پستان‌نگاری
mammography	ماموگرافی
genetic engineering	مهندسی ژنتیک
molecular	مولکولی
molecular engineering	مهندسی مولکولی
nebula	سحابی
biomedicine	زیست‌پزشکی
pluripotent	پرتوان
extraterrestrial	فرازمینی
monastery	خانقاه
relatives	بستگان
ask after	سراغ گرفتن
pluripotency	پرتوانی
sign	سراغ
natural	نهادی
health	سلامتی
think	سگالیدن
maternal aunt	دایزه
penfold	آغل
spider	جولا
ink	زکاب
stove	دیگدان
witness	گواه
OK	باشه
mundane	دنیوی
tariff	تعرفه
secularism	سکولاریسم
seedless	بی‌دانه
milk	لوغیدن
fire	اخراج کردن
fire	اخراج شدن
I love you	دل می‌باله ترا
delay	لفت دادن
decrease	افت کردن
hang	آویزان کردن
pheasant	قرقاول
jizya	جزیه
