one	on
Doric order	dorika
quaestor	questoro
sir	sioro
Excellency	sinioro
honour	honorizar
blossom	florifar
report	raportar
attent	atencigar
reader	lektero
develop	evolucionigar
situated	situesar
taste	saporar
taste	saporo
hand over	transdonar
succeed	sucesar
pasture	pastureyo
trench	trancheo
alms	almonar
lease	farmar
distribute	distributar
boast	fanfaronar
philosophise	filozofiar
regret	regretar
sustain	entratenar
squirt	spricar
collaborate	kunlaborar
reader	lektanto
better	plubonigar
song	kansono
revise	revizar
copy	exemplero
publisher	editerio
against	kontre
attitude	atitudo
narrow-minded	bigota
caricature	karikaturo
plastic	plastikala
inherent	inherar
nominated	nominesar
contrary	kontrea
census	kontado
extinguish	extingar
dining room	manjo-chambro
house of worship	pregeyo
station	staciono
chapter	chapitro
attractive	atraktiva
plant	plantacar
count	kontar
leather	ledra
educational	lerneyo
permanent	permananta
place	dormeyo
emotion	emoco
truck driver	kamionisto
commit suicide	su-ocidar
suicide	su-ocido
permanent	permanar
dine	dinear
supper	supear
supper	supeo
meal	repasto
picnic	piknikar
disorder	desordino
misfortune	desfortuno
swimming pool	balno-baseno
bath	balno
bath tub	balno-kuvo
broom	balayilo
sweep	balayar
garage	gareyo
breakfast	dejunetar
garage	garar
pattern	shablono
Wikipedia	Wikipedio
Wiktionary	Wikivortaro
cardinal	kardinala
thief	furtisto
boycott	boikoto
boycott	boikotar
dek	dek-e-un
dek	dek-e-du
dek	dek-e-tri
dek	dek-e-quar
dek	dek-e-kin
dek	dek-ed-un
dek	dek-ed-ok
dek	dek-e-sis
dek	dek-e-sep
dek	dek-e-ok
dek	dek-e-non
thrice	trifoye
twice	dufoye
aged	evoza
stroke	stroko
resembling	miraklatra
granted	grantesar
perfection	perfektigo
woo	kurtezar
capricious	kapricema
decapitate	senkapigar
pacify	pacifar
stroke	strokar
trimming	bordumo
socklike	kalzumo
brassard	brakiumo
swarming	formikumo
swarm	formikumar
milt	laktumo
neck	nukumo
strut	pavonumo
peacock	pavono
strut	pavonumar
honorary	honorumala
mundane	mondumala
appropriate	-al-
dark	obskura
grow	kreskar
grow	kreskigar
sphinx	sfinxo
handful	manuedo
crutch	grucho
cheerfulness	gayeso
possession	havajo
contents	-ed-
reindeer	rentiro
game	vildo
biotechnology	bioteknologio
biomechanics	biomekaniko
mechanics	mekaniko
biomechanism	biomekanismo
podcast	podkasto
homosexual	homeosexuala
homosexual	homeosexualo
canine	hundala
Lent	karesmo
forgive	pardonez
orchestral	orkestrala
radioactivity	radioaktiveso
resolution	rezolvo
squad	esquado
squadron	eskadro
squadron	eskadrono
octet	bicoko
night	noktar
daytime	jornar
welcome	bonvenez
Ido	Idala
numerical	numerala
stepbrother	stif-fratulo
stepsister	stif-fratino
stepsibling	stif-frato
stepchild	stif-filio
stepparent	stif-genitoro
stepson	stif-filiulo
stepdaughter	stif-filiino
stepfather	stif-patro
stepmother	stif-matro
step-	stif-
dig	fodar
under	adsub
toll	tinklar
donee	donacario
trustee	depozario
depositor	depozanto
draw back	retrotirar
go back	retroirar
succor	sokursar
reinforcement	sokurso
breadfruit	artokarpofrukto
Artocarpus	artokarpo
hazelnut	avelano
bergamot	bergamoto
cherry	cerizo
citrus fruit	citrusfrukto
citrus	citruso
beechnut	fagonuco
walnut	nuco
nutcracker	nucoruptilo
contact	ruptilo
blackcurrant	kasiso
her	elua
chest	pektoro
framework	eshafodo
mental hospital	dementerio
go out	ekirar
vehicle	vehilo
pawn	piono
cortex	kortico
pâté	pasteto
smell	flarar
homicide	hom-ocido
murder	ocido
split	fendar
rub	fricionar
sew	sutar
float	flotacar
solidify	konjelar
obtuse	obtuza
extract	extraktar
extract	extrakto
enthusiastic	entuziasmoza
eloquent	eloquenta
suppress	supresar
dedicate	konsakrar
slay	egorjar
actor	aktorulo
against	kontre-
contradict	kontredicar
chair	sidilo
cradle	bersilo
spinal cord	myelo
teach	docar
yawn	ocitar
play	muzikar
avalanche	avalanchar
choose	selektar
err	erorar
defecate	kakar
me	me havas questiono
interview	interviuvar
interviewer	interviuvanto
interviewee	interviuvato
interview	interviuvo
sexuala	sexuala orientalizo
since	depos
substitute	substitucar
hound	chasohundo
hunt	chaso
Czechia	Chekia
Luxembourg	Luxemburgia
Georgia	Gruzia
Switzerland	Suisia
pro	pro ito
web page	retopagino
draw	cherpar
father	patrulo
glucose	glikoso
utensil	utensilo
kinetoscope	cinematografilo
-fold	-opla
Psalms	Psalmi
mustard plaster	sinapismo
gulf	gulfo
crime	krimino
violate	violacar
goods van	charioto
bus	omnibuso
sink	sinkar
mourning	traurar
mourning	trauro
brioche	briocho
manufacture	fabrikar
strand	strandar
raft	rafto
Israelite	Izraelido
betroth	fiancar
fiancé	fiancito
fiancé	fiancitulo
fiancée	fiancitino
spell	espelar
pronounce	pronuncar
accept	recepcionar
machine gun	mitralioso
reception	recepciono
prophet	profetala
weld	weldar
is	oportar
menagerie	menajerio
embrace	embracar
practice	aviacar
aviation	aviaco
compute	komputar
user	uzero
defecate	fekifar
there	adibe
nourish	nutrar
work	laboruro
cruel	kruelajo
use	apliko
member	borgezo
subtle	subtilajo
found	fondesar
possible	neposibla
world language	mondolinguala
intermingle	intermixo
sustain	susteno
suffice	suficar
fitting	decar
directorship	direktado
satisfy	kontentigar
discuss	diskutesar
emerge	emersar
giraffe	jirafo
prove	pruvar
advise	konsilar
unite	unionesar
stimulate	stimular
railway	fervoyala
railway	fervoyo
verbal	vortala
parish	paroko
begin	rikomencar
agree	konkordar
delivered	livresar
perish	perisar
passion	pasionoza
learn	saveskar
whistle	siflar
fixed	fixigesar
heroism	heroeso
translation	tradukenda
emirate	emirio
stay	sejornar
consent	konsentar
candy	bonbono
pick	koliar
eat	manjesar
rock	rokoza
scarce	skarsa
new	nuva
have	fantaziar
have	afecionar
pleasing	plezar
username	uzantonomo
percent	po cent
take	forprenar
great-uncle	preonklo
violence	violentema
Esperantize	Esperantigar
platoon	pelotono
sexism	sexuismo
sex	sexuo
axolotl	axoloto
be	superesar
eggcup	ovuyo
sir	siorulo
madam	siorino
charm	charmar
girlfriend	amoratino
boyfriend	amoratulo
cluck	klukar
clarify	klarigar
et cetera	e ceteri
etc.	e c.
baby	bebeo
jar	krucho
siblinghood	frateso
be	similesar
abatis	abatajaro
besiege	siejar
siege	siejo
deliver	akushar
bear	parturar
dominate	dominacar
constrain	koaktar
straitjacket	koakto-kamizolo
ageism	evismo
rocket	fuzeo
tear	lakrimo
squirrel	skurelo
spatula	spatulo
govern	guvernar
alms	almono
gift	donajo
data	donaji
run through	parkurar
depute	deputar
jealous	jaluza
midwife	akushisto
sulfur	sulfo
hydrogen	hido
halt	haltez
fragile	frajila
childish	puerala
puerile	pueratra
chancellery	kancelereyo
indicate	indikesar
interrupt	interruptar
threaten	minacar
exchange	korespondo
mess up	fushar
country	landala
fell	faligar
reclaim	reklamacar
stock	acioni
shareholder	acioniero
digest	digestar
go	transirar
work	literaturajo
literature	literaturala
combat	kombatala
high	altagrade
stain	makulizar
totality	kreitaro
circumcise	cirkoncizar
high	altanivela
difficulty	desfacilajo
male	leonulo
escort	akompano
plate	plako
bubo	bubono
bubonic	bubonala
bubonic	bubonoza
preputial	prepucala
uncles	geonkli
sketch	skisar
artisan	mestieristo
savage	sovaja
fish	peskar
obliging	komplezar
agriculturist	agrokultivisto
favor	komplezajo
fit	aptesar
homelessness	senhemeso
cousins	gekuzi
brothers	gefrati
grandsons	genepoti
pump	pumpilo
fire engine	incendiopumpilo
police force	policistaro
knapsack	dorsosako
poor	remediacho
water	aquoza
vow	vovar
advance	avancar
cover	envolvar
revolutionary	revolucionema
pass	trapasar
move	proximeskar
consider	konsideresar
consider	konsiderar
religion	religiala
religion	religioza
advance	avancigar
be	mankar
displeasure	desplezuro
Holy Book	santa libro
Ido	Ilo
dictionary	vortolibro
lexicon	lexiko
required	uzenda
vivify	vivozigar
rural	rurano
silk	silkatra
worsen	plumaligar
paper	paperacho
shed	lakrimifar
swarm	esamo
swarm	esamifar
desinence	dezinenco
honeymoon	mieltempo
gingerbread	mielkuko
hydromel	mielaquo
locomotion	lokomoco
unscrew	desvisar
screwdriver	visilo
Quaker	quakero
relative	relatanta
make	plualtigar
embellish	plubeligar
make	plucherigar
condense	pludensigar
soften	pludolcigar
make	plufermigar
strengthen	plufortigar
freshen	plufreshigar
vein	veino
coat	indutar
begin	-ijar
while	dum ke
while	kontre ke
in case	kaze ke
review	revuar
review	recensar
tag question	ka ne
sneeze	sternutar
operate	operacar
operation	operaco
retouch	retushar
receive	recevar
laundry	laveyo
equivalent	equivalar
practise	praktikesar
practise	praktikar
bless	benedikar
worker	laboristala
understood	komprenesar
translate	tradukesar
logical	nelogikala
accumulate	akumular
saved	sparesar
skating	sketeyo
translation	tradukala
necessary	necesajo
dry	sikijar
sing	kantero
peace	pacala
peace	pacoza
Europana	Europana Uniono
worthy	mencioninda
legislate	legifar
evening	vespereskar
dry	sikeskar
calculate	kalkular
roar	mujar
wave	ondifar
standardise	kulturlinguo
high	altega
throw	forjetar
take	arachar
break	frakasar
persecute	persekutar
creator	Kreinto
unpopular	nepopulara
mine	ministo
confess	konfesar
multiply	multiplikar
algebra	algebrala
mercury	merkurio
papal	papala
romantic	amorala
systematic	sistemala
umbrella	parasuno
annoy	iritar
autarky	autarkeso
toe	pedfingro
caterpillar	raupo
theorbo	teorbo
nephews	genevi
discover	deskovresar
enemy	enemika
spaniel	spanielo
pair	pijamo
vegetable	legumo
virgin	virgino
chess piece	shakfiguro
qualitative	qualesala
quantitative	quantesala
quantity	quanteso
lipogram	lipogramo
stethoscope	stetoskopo
stethoscope	auskultilo
his	ilua
archivist	arkivisto
indulge	abandonar su
acupuncture	akupunturo
rascal	bubacho
urchin	bubino
percuss	perkutar
acceptor	aceptanto
Lamentations	Lamenti
monastery	monakeyo
certify	certeskar
certainty	certajo
ski	skikurar
sensorial	sensala
epistemology	epistemologio
bidet	bideto
fascist	fashisto
hoopoe	upupo
brochure	broshuro
linguist	linguisto
technical	teknikala
gelatine	gelatino
screwdriver	skrubturnilo
redstart	redakaudo
ski	skiglitar
psychopath	psikopato
rock	bersar
antihero	antiheroo
human	homarala
practical	praktikala
idiom	idiotismoza
satisfying	saturanta
irregular	nereguloza
regular	reguloza
regularly	reguloze
irregularly	nereguloze
excavator	exkavilo
industrious	industrioza
chemical	kemiala
propose	propozar
proposal	propozo
jurisprudence	yurocienco
soul	anmala
spirit	spiritala
hologram	hologramo
ephedrine	efedrino
pseudoephedrine	pseudoefedrino
changing room	vestizeyo
manage	jerar
establish	konstatar
superior	superioro
connect	konektar
alimental	alimentala
alimental	alimentanta
consult	konsultar
