at	pie
joint work	talka
now	pašlaik
now	pašreiz
algebraic	algebrisks
algebraic	algebriski
algebraic	algebriskais
hops	apīnis
answer	atbilde
fence	žogs
fence	sēta
professor	profesors
courtyard	pagalms
sweep	sētnieks
gatekeeper	vārtsargs
professor	profesore
creeper	tītenis
cake	kēkss
muffin	mafins
usually singular	cepums
harvester	pļaujmašīna
mow	pļaut
sometimes	dažreiz
sometimes	reizēm
again	vēlreiz
late	vēlu
hedge	dzīvžogs
apartment	dzīvoklis
late	vēlais
later	vēlāks
later	vēlākais
latest	visvēlākais
latest	visvēlāk
bacon	speķis
sickle	sirpis
scythe	izkapts
boil	vārīt
bakehouse	ceptuve
bakehouse	ceptava
bakery	maiznīca
complete action	cepiens
roast	cepetis
oven	cepeškrāsns
griddle	cepešpanna
oven	ceplis
abbey	abatija
monastery	klosteris
priest	priesteris
priesthood	priesterība
priestess	priesteriene
be cook	cepties
roast	cepināt
be cook	cepināties
expose	sauļot
sunbathe	sauļoties
raw	jēls
raw	jēli
raw	jēlais
rawer	jēlāks
rawer	jēlāk
rawer	jēlākais
rawest	visjēlākais
rawest	visjēlāk
church	baznedce
weak	švakais
church	baznice
fry	apcept
bake	atcept
insert	iecept
roast	izcept
roast	nocept
weaker	švakāks
weaker	švakāk
roast	pacept
overcook	pārcept
weaker	švakākais
weakest	visšvakākais
weakest	visšvakāk
roast	piecept
roast	sacept
roast	uzcept
be cook	apcepties
be cook	izcepties
be cook	nocepties
be cook	pacepties
be overcook	pārcepties
be cook	sacepties
be cook	uzcepties
be cook	necepties
be cook	neapcepties
be cook	neizcepties
be cook	nenocepties
be cook	nepacepties
be	nepārcepties
be cook	nesacepties
be cook	neuzcepties
be	cepoties
be	necepoties
be	apcepoties
be	neapcepoties
be	izcepoties
be	neizcepoties
be	nocepoties
be	nenocepoties
be	pacepoties
be	nepacepoties
be	pārcepoties
be	nepārcepoties
be	sacepoties
be	nesacepoties
be	uzcepoties
be	neuzcepoties
amphibian	amfībija
male	direktors
female	direktore
accentuation	akcentuācija
accentuating	akcentēšana
accentuate	akcentēt
intonate	intonēt
intonation	intonācija
emphasis	uzsvars
be	cepies
be	necepies
be	apcepies
be	neapcepies
be	izcepies
be	neizcepies
be	nocepies
be	nenocepies
be	pacepies
be	nepacepies
be	pārcepies
be	nepārcepies
be	sacepies
be	nesacepies
be	uzcepies
be	neuzcepies
be	cepdamies
be	necepdamies
be	apcepdamies
be	neapcepdamies
be	izcepdamies
be	neizcepdamies
be	nocepdamies
be	nenocepdamies
be	pacepdamies
be	nepacepdamies
be	pārcepdamies
be	nepārcepdamies
be	sacepdamies
be	nesacepdamies
be	uzcepdamies
be	neuzcepdamies
be	cepamies
be	necepamies
be	apcepamies
be	neapcepamies
be	izcepamies
be	neizcepamies
be	nocepamies
be	nenocepamies
be	pacepamies
be	nepacepamies
be	pārcepamies
be	nepārcepamies
be	sacepamies
be	nesacepamies
be	uzcepamies
be	neuzcepamies
be	cepšanās
be	necepšanās
be	apcepšanās
be	neapcepšanās
be	izcepšanās
be	neizcepšanās
be	nocepšanās
be	nenocepšanās
be	pacepšanās
be	nepacepšanās
be	pārcepšanās
be	nepārcepšanās
be	sacepšanās
be	nesacepšanās
be	uzcepšanās
be	neuzcepšanās
roast	necept
roast	neapcept
bake	neatcept
insert	neiecept
roast	neizcept
roast	nenocept
roast	nepacept
overcook	nepārcept
roast	nepiecept
roast	nesacept
roast	neuzcept
accentuate	neakcentēt
intonate	neintonēt
expose	nesauļot
cook	necepam
fry	apcepam
fry	neapcepam
too long	atcepam
too long	neatcepam
insert	iecepam
insert	neiecepam
roast	izcepam
roast	neizcepam
roast	nocepam
roast	nenocepam
roast	pacepam
roast	nepacepam
overcook	pārcepam
overcook	nepārcepam
roast	piecepam
roast	nepiecepam
roast	sacepam
roast	nesacepam
roast	uzcepam
roast	neuzcepam
stress	akcentējam
stress	neakcentējam
sunray	sauļojam
sunray	nesauļojam
sunbathe	nesauļoties
sunbathe	sauļojies
sunbathe	nesauļojies
sit	sauļojamies
sit	nesauļojamies
mow	nepļaut
spit	nespļaut
mow	pļaujam
mow	nepļaujam
spit	spļaujam
spit	nespļaujam
spit	spļāviens
saliva	siekalas
roast	cepšana
roast	necepšana
roast	apcepšana
roast	neapcepšana
too long	atcepšana
too long	neatcepšana
insert	iecepšana
insert	neiecepšana
roast	izcepšana
roast	neizcepšana
roast	nocepšana
roast	nenocepšana
roast	pacepšana
roast	nepacepšana
overcook	pārcepšana
overcook	nepārcepšana
roast	piecepšana
roast	nepiecepšana
roast	sacepšana
roast	nesacepšana
roast	uzcepšana
roast	neuzcepšana
accentuating	neakcentēšana
intonating	intonēšana
intonating	neintonēšana
sunray	sauļošana
sunray	nesauļošana
sit	sauļošanās
sit	nesauļošanās
mow	pļaušana
mow	nepļaušana
spit	spļaušana
spit	nespļaušana
punctuation mark	pieturzīme
comma	komats
roast	cepot
roast	necepot
roast	apcepot
too long	atcepot
too long	neatcepot
insert	iecepot
insert	neiecepot
roast	izcepot
roast	neizcepot
roast	nocepot
roast	nenocepot
roast	pacepot
roast	nepacepot
overcook	pārcepot
overcook	nepārcepot
roast	piecepot
roast	nepiecepot
roasting	sacepot
roasting	nesacepot
roast	uzcepot
roast	neuzcepot
stress	akcentējot
stress	neakcentējot
sunray	sauļojot
sunray	nesauļojot
sit	sauļojoties
sit	nesauļojoties
mow	pļaujot
mow	nepļaujot
spit	spļaujot
spit	nespļaujot
roast	neapcepot
roast	necepis
roast	apcepis
roast	neapcepis
bake	atcepis
bake	neatcepis
insert	iecepis
insert	neiecepis
roast	izcepis
roast	neizcepis
roast	nocepis
roast	nenocepis
roast	pacepis
roast	nepacepis
overcook	pārcepis
overcook	nepārcepis
roast	piecepis
roast	nepiecepis
roast	sacepis
roast	nesacepis
roast	uzcepis
roast	neuzcepis
accentuate	akcentējis
accentuate	neakcentējis
intonate	intonējis
intonate	neintonējis
expose	sauļojis
expose	nesauļojis
mow	pļāvis
mow	nepļāvis
drink	dzēriens
roast	cepošs
roast	necepošs
roast	apcepošs
roast	neapcepošs
too long	atcepošs
too long	neatcepošs
insert	iecepošs
insert	neiecepošs
roast	izcepošs
roast	neizcepošs
roast	nocepošs
roast	nenocepošs
roast	pacepošs
roast	nepacepošs
overcook	pārcepošs
overcook	nepārcepošs
roast	piecepošs
roast	nepiecepošs
roast	sacepošs
roast	nesacepošs
roast	uzcepošs
roast	neuzcepošs
stress	akcentējošs
stress	neakcentējošs
sunray	sauļojošs
sunray	nesauļojošs
mow	pļaujošs
mow	nepļaujošs
spit	spļaujošs
spit	nespļaujošs
roast	cepts
roast	necepts
roast	apcepts
roast	neapcepts
bake	atcepts
bake	neatcepts
insert	iecepts
insert	neiecepts
roast	izcepts
roast	neizcepts
roast	nocepts
roast	nenocepts
roast	pacepts
roast	nepacepts
overcook	pārcepts
overcook	nepārcepts
roast	piecepts
roast	nepiecepts
roast	sacepts
roast	nesacepts
roast	uzcepts
roast	neuzcepts
accentuate	akcentēts
accentuate	neakcentēts
intonate	intonēts
intonate	neintonēts
expose	sauļots
expose	nesauļots
mow	pļauts
mow	nepļauts
can	cepams
can	necepams
can	apcepams
can	neapcepams
can	atcepams
can	neatcepams
can	iecepams
can	neiecepams
can	izcepams
can	neizcepams
can	nocepams
can	nenocepams
can	pacepams
can	nepacepams
can	pārcepams
can	nepārcepams
can	piecepams
can	nepiecepams
can	sacepams
can	nesacepams
can	uzcepams
can	neuzcepams
can	akcentējams
can	neakcentējams
can	intonējams
can	neintonējams
can	sauļojams
can	nesauļojams
can	pļaujams
can	nepļaujams
can	spļaujams
can	nespļaujams
roast	cepdams
roast	necepdams
roast	apcepdams
ellipsis	daudzpunkte
roast	neapcepdams
too long	atcepdams
too long	neatcepdams
insert	iecepdams
insert	neiecepdams
roast	izcepdams
roast	neizcepdams
roast	nocepdams
roast	nenocepdams
roast	pacepdams
roast	nepacepdams
overcook	pārcepdams
overcook	nepārcepdams
roast	piecepdams
roast	nepiecepdams
roast	sacepdams
roast	nesacepdams
roast	uzcepdams
roast	neuzcepdams
stress	akcentēdams
stress	neakcentēdams
sunray	sauļodams
sunray	nesauļodams
sit	sauļodamies
sit	nesauļodamies
mow	pļaudams
mow	nepļaudams
spit	spļaudams
spit	nespļaudams
roasting	cepošais
roast	necepošais
roast	ceptais
roasted	neceptais
mow	pļaujošais
mow	nepļaujošais
mow	pļāvušais
mow	nepļāvušais
mow	pļautais
mow	nepļautais
spit	spļaujošais
spit	nespļaujošais
roast	apcepošais
roast	apcepušais
roast	neapcepušais
roast	apceptais
roast	neapceptais
too long	atcepošais
too long	neatcepošais
bake	atcepušais
bake	neatcepušais
bake	atceptais
bake	neatceptais
stress	akcentējošais
stress	neakcentējošais
accentuate	akcentējušais
accentuate	neakcentējušais
accentuate	akcentētais
accentuate	neakcentētais
intonational	intonatīvs
intonational	intonatīvais
insert	iecepošais
insert	neiecepošais
insert	iecepušais
insert	neiecepušais
modernness	modernums
current	pašreizējs
present	pašreizējais
this summer	šovasar
that summer	tovasar
that day	todien
that evening	tovakar
this year	šogad
that year	togad
this spring	šopavasar
that spring	topavasar
today	šodiena
tonight	šonakt
that night	tonakt
this winter	šoziem
this winter	šoziemu
that winter	toziem
this week	šonedēļ
that week	tonedēļ
this autumn	šoruden
that autumn	toruden
that month	tomēnes
this month	šomēnes
calendar	kalendārs
insert	ieceptais
insert	neieceptais
right	riktīgs
right	riktīgi
right	riktīgais
righter	riktīgāks
righter	riktīgāk
correctness	pareizums
correctness	pareizība
righter	riktīgākais
rightest	visriktīgākais
rightest	visriktīgāk
semicolon	semikols
right	pareizais
righter	pareizāks
earn	pelnīts
deserved	pelnīti
plant	stādīt
generous	dāsns
pretty	smuks
go quickly	šmaukt
erroneous	kļūdīgs
erroneous	kļūdains
wrong	nepareizs
singular	nepareizība
error	kļūda
misprint	iespiedkļūda
singular	nepareizums
body	ķermens
body	ķerpers
beauty	smukums
righter	pareizāk
righter	pareizākais
run	nešmaukt
plant	nestādīt
earn	nepelnīt
envelope	aploksne
postage stamp	pastmarka
postman	pastnieks
postwoman	pastniece
rightest	vispareizākais
rightest	vispareizāk
earn	pelnījam
earn	nepelnījam
earn	pelnām
earn	nepelnām
plant	stādām
plant	nestādām
run	šmaucam
run	nešmaucam
wrong	nepareizi
wrong	nepareizais
wronger	nepareizāks
discuss	apspriest
conference	apspriede
discuss	apspriesties
probably	droši vien
defense	aizstāvība
judge	nespriest
discuss	neapspriest
discuss	neapspriesties
discuss	apspriedies
discuss	neapspriedies
discuss	apspriežam
discuss	neapspriežam
discuss	apspriežamies
discuss	neapspriežamies
wronger	nepareizāk
generally use	parast
get used to	neparast
normalcy	parastība
normalcy	parastums
normalcy	normālums
normalcy	normalitāte
orthography	pareizrakstība
plural	noteikums
orthography	ortogrāfija
orthographic	ortogrāfisks
heart	sirde
cardiological	kardioloģisks
cardiologist	kardioloģe
cardiologist	kardiologs
cardiology	kardioloģija
diamonds	kāravs
cardiological	kardioloģiski
cardiological	kardioloģiskais
orthographic	ortogrāfiski
orthographic	ortogrāfiskais
active	naskais
earn	pelnījot
earn	pelnot
earn	nepelnījot
plant	stādot
plant	nestādot
run	šmaucot
run	nešmaucot
discuss	apspriežot
discuss	neapspriežot
discuss	apspriežoties
discuss	neapspriežoties
earn	pelnījis
earn	nepelnījis
plant	stādījis
plant	nestādījis
run	šmaucis
run	nešmaucis
judge	spriedis
judge	nespriedis
discuss	apspriedis
discuss	neapspriedis
more active	naskāks
more active	naskākais
most active	visnaskākais
earn	nepelnot
most active	visnaskāk
wronger	nepareizākais
vehicle	braukšus
wrongest	visnepareizākais
wrongest	visnepareizāk
earn	pelnīdams
earn	nepelnīdams
plant	stādīdams
plant	nestādīdams
run	šmaukdams
run	nešmaukdams
discuss	apspriezdams
discuss	neapspriezdams
discuss	apspriezdamies
discuss	neapspriezdamies
pretty	smuki
pretty	smukais
go	neaiziet
earn	pelnošs
earn	nepelnošs
plant	stādošs
plant	nestādošs
run	šmaucošs
run	nešmaucošs
discuss	apspriedošs
discuss	neapspriedošs
discussing	neapspriešana
can	pelnāms
can	nepelnāms
can	stādāms
can	nestādāms
can	šmaucams
can	nešmaucams
can	spriežams
can	nespriežams
can	apspriežams
can	neapspriežams
can	parodams
can	neparodams
can	aizejams
can	neaizejams
earn	nepelnīts
plant	stādīts
plant	nestādīts
run	šmaukts
run	nešmaukts
judge	spriests
judge	nespriests
discuss	apspriests
discuss	neapspriests
habit	neparasts
earn	pelnīšana
earn	nepelnīšana
plant	stādīšana
plant	nestādīšana
run	šmaukšana
run	nešmaukšana
prettier	smukāks
prettier	smukāk
prettier	smukākais
prettiest	vissmukākais
prettiest	vissmukāk
roast	izcepošais
roast	neizcepošais
roast	izcepušais
roast	neizcepušais
roast	izceptais
roast	neizceptais
intonate	intonējušais
intonate	neintonējušais
intonate	intonētais
intonate	neintonētais
wrong	kļūdaini
wrong	kļūdainais
wronger	kļūdaināks
wronger	kļūdaināk
wronger	kļūdainākais
wrongest	viskļūdainākais
wrongest	viskļūdaināk
wrong	kļūdīgi
wrong	kļūdīgais
wronger	kļūdīgāks
wronger	kļūdīgāk
wronger	kļūdīgākais
wrongest	viskļūdīgākais
wrongest	viskļūdīgāk
generous	dāsni
generous	dāsnais
more generous	dāsnāks
more generous	dāsnāk
more generous	dāsnākais
most generous	visdāsnākais
generous	visdāsnāk
run	šmaucošais
run	nešmaucošais
vai jūs runājat angliski	vai jūs runājat angliski
vai tu runā angliski	vai tu runā angliski
black fruit	melnaugļu
black chokeberry	melnaugļu aronija
run	skriešus
raise	uzdot
give	iedot
run	šmaukušais
asexuality	aseksuālisms
asexual	aseksuālists
homosexual woman	homoseksuāliste
asexual woman	aseksuāliste
asexual	aseksuāls
caudate	astains
caudate	astainais
asexual	aseksuāli
asexual	aseksuālais
more asexual	aseksuālāks
more asexual	aseksuālākais
more asexual	aseksuālāk
most asexual	visaseksuālākais
most asexual	visaseksuālāk
run	nešmaukušais
run	šmauktais
run	nešmauktais
assign	uzdevums
give	uzdoties
give self	nedoties
present oneself	neuzdoties
give	neiedot
give	neuzdot
roast	nocepošais
task	uzdodam
task	neuzdodam
go	dodamies
go	nedodamies
present	uzdodamies
present	neuzdodamies
China aster	Ķīnas astere
trip	brauciens
boil	nevārīt
boil	vārām
boil	nevārām
give	nedevies
give	uzdevies
give	neuzdevies
roast	nenocepošais
roast	nocepušais
playing card	spēļu kārts
chart	kārte
give	iedevis
give	neiedevis
give	uzdevis
give	neuzdevis
boil	vārījis
boil	nevārījis
task	uzdodot
task	neuzdodot
go	dodoties
go	nedodoties
present	uzdodoties
present	neuzdodoties
boil	vārot
boil	nevārot
task	uzdodošs
task	neuzdodošs
boil	vārošs
boil	nevārošs
roast	nenocepušais
roast	noceptais
give	iedots
give	neiedots
give	uzdots
give	neuzdots
boil	vārīts
boil	nevārīts
can	iedodams
can	neiedodams
task	uzdodams
task	neuzdodams
can	vārāms
can	nevārāms
roast	nenoceptais
boil	vārīdams
boil	nevārīdams
task	uzdošana
task	neuzdošana
go	došanās
go	nedošanās
present	uzdošanās
present	neuzdošanās
boil	vārīšana
boil	nevārīšana
Canadian	kanādisks
boil	vārošais
growth	augsme
Shakespeare	Šekspīrs
century American writer	Hemingvejs
refuse	neliegt
prohibit	neaizliegt
boil	nevārošais
boil	vārījušais
boil	nevārījušais
boil	vārītais
prevent	liedzam
prevent	neliedzam
prohibit	aizliedzam
prohibit	neaizliedzam
invite	aicināt
invite	neaicināt
roast	necepināt
roast	cepinām
roast	necepinām
prevent	liedzot
prevent	neliedzot
prohibit	aizliedzot
prohibit	neaizliedzot
roast	cepinot
roast	necepinot
refused	liedzis
refused	neliedzis
prohibit	aizliedzis
invite	aicinājis
invite	neaicinājis
roast	cepinājis
roast	necepinājis
prohibit	neaizliedzis
prevent	liedzošs
prevent	neliedzošs
prohibit	aizliedzošs
prohibit	neaizliedzošs
roast	cepinošs
roast	necepinošs
prevent	liegdams
prevent	neliegdams
prohibit	aizliegdams
prohibit	neaizliegdams
roast	cepinādams
roast	necepinādams
can	liedzams
can	neliedzams
can	aizliedzams
can	neaizliedzams
can	aicināms
can	neaicināms
can	cepināms
can	necepināms
refuse	liegts
refuse	neliegts
prohibit	aizliegts
prohibit	neaizliegts
invite	aicināts
invite	neaicināts
roast	cepināts
roast	necepināts
prevent	liegšana
prevent	neliegšana
prohibit	aizliegšana
prohibit	neaizliegšana
inviting	aicināšana
inviting	neaicināšana
roast	cepināšana
roast	necepināšana
boil	nevārītais
refuse	liegtais
roast	necepinātais
roast	cepinātais
invite	neaicinājušais
prevent	neliedzošais
prevent	liedzošais
invite	aicinātais
roast	necepinošais
roast	cepinājušais
invited	neaicinātais
roast	cepinošais
refuse	liegušais
refuse	neliegušais
Canadian	kanādiski
Canadian	kanādiskais
more Canadian	kanādiskāks
more Canadian	kanādiskāk
more Canadian	kanādiskākais
most Canadian	viskanādiskākais
most Canadian	viskanādiskāk
give	iedevušais
give	iedotais
judge	spriedušais
judge	nespriedušais
judge	spriestais
judge	nespriestais
discuss	apspriedošais
discuss	neapspriedošais
discuss	apspriedušais
discuss	neapspriedušais
discuss	apspriestais
discuss	neapspriestais
normal	parastais
unusual	neparasti
unusual	neparastais
uncommonness	neparastība
uncommonness	neparastums
abnormal	anormāls
prejudice	aizspriediens
abnormality	nenormālība
abnormality	nenormālums
judgment	spriedums
paradox	paradokss
paradoxical	paradoksāls
paradoxicality	paradoksalitāte
paradoxicality	paradoksālums
prejudice	aizspriedums
change	mainījušais
change	nemainījušais
change	mainītais
change	nemainītais
changeable	maināmais
unchangeable	nemaināmais
earn	pelnošais
earn	nepelnošais
earn	pelnījušais
earn	nepelnījušais
earn	pelnītais
earn	nepelnītais
plant	stādošais
plant	nestādošais
plant	stādījušais
plant	nestādījušais
plant	stādītais
plant	nestādītais
more normal	parastāks
more normal	parastāk
more normal	parastākais
most normal	visparastākais
most normal	visparastāk
more unusual	neparastāks
more unusual	neparastāk
more unusual	neparastākais
most unusual	visneparastākais
most uncommon	visneparastāk
paradoxical	paradoksāli
paradoxical	paradoksālais
more paradoxical	paradoksālāks
more paradoxical	paradoksālāk
more paradoxical	paradoksālākais
most paradoxical	visparadoksālākais
most paradoxical	visparadoksālāk
abnormal	anormāli
abnormal	anormālais
more abnormal	anormālāks
more abnormal	anormālāk
more abnormal	anormālākais
most abnormal	visanormālākais
most abnormal	visanormālāk
century	gadsimts
week	nedele
task	uzdodošais
task	neuzdodošais
give	uzdevušais
give	neuzdevušais
give	uzdotais
give	neuzdotais
roast	pacepošais
roast	nepacepošais
roast	pacepušais
roast	nepacepušais
roast	paceptais
roast	nepaceptais
sunrays	sauļojošais
sunray	nesauļojošais
expose	sauļojušais
expose	nesauļojušais
expose	sauļotais
expose	nesauļotais
modern	modernais
more modern	modernāks
more modern	modernāk
more modern	modernākais
most modern	vismodernākais
most modern	vismodernāk
overcook	pārcepošais
overcook	nepārcepošais
overcook	pārcepušais
overcook	nepārcepušais
overcook	pārceptais
overcook	nepārceptais
roast	piecepošais
roast	nepiecepošais
roast	piecepušais
roast	nepiecepušais
roast	pieceptais
roast	nepieceptais
roast	sacepošais
roast	nesacepošais
roast	sacepušais
roast	nesacepušais
roast	saceptais
roast	nesaceptais
roast	uzcepošais
roast	neuzcepošais
roast	uzcepušais
roast	neuzcepušais
roast	uzceptais
roast	neuzceptais
photographic	fotogrāfisks
handwriting	kaligrāfisks
female	kaligrāfe
male	kaligrāfs
calligraphy	kaligrāfija
parchment	pergaments
parchment paper	pergamentpapīrs
literature	rakstniecība
handwriting	rokraksts
literature	daiļliteratūra
character	raksturs
characteristic	raksturīgs
characteristicness	raksturīgums
discipline	disciplīna
characterize	raksturot
characterization	raksturojums
synonym	sinonīms
antonym	antonīms
synonymy	sinonīmija
synonymous	sinonīmisks
homonymy	homonīmija
homonym	homonīms
synonymous	sinonīmi
synonymous	sinonīmais
ford	brasls
ford	brasts
swampy	staigns
swampy	staigņš
swampy	staigs
swampy	stigns
swampiness	staignums
swampy place	staignājs
malaria	malārija
malaria mosquito	malārijas ods
nit	gnīda
swampy	muklājs
swampy	purvains
swampiness	purvainums
swampiness	purvainība
area	alksnājs
swampy	muklains
swampy	mukla
swampy	mukls
swamp	purvis
meaning	jēga
ignorant	nejēga
meaningful	jēdzīgs
concept	jēdziens
abstractness	abstraktums
concreteness	konkrētums
nonsensical	bezjēdzīgs
meaninglessness	bezjēdzīgums
singular	bezjēdzība
conceptual	jēdzienisks
idea	priekšstats
conscience	sirdsapziņa
abstract	abstrahēt
singular	abstrakcija
concrete	konkrēts
concreteness	konkrētība
shy	bikls
shyness	biklība
shyness	biklums
modernize	modernizēt
fact	fakts
factual	faktisks
true	patiesīgs
truth	patiesīgums
truth	patiesums
true	patiesi
true	patiesais
truer	patiesāks
truer	patiesāk
truer	patiesākais
truest	vispatiesākais
truest	vispatiesāk
true	patiesīgi
true	patiesīgais
truer	patiesīgāks
truer	patiesīgāk
truer	patiesīgākais
truest	vispatiesīgākais
truest	vispatiesīgāk
factual	faktiski
factual	faktiskais
shy	bikli
shy	biklais
shier	biklāks
shier	biklāk
shier	biklākais
shiest	visbiklākais
shiest	visbiklāk
swampy	muklaini
swampy	muklainais
swampier	muklaināks
swampier	muklaināk
swampier	muklainākais
swampiest	vismuklainākais
swampiest	vismuklaināk
swampy	mukli
swampy	muklais
swampier	muklāks
swampier	muklāk
swampier	muklākais
swampiest	vismuklākais
swampiest	vismuklāk
concrete	konkrēti
concrete	konkrētais
more concrete	konkrētāks
more concrete	konkrētāk
more concrete	konkrētākais
most concrete	viskonkrētākais
most concrete	viskonkrētāk
abstract	abstraktais
more abstract	abstraktāks
more abstract	abstraktāk
more abstract	abstraktākais
most abstract	visabstraktākais
most abstract	visabstraktāk
meaningless	bezjēdzīgi
meaningless	bezjēdzīgais
more meaningless	bezjēdzīgāks
more meaningless	bezjēdzīgāk
more meaningless	bezjēdzīgākais
most meaningless	visbezjēdzīgākais
most meaningless	visbezjēdzīgāk
meaningful	jēdzīgi
meaningful	jēdzīgais
more meaningful	jēdzīgāks
more meaningful	jēdzīgāk
more meaningful	jēdzīgākais
most meaningful	visjēdzīgākais
most meaningful	visjēdzīgāk
conceptual	jēdzieniski
conceptual	jēdzieniskais
more conceptual	jēdzieniskāks
more conceptual	jēdzieniskāk
more conceptual	jēdzieniskākais
most conceptual	visjēdzieniskākais
most conceptual	visjēdzieniskāk
swampy	purvaini
swampy	purvainais
swampier	purvaināks
swampier	purvaināk
swampier	purvainākais
swampiest	vispurvainākais
swampiest	vispurvaināk
modernize	modernizējušais
modernize	nemodernizējušais
modernize	modernizētais
not modernize	nemodernizētais
abstract	abstrahējošais
abstract	neabstrahējošais
abstract	abstrahējušais
abstract	neabstrahējušais
abstract	abstrahētais
abstract	neabstrahētais
characterize	raksturojušais
characterize	neraksturojušais
characterize	raksturotais
characterize	neraksturotais
swampy	stigni
swampy	stignais
swampier	stignāks
swampier	stignāk
swampier	stignākais
swampiest	visstignākais
swampiest	visstignāk
swampy	staigi
swampy	staigais
swampier	staigāks
swampier	staigāk
swampier	staigākais
swampiest	visstaigākais
swampiest	visstaigāk
swampy	staigņi
swampy	staigņais
swampier	staigņāks
swampier	staigņāk
swampier	staigņākais
swampiest	visstaigņākais
swampiest	visstaigņāk
swampy	staigni
swampy	staignais
swampier	staignāks
swampier	staignāk
swampier	staignākais
swampiest	visstaignākais
swampiest	visstaignāk
synonymous	sinonīmiski
synonymous	sinonīmiskais
characteristic	raksturīgi
characteristic	raksturīgais
more characteristic	raksturīgāks
more characteristic	raksturīgāk
more characteristic	raksturīgākais
most characteristic	visraksturīgākais
most characteristic	visraksturīgāk
photographic	fotogrāfiski
photographic	fotogrāfiskais
more photographic	fotogrāfiskāks
more photographic	fotogrāfiskāk
more photographic	fotogrāfiskākais
most photographic	visfotogrāfiskākais
calligraphic	kaligrāfiski
calligraphic	kaligrāfiskais
more calligraphic	kaligrāfiskāks
more calligraphic	kaligrāfiskāk
more calligraphic	kaligrāfiskākais
most calligraphic	viskaligrāfiskākais
most calligraphic	viskaligrāfiskāk
fearful	bailīgs
timidity	bailīgums
singular	bailība
scandal	skandāls
male	skandālists
female	skandāliste
lampshade	abažūrs
sadness	skumjas
sad	skumjš
object	biedēklis
sadness	skumjums
entity	bieds
dreadfulness	baigums
scare	baidīt
scare oneself	baidīties
scare	biedināt
horse	zviegt
neigh	zviedziens
scare	biedēt
bīstos	bīties
cough	kāsēt
cough	kāss
bark	rējiens
dog	rieties
meow	ņau
cat	murrāt
meow	ņaudēt
meow	ņaudiens
obstacle	šķērslis
transverse	šķērss
transverse	šķērsenisks
cross	šķērsot
People's Republic of Bangladesh	Bangladešas Tautas Republika
Bengal	Bengālija
Bengal	Bengāle
Bengali	bengālis
Bengali woman	bengāliete
Bengali language	bengāļu valoda
Bangladeshi	bangladešietis
Bangladeshi woman	bangladešiete
hoe	kaplis
spear	šķēps
characterize	neraksturot
abstract	neabstrahēt
modernize	nemodernizēt
abstract	abstrahējam
abstract	neabstrahējam
cross	šķērsojam
cross	nešķērsot
cross	nešķērsojam
abstract	abstrahējot
abstract	neabstrahējot
cross	šķērsojot
cross	nešķērsojot
hoe	kaplēt
hoe	nekaplēt
hoe	kaplējam
hoe	nekaplējam
hoe	kaplējot
hoe	nekaplējot
characterize	raksturojis
characterize	neraksturojis
abstract	abstrahējis
abstract	neabstrahējis
modernize	modernizējis
modernize	nemodernizējis
cross	šķērsojis
cross	nešķērsojis
hoe	kaplējis
hoe	nekaplējis
next year	nākamgad
next year	nākošgad
abstract	abstrahējošs
abstract	neabstrahējošs
cross	šķērsojošs
cross	nešķērsojošs
hoe	kaplējošs
hoe	nekaplējošs
characterize	raksturots
characterize	neraksturots
abstract	abstrahēts
abstract	neabstrahēts
modernize	modernizēts
modernize	nemodernizēts
cross	šķērsots
cross	nešķērsots
hoe	kaplēts
hoe	nekaplēts
can	raksturojams
can	neraksturojams
can	abstrahējams
can	neabstrahējams
can	modernizējams
can	nemodernizējams
can	šķērsojams
can	nešķērsojams
can	kaplējams
can	nekaplējams
abstract	abstrahēdams
abstract	neabstrahēdams
cross	šķērsodams
cross	nešķērsodams
hoe	kaplēdams
hoe	nekaplēdams
hertz	hercs
characterization	raksturošana
lady	dāma
pool	lāma
wallet	naudasmaks
wallet	naudas maks
characterization	neraksturošana
tobacco pouch	tabakmaks
tobacco pouch	tabakas maks
abstract	abstrahēšana
continuation	turpinājums
abstract	neabstrahēšana
next week	nākamnedēļ
next week	nākošnedēļ
mine	mīnēt
handle	spals
museum	muzejs
boss	priekšnieks
design	dizains
fourth	ceturtais
corner	danga
motorcycle	motocikls
fantastic	fantastisks
fantastic	fantastiski
fantastic	fantastiskais
more fantastic	fantastiskāks
vote	balsot
Burkina Faso	Burkinafaso
tax	nodoklis
mildronate	mildronāts
karate	karatē
dive	pikēt
prick out	piķēt
pitch	piķis
gizzard	guza
Kuwait	Kuveita
basket	grozs
magpie	žagata
predict	paredzēt
Rhodes	Roda
East Timor	Austrumtimora
smith	kalvis
cake	kūka
Papua New Guinea	Papua-Jaungvineja
neighbour	kaimiņš
dustpan	šaufele
Genesis	Pirmā Mozus grāmata
Exodus	Izceļošanas grāmata
Leviticus	Trešā Mozus grāmata
Numbers	Ceturtā Mozus grāmata
Deuteronomy	Piektā Mozus grāmata
Judges	Soģu
Samuel	Samuēl
1 Kings	Pirmā Ķēniņu
2 Kings	Otrā Ķēniņu
1 Chronicles	Pirmā Laiku
2 Chronicles	Otrā Laiku
Nehemiah	Nehemija
Job	Ījaba
Psalms	Psalmi
Proverbs	Pamācības
Ecclesiastes	Mācītājs
Song of Solomon	Augstā Dziesma
