be	may
urinate	umihi
defecate	tumae
sing	umawit
ask for	humingi
laugh	tumawa
smile	ngumiti
develop	umunlad
go with	sumama
go	pumunta
agree	pumayag
enter	pumasok
hope	umasa
fly	lumipad
float	lumutang
borrow	humiram
prevent	umiwas
go farther	lumayo
go home	umuwi
move	gumalaw
kill	pumatay
kiss	humalik
applaud	pumalakpak
cover up	yumupyop
pretended ignorance	walawala
main meaning	kawawaan
long piece	wayway
strike	welga
use	kutsarain
steal	magnakaw
teach	magturo
think	mag-isip
wash	maghugas
wash	maghilamos
win	magwagi
wipe	magpunas
win	manalo
watch	manood
waste	mag-aksaya
wash	maglaba
wake up	gumising
wait	maghintay
travel	magbiyahe
swim	lumangoy
stop	huminto
sleep	matulog
save	magtipid
sell	magtinda
sell	magbenta
put on shoe	magsapatos
change clothes	magbihis
play	maglaro
prison	bilangguan
pay	magbayad
lie	magsinungaling
go	magsimba
halfbeak	siliw
sell	magbili
reason	ikabilanggo
reason	ikagalit
careful	mag-ingat
insistent	pasaway
exasperated	mainis
abort	magpalaglag
scrape something in order to make	magyasyas
uniform	uniporme
uniformed	unipormado
kill	patayin
embarrassed	dyahe
dead	tepok
contract	kontrata
thin	payatot
subordinate	sunud-sunuran
sad	kawawa
fat	tabatsoy
chew	ngumuya
made smooth	yasyas
act	pagyayasyas
invite several people	magyaya
manufacture	yumari
act	yoyoan
play yo-yo	yoyoin
hundred	yuta-yuta
act	yupyop
fallen dried twig	yangit
interview	panayam
goldsmith	panday-ginto
blacksmith	pandayan
short	pandak
shortness	kapandakan
inspection	pandaw
pretending	tengang-kawali
edible crab	talangka
selfish	isip-talangka
showy	bongga
lead on	paasa
lewd	malandi
bosom	kalaguyo
covered	malibag
leftist	makakaliwa
congressman	kongresista
denture	pustiso
minor	menor de edad
left-handed	kaliwete
criminal	salarin
endpoint	upong
womanizer	babaero
voyeur	mamboboso
slow	yagyag
slow	pagyagyag
septic tank	poso negro
dark-skinned	nognog
pirated	kopyang sine
patintero	patotot
pirate	mamirata
invitation	pagyayakag
pickpocket	mandurukot
sprinkler	pangwilig
bahay	akyat-bahay
feeling	yamukmok
yuck	kadiri
water conduit	salulo
head-on collision	salumpong
person	saluno
spill	salwak
stench	bantot
school	kulisaw
clothes	saplot
girth	satiyan
steepness	tibong
pulse	tibok
trap	patibong
Chinese New Year	tikoy
thick	yamungmong
annoy	yumamot
pound	yabyab
lumpia	lumpiya
clean	malinis
disguise	magbalatkayo
diocese	diyosesis
storey	palapag
placenta	inunan
mile	milya
portrait	litrato
goblin	tiyanak
witch	mangkukulam
strip	salapid
mischievous	salanggapang
dehydrated	tigam
mental	tungag
cry	umuha
inquisitiveness	urira
inquisitive	maurira
hives	tagulabay
mortise	utab
protruding	usngal
watery humor	utitab
soybean	utaw
simpleton	uto
fart	umutot
act	pag-ut-ot
boastful	mapagmayabang
silly	uslak
culture	usog
act	usong
brainy	mautak
habit	kautalan
robust	matipuno
swell	mamaga
drug store	botika
bladed object	patalim
false god	diyos-diyosan
lie	kasinungalingan
namesake	tokayo
promise	pangako
nothing	waley
fired	sisante
particle	mumo
fire	sisantehin
driver	tsuper
cock-a-doodle-doo	tilaok
act	walay
vindicate	linisin ang pangalan
ringing telephone	kring-kring
prevention	kulob
bark	tahol
distant howling	alulong
sleeve	manggas
acrid	mapakla
worse	masahol
plentiful	masagana
burdensome	masagabal
avaricious	masakim
acrid	masaklap
gluttonous	masiba
diligent	masigasig
tempestuous	masigwa
arrogant	masiging
efficacious	masidhi
careful	masinop
inquisitive	masiyasat
boastful	matabil
bland	matabang
brackish	matabsing
irascible	masungit
moderate	matimpi
jerky	matigtig
economical	matipid
bright	matingkad
thorny	matinik
analytic	mausisa
rainy	maulan
reverberating	maugong
watery	matubig
productive	matubo
dull	matumal
sonorous	matunog
small monkey	matsing
sonorous	mataginting
peaceful	matahimik
fervent	mataimtim
sharp	matalim
erudite	matalisik
old	matanda
helpful	matangkakal
long	matangos
sincere	matapat
facile	matatas
yellowish	madilaw
talkative	madaldal
garrulous	madila
deceitful	madaya
quick	madali
sluggish	makupad
infrequent	madalang
elegant	makisig
brilliant	makinang
famous	mabunyi
unstable	mabuway
modest	mabini
round	mabilog
hot	maapoy
low	mababa
kind	mabait
fierce	mabalasik
sultry	mabanas
talkative	mabibig
elegant	mabikas
cat	muning
effective	mabisa
dusty	maalikabok
smarting	maantak
poet	makata
ringing	kalembang
this	itey
mischievous	letmaku
foolish	ogags
beat up	mangjombags
drink alcohol	tumoma
dead	deds
pout	busangot
stuttered speech	bulol
freshman	iskul-bukol
ambulant cigarette vendor	yosi boy
torpid	manhid
band	manuso
ladybird	marikita
sunny	maaraw
rough	maalon
bright	maaliwalas
legendary	maalamat
blazing	maalab
distant	maagwat
having plenty	maagos
prompt	maagap
early	maaga
can be	maaari
sultry	maalinsangan
salty	maasin
compassionate	maawain
fragrant	mahalimuyak
spicy	maanghang
diluted	malabnaw
mild	malumanay
active	maliksi
rowdy	maligalig
lukewarm	maligamgam
cold	maginaw
cold	malamig
wriggling movement	kalasaw
soft	kalasing
gargle	kalagkag
having	mapanghi
odor	panghi
having	mapalot
melancholic	mapanglaw
blunt	pangod
tedium	pantot
spring	pansol
sensual	pandot
side	panig
steal	dekwatin
quickly	mabilis sa alas-kuwatro
nightmare	bangungot
restaurant	karinderya
jailed	kalaboso
stunted	bansot
ambulant vendor	takatak boy
Bulaqueño	Bulakenyo
mischievously playful	maharot
semen	tamod
disrespectful	barumbado
challenge	maghanap ng sakit ng katawan
muddy	maputik
tight	masikip
maybe	marahil
shoot	pasabugin ang ulo
dove	kalapati
masturbate	magsalsal
masturbate	magjakol
defecate	umebak
trigger	gatilyo
patent	tampak
native clothes trunk	tampipi
serenity	tampay
wicked	tampalasan
black mourning veil	taong
damp soil	tayabutab
rubbish	tayamutan
overheated	tayangtang
figure of speech	tayutay
forked pole	tayukod
suspension	tayong
sputtering	tibalsik
chubby	tibalbal
sugarcane tip	tibtib
extract	tikitiki
coconut liquor	lambanog
pile	timbon
clear	tinaw
smoked fish	tinapa
having	matinga
having	tiwas
cane	tungkod
superabundant	tusak
native hat	turong
rice crust	tutong
liquid	tuyong
obtuse	silsil
surge	simpok
cooked rice	sinaing
thinking	sining
artistic	masining
small bamboo wine cup	singgalong
greenhorn	singki
epicanthic fold	singkit
slit	singit
wet nurse	sisiwa
cover	suklob
simmering	sulak
silt	labon
silted	malabon
point out	tukoy
linguist	dalubwika
held	yapos
tread	yapak
hanging	yangyang
ravelled	yanot
happen	mangyari
wilted	lugot
hanging loose	lugay
financial loss	lugi
collapsed	lugso
prostrate	lugpo
overripe	lulot
soft mud	lunaw
sheaf	lumpok
swallow	lunok
green	lunti
greenness	kaluntian
vomit	lungad
large hole	lungaw
withered	luoy
major indigenous ethnolinguistic group	Yakan
big bowl	mangkok
frayed	nasnas
numbness	ngalay
gum	ngidngid
noise	ngikngik
small	ngima
smile	ngiti
kind	paaga
perfume	pabango
dent	pakang
having poor hearing	paking
lean	pagang
shrill shout	palakat
trawl	palakaya
type	palang
rocky shore	palanas
tranquil	panatag
hypocrisy	patumapat
weathercock	patubiling
carried	payid
wag	payupoy
shrug	piksi
shallow lagoon	pinak
frame	pinpin
flatulence	kabag
riverbank	pampang
divorce	diborsiyo
dead	binawian ng buhay
cover	taklob
excessive	tabal
something add	tabag
insipid	sagasag
close weave	saginsin
presentiment	sagimsim
cracking noise	sagaak
obstacle	sagabal
aground	sadsad
act	sadlok
fall	sadlak
act	sakol
prodigal	masakmata
stanza	saknong
entanglement	saklit
bend	yukod
dish	laing
carried away	lalad
bahay	bahay-bata
brother	utol
order	utos
loss	uyot
sprout	suloy
southeast	timog-silangan
something extra add	timbaw
taste	tumimos
northwest	hilagang-kanluran
soap opera	telenobela
film	pelikula
box office	takilya
ventilation	bentilasyon
police	pulisya
engineer	inhinyero
pawnshop	sanglaan
investigate	magsiyasat
wet market	talipapa
lamppost	poste ng ilaw
light	ilaw
machine producer	makinista
carpenter	karpintero
writer	manunulat
parish priest	kura-paroko
guard	guwardiya
veterinarian	beterinaryo
proper	wasto
farmer	magsasaka
columnist	kolumnista
scientist	siyentipiko
expert	dalubhasa
glare	silaw
northeast	hilagang-silangan
jawbone	sihang
inspiration	sigya
tempest	sigwa
fisher	mangingisda
have heavy rain	sumigwa
twig	siit
blaze	silab
casual	siglap
glimpse	siglaw
lively enthusiasm	sigsa
diligence	sigasig
torch	sigsig
oppressor	maniniil
irresponsive answer	silambang
dusk	silim
cyclist	siklista
peep	silip
pride	siging
shout	sigaw
intensity	sidhi
foreign affairs	ugnayang panlabas
snap	sikmat
tide	sikal
referendum	reperendum
plebiscite	plebisito
heap	tumpok
rebellion	rebelyon
police station	istasyon ng pulis
piece	pidpid
constabulary	konstabularyo
drenched	pigta
cell	selda
correctional facility	koreksyonal
jailbreak	pagpuga
prison	karsel
stamp	tabog
stamp	pagdabog
act	dakol
continuous blowing	dagisdis
act	dagison
continuous droning sound	daginding
rain cloud	dagim
dark	madagim
grazing	dagil
physical effort	dahak
resounding fall	dagubang
noisy blaze	dagubdob
mechanical grinding sound	daguldol
downward slide	dagusdos
cobia	dalag-dagat
loud reverberation	dagundong
species	tuhak
eel	tulanasan
hang out	tambayan
daybreak	bukang-liwayway
early morning	madaling-umaga
daybreak	madaling-araw
hot dry season	tag-init
spring	tagsibol
winter	taglamig
venom	kamandag
venomous	makamandag
superficial	yapsaw
phase	yugto
Cavite	Dasmariñas
Maria	Consolacion
slight touch	sagid
cardinal	kardenal
temporary enjoyment	sakam
rhetoric	sayusay
cackle	putak
song	tagumpay
shrewish	mataray
footstep	tapak
bureau	kawanihan
similitude	wangis
mockery	uyam
lack	utdo
chimney	pausukan
very loud cry	uraw
bellow	ungal
painful	agoy
pond scum	liya
lump	luog
influenza	trangkaso
editorial	editoryal
accreditation	akreditasyon
centavo	sentimo
one hundred percent	isang daang porsyento
sangkatlo	sangkapat
replete	pundakan
seedling	punla
anthill	punso
state	puril
fish	pusag
movement	pusaw
small amount	putal
foreign body	puwing
topknot	puyod
tête-à-tête	rayama
close confidant	karayama
divided	saak
boil	saing
bird	salay
square	parisukat
hectare	hektarya
centimeter	sentimetro
sole	talampakan
missile	misayl
lock	kandado
speed limit	takdang bilis
pencil sharpener	pantasa
tap water	tubig-gripo
hydrophobia	takot sa tubig
salt water	tubig alat
freshwater	tubig tabang
heretic	erehe
eyetooth	pangil
tendon	litid
fragrant	yapang
sexual intercourse	yangga
shakes	yanggi
handsome	yantaw
beautiful	yansumi
variety store	yantadig
crestfallen	yukayok
violent shaking	yugayog
obeisance	yupapa
overhanging	yungyong
act	yugyog
drunk	wenggol
flap	yagpag
peeping tom	usbing
extreme thinness	payagpag
person rich	mayamanin
lessen	tighoy
postscript	tighabol
solid lump	tigkal
cut	tigpas
saturated	tigmak
young	tigiti
target	tigpo
small piece	tilad
loud	tilalay
resounding crash	tilagpak
tilapia	tilapya
upward spurt	tilandoy
lifesaver	timbulan
humidity	timig
ravine	labing
edible species	tulingan
grub	ulalo
small bag	ulapot
pleasant	ulayaw
joke	tudyo
Goson	Gozon
signature	pirma
Bulacan	Bulacan
Tayabas	Quezon
very impatient	atat
moderation	lumay
shallow pond	lumbak
small gathering	lumpon
big	butete
ant	guyam
grin	ngisi
cousin	pinsan
dig	magkali
small kitchen knife	kampit
even	sukdan
mutual verbal accusation	sudsuran
strongly scented herb	sulasi
support	suhay
large bowl	sulyaw
forked pole	sundong
forked pole	panundong
censer	suuban
extra layer	suson
kingfisher	susulbot
silk	sutla
cunning	suwitik
candle	tulod
kawakawa	tulingang-puti
stupid	tulingag
kind	tulaga
swaying motion	tugya
top	tugatog
stupid	tugak
act	tudla
baby	tukarol
spotted moonfish	tsabita
champagne	tsampan
kind	titil
sudden	tiplag
fife	tipano
oil lamp	tinghoy
craw	tingka
measure	timuro
big wave	daluyong
very beginning	sapol
species	sapsap
lower back	sasapnan
intense	masasal
fighting cock	sasabungin
complete	sayod
cherry	seresa
obscene	mahalay
grave	malala
dark	malaita
hair	malabuhok
excessive	malabis
gossiper	malabiga
luxuriant	malabay
loving	mairog
envious	mainggitin
easily bored	mainipin
pretty	mainam
good	maigi
short	maigsi
wild	mailap
avaricious	maimbot
economical	maimpok
fond	maibigin
tight	mahigpit
fond	mahilig
luxuriant	mahitik
miraculous	mahiwaga
advantageous	mahigit
sharp	mahayap
advantageous	malamang
dim	malamlam
seductive	malamuyot
shallow	malanday
strong	malakas
species	malakawayan
solicitude	malasakit
surfeit	malastiga
tedious	malawig
sticky	maligat
roundabout	maligoy
late	maliwag
brilliant	maluningning
glorious	maluwalhati
broad	maluwang
rice straw	mamak
grandfather	mamay
fermented	mam-is
critic	mamumuna
mountaineer	mamumundok
smuggler	mamumuslit
large intestine	malaking bituka
bathtub	banyera
rice weevil	bukbok
birth	kapanganakan
witchcraft	kulam
vampire	manananggal
nose ring	pakaw
wooden rattle	pakanlog
trumpet	pakakak
gift	pakipkip
beeswax	pagkit
pat	pagikpik
soft	pagispis
hoarseness	pagaw
betray	magtaksil
commit adultery	makiapid
adultery	pakikiapid
heel	sakong
circumflex	pakupya
spirit summoner	mambabarang
merman	siyokoy
bird	sarimanok
quotation mark	panipi
grave accent	paiwa
acute accent	pahilis
rub	magpahid
seminary	seminaryo
spider	botogs
lighter	layter
monarchy	monarkiya
socialism	sosyalismo
gate	tarangkahan
unfaithful	mangaliwa
dirty	babuyin
vandalism	bandalismo
piglet	biik
fertilizer	pataba
close	isara
paddy	palayan
small	buslo
elephant	gadya
yard	bakuran
bakery	panaderya
gas station	gasolinahan
repair shop	talyer
anarchy	anarkiya
wooden soup bowl	hawong
state	tupok
lance	gayang
embryo	bilig
since	yamang
since	yayamang
mortar	lusong
plane	katam
bread mold	apaya
coldness	lamig
cage	kulungan
meaning	kahulugan
collar	kuwelyo
day before yesterday	kinahapunan
surprised	magulat
give birth	manganak
prostrate	talamak
first step	talalan
biography	talambuhay
close	talamitam
plateau	talampas
courage	talaghay
courage	katalaghayan
kans grass	talahib
line	talata
paragraph	talataan
hissing sound	talhak
scale	talaro
spurt	taliris
flat	talipya
hypocrite	talipandas
young fish	talipa
mole	nunal
small intestine	talitis
abandonment	taliwakas
ancient boat song	talindaw
lost count	talimang
hoax	talimangmang
black hole	talihalat
loose	talihabso
hoax	talikba
great effort	talikakas
boundary	taliktik
species	talilong
cover	talob
reduced	talpog
middle-aged	talubata
hard shell	talukab
tight	talubanat
head veil	talukbong
granary	talungtong
tamarind	sampalok
frank talk	tambaas
half-hearted offer	tambisi
overload	tambanggalan
species	tambiki
proxy	tambag
exposed	tambad
big	tambugak
small deer	tambukulan
chain	tanikala
planting season	tagtanim
light	tanglaw
large earthenware jar	tapayan
handle	tatangnan
chip	tatal
douchi	tawsi
false alarm	tibadbad
foot disease	tibak
correct	tibalyaw
get-together	tibaw
black pockmark	tibatib
poking	dutdot
hollow	lubak
home run	lubig
grouper	lubo
chatty	masabi
message	pasabi
cluster	langkay
stretcher	langkayan
stench	lantot
bad odor	lantong
indecent	lantod
idler	lantutay
long	lanubo
sound	langasngas
scab	langib
skin	laping
plane	lapya
flat nose	lapyad
crumpled	lapurit
frayed	larot
rooster	lasak
nice taste	lasap
heartwood	lasgas
torn	lasog
bamboo sieve	lastay
fold	kuton
haircut	kutyog
strike	kutos
throb	kutog
pimp	kuwekong
Pharaoh ant	kuwitib
dented	kuyumpit
tiny young louse	kuyumad
exit	labasan
flight	lipad
hope	pag-asa
extensive	lanap
lagoon	lanaw
love	pag-ibig
love	pagmamahal
factory	pagawaan
winter	tagginaw
arrival	pagdating
act	kopya
high school	mataas na paaralan
cake	keyk
corner	sulok
noise	ingay
butter	mantikilya
wallet	pitaka
hat	sumbrero
eyesore	sulyak
disgust	sulukasok
large round bamboo fish pot	sulyang
luggage	bagahe
toilet	kubeta
postage stamp	selyo
claw	pingkok
crooked	pingkaw
warlikeness	kapingahan
mutual aid	pintakasi
long	pisaw
longing	pithaya
detached	pitaw
flattened	pitpit
complete turn	piyok
nick	pingal
biting	masigid
sharpness	sigid
saltwater	tugno
indigo plant	tayom
touch	tawtaw
work	talisuyo
slanting	talibas
mistake	talibadbad
reversed	talibad
act	talibatab
bowknot	talibugso
long-tailed goby fish	talimusak
sound produce	tagupak
splash	tabsik
furious	sibasib
act	sibig
mire	pusali
decortication	halibhib
repeated stab	halihaw
flogging	halubid
superficial	hambaw
lascivious	handak
chopped	hapak
short	hapag
Last Supper	Huling Hapunan
snore	harok
jasper	haspe
geranium	heranyo
region	hibaybay
enigma	hibat
torn	hiklas
poorly made	hilako
ointment	hinas
relative	hinlog
mystery	hiwaga
court of first instance	hukumang unang dulugan
court of appeals	hukuman sa paghahabol
signal	hudyat
doltish	hunghang
fumigation	suob
placeholder name	Juan dela Cruz
suspicion	suspetsa
exchange	tuway
scare away	mambugaw
mercury	asoge
ignorant	mangmang
I don't know	ewan ko
level	patag
I don't speak English	hindi ako marunong mag-Ingles
I'm a Catholic	Katoliko ako
do you believe in God	nananampalataya ka ba sa Diyos
I'm lost	naligaw ako
beware of the dog	mag-ingat sa aso
no smoking	bawal manigarilyo
no parking	bawal pumarada
please turn right	kumanan ka
the toilet is clogged	barado ang inodoro
I've been robbed	ninakawan ako
I don't care	wala akong pakialam
I don't understand	hindi ko maintindihan
I'll call the police	tatawagan ko ang pulis
pleased to meet you	masayang makilala kita
welcome	maligayang pagdating
how old are you	ilang taon ka na
excuse me	pasintabi
he's unconscious	wala siyang malay
do you have any brothers or sisters	may mga kapatid ka ba
I have asthma	may hika ako
I have a fever	nilalagnat ako
I have cancer	may kanser ako
I have a question	may tanong ako
question	tanong
eraser	pambura
cut off	putulan
anatomy	anatomiya
cheap	magmura
yearly	taunan
invalidate	ipawalang-bisa
void	walang bisa
paint	magbrotsa
paintbrush	brotsa
damage	pinsala
wise	marunong
stained	marungis
ardent	marubdob
mangosteen	manggustan
amazement	mangha
slow	marahan
aggressive	marahas
handsome	marilag
well-off	mariwasa
abominable	marawal
honorable	marangal
stingy	maramot
just	marapat
price	presyo
friar	prayle
act	pagpirot
twirl	pirutin
splash	pumisik
treasure	gambang
large spider	gambagamba
deep	galusgos
earthen jar	galong
loud laughter	galakgak
pitch	galagala
basket	galalan
fine dust	galabok
settled dust	gabok
dusty	magabok
bran	darak
stinging pain	antak
spouse	jowa
clear	klaro
great blaze	lagablab
sound	lagaklak
sawfish	lagaring-pating
sound	lagasaw
stale	lagibas
creak	lagitlit
noise	lagislis
draw-well	lagumba
basting stitch	lagwat
gradually sloping	lalay
raise	magtaas
hold	magtaban
act	pagtaban
broken	punggal
abstinence	pangilin
armful	pangko
decoy	pangati
ambition	pangarap
defeated	olats
sour mien	mukhasim
frown	simangot
wink	pagkindat
giggle	bungisngis
dishwasher	tagahugas ng plato
bolo	gulok
how	gaano
severe form	guham
lewd	malaswa
recollection	gunita
big	habubos
underpants	salawal
sudden pull	haklit
obstruction	hadlang
raspy	hagahas
coarse	hagakhak
snip	gupit
play dead	magpatay-patayan
overthrow	magkudeta
disability	kapansanan
agreement	kasunduan
clarification	paglilinaw
clarification	klaripikasyon
dessert	panghimagas
fond	palabasa
add	magdagdag
everlasting	walang hanggan
whet	hasain
sharpen	manghahasa
novelist	nobelista
professor	propesor
son of a bitch	anak ng puta
son of a bitch	anak ng tupa
run over	sagasain
famine	taggutom
idiom	talinghaga
masochist	masokista
frisk	kapkapan
autopsy	awtopsiya
wild pig	baboy-ramo
port	daungan
snail	kuhol
billiards	bilyar
billiard room	bilyaran
sabotage	manabotahe
gunpowder	pulbura
necktie	kurbata
delegation	delegasyon
department	kagawaran
dialogue	dayalogo
dozen	dosena
foreign	banyaga
page	pahina
voltage	boltahe
gallant	magilas
thin slice	gayat
worry	mag-alala
slicer	panggayat
act	paggayat
slice	maggayat
happy	sumaya
Ordóñez	Ordoñez
butterfly	bilabila
walk	maglakad
help	tulong
short story	maikling kuwento
barter	palitan
sadness	lungkot
happiness	kasiyahan
tiny	munsik
suggestion	mungkahi
snicker	humagikgik
abuse	pagmamalupit
file	magsumbong
file	isumbong
permit	pahintulot
fight	lumaban
stab	saksakin
whisper	bumulong
deviate	lumihis
disobey	sumuway
disobedience	pagsuway
drive	magmaneho
towel	tuwalya
sign	karatula
prickly heat	bungang-araw
manipulate	manipulahin
splash	tampisaw
sympathy	simpatiya
sweat	magpawis
inject	magturok
cherub	kerubin
contractor	kontratista
molest	mangmolestiya
molest	molestiyahin
heads or tails	kara-krus
constitution	saligang batas
Constitution	Saligang Batas
shoemaker	sapatero
Tuason	Tiongson
Indonesian	Indones
palace	palasyo
mosquito net	kulambo
lymph node	kulani
mist	kulap
cicada	kulilis
quagmire	kulunoy
their	kanila
your	inyo
decayed	gapo
hit	batukan
acting	hinayupak
demolish	buwagin
Saint Peter	San Pedro
cursed	lintik
have sex	magseks
large penis	tarugo
twin	kambal
smoke	magyosi
true	totoo
native	katutubo
Viagra	Bayagra
surround	kuyugin
calm	matiwasay
basket	kaing
adult male carabao	kalakyan
resin	kalamak
idle gossip	kalantari
copra	kalibkib
shiver	kaligkig
residue	kalot
ravine	kalugay
large basket	kalya
grindstone	kamanga
heavy	kasag
juicy	makatas
desert	ilang
poet	manunula
ancestor	ninuno
well	pasang
anchor	pasangit
jump	patok
scar	peklat
pressed	pigis
pin	aspile
mange	dusdos
nap	idlip
grunt	igik
slide downward	dumausdos
rustle	kaluskos
toy trumpet	torotot
hernia	luslos
turmeric	luyang dilaw
shield	kalasag
press conference	pulong balitaan
board	hurado
person	huramentado
run amok	maghuramentado
sadness	lumbay
racketeer	raketero
hand glove	guwantes
groove	kutab
owl	kuwago
former coin	kusing
big blaze	dagabdab
noise	dagalwak
sudden	dagasdas
abbreviation	daglat
isthmus	dalahikan
cultivated highland	dalatan
forefinger	hintuturo
large dragonfly	hintutubi
champac	tsampaka
responsibility	pananagutan
keyhole	susian
bunt	suwag
smear	hilahid
slippery	labso
swish	labtik
long stride	lakdang
take	lumakdang
act	pupol
talkative	makati ang dila
file	magdemanda
decoration	dekorasyon
decoration	palamuti
expression	hesusmaryosep
engage	magbenta ng laman
snout	nguso
massacre	masaker
death	kamatayan
assault rifle	armalayt
quarry	tibagan
seafarer	mandaragat
hell	impiyerno
provoke	mang-udyok
provoke	udyukan
statue	istatuwa
kata-kata	katakata
priority	prayoridad
violence	karahasan
experience	karanasan
territory	teritoryo
patriotic	makabayan
opposite	kabaligtaran
reverse	baligtad
opposite	taliwas
public service	serbisyong publiko
public transport	pampublikong transportasyon
test	pagsusulit
cause	mag-alboroto
meanness	kabulastugan
obscenity	kahalayan
fare	pasahe
fine physique	linuknok
mannequin	maoy
human spoor	manusya
poor	maralita
sensitive	maramdamin
pompous	marangya
grand	maringal
high	marurok
scale	kaliskis
circumflex	maragsa
custody	kustodiya
bent	baluktot
Macaraig	Macaraeg
bass	malagong
intimate	laguyo
pontoon	bangkilas
multicolored rooster	bangkas
light stroke	bantil
stagnant	mabantot
whale shark	butanding
siblinghood	kapatiran
neighborhood	kapitbahayan
foresight	sapantaha
voice	tinig
container	lagayan
corruption	katiwalian
ceasefire	tigil-putukan
leper	ketongin
cooperative	kooperatiba
offer	alok
proposal	panukala
violate	lumabag
violation	paglabag
franchise	prangkisa
post	magpaskil
fish	mangisda
citizen	mamamayan
community	pamayanan
town hall	bahay pamahalaan
police force	kapulisan
berm	pilapil
detailed	detalyado
shumai	siomai
four	kuwatro
seven	siyete
nine	nuwebe
ten	diyes
row	sagansan
coldness	ginaw
Tagalog Baybayin	ᜀ
inherit	magmana
Macau	Hizon
Middle Ages	Gitnang Panahon
second	ikalawa
proof	patunay
attractive	kaakit-akit
slug	lintang-kati
high	malayog
elevation	layog
like that	gayon
appellation	ditse
martial law	batas militar
dahlia	dalya
olive oil	langis ng oliba
lettuce	letsugas
apricot	albarikoke
jellyfish	dikya
asparagus	esparago
cauliflower	koliplor
cassava	kamoteng-kahoy
beet	remolatsa
asafoetida	inggo
mushroom	kabute
plum	sirwelas
watcher	bakay
prayer	dalangin
contraband	kontrabando
bend	liko
snore	hilik
joy	tuwa
wash	hugasan
Quezon City	Morato
Biñan	Alonte
tree	bitaog
mildness	lumanay
soft	lunot
fervent	lunggati
light bump	dunggol
dirt	dusing
comparison	paghahambing
conspiracy	sabwatan
accessory	kasabwat
rock paper scissors	jak-en-poy
unaware	natutulog sa pansitan
kumapit	kumapit sa patalim
beautiful	diwata
bravery	tapang
rapid stamping	tarang
long	tarat
arrogance	taray
metal filings	tayubasi
weak gasping	tikab
hectare	ektarya
theater	dulaan
poor	dukha
inkwell	dinsulan
famished	dayukyok
bite	dawi
aphid	dapulak
measure	dapal
altar	dambana
extreme hunger	dalurok
college	dalubhasaan
scientist	dalub-agham
open sea	dagatan
guinea pig	dagang puti
comma	kuwit
wart	kulugo
slight haziness	kulabo
cookies	kukis
day after tomorrow	samakalawa
listen	pakinggan
Tuason	Sioson
insistent	mapilit
red	mayahin
dullness	tumal
route	tumpa
route	pagtumpa
stupid	tunggak
stupidity	katunggakan
surround	sukol
spy	espiya
lovesickness	amoritis
albino	anak-araw
having	maanak
child	anak-pawis
suave	anayad
form	anayo
last rinsing	anlaw
moderate	banayad
unintelligible murmuring	lingawngaw
row	kalinggalan
pulsation	kutob
turmoil	linggaw
narrow	linggi
species	lingindayat
stupefied	lingming
widespread	lipana
plowshare	lipya
pulse beat	litik
pried loose	litang
adult	maygulang
mazurka	masurka
one kind	panay
type	monay
good	matamis ang dila
stubborn	matigas ang ulo
wealthy person	matabang isda
slow	mahinay
evil person	masamang damo
bald	kutipyo
dish mixture	padpo
hollowed	sandakati
light touch	sanggi
idler	sanggano
protrusion	sangod
blemish	sangmukti
sweet basil	sangig
strong disagreeable odor	sanghid
wound	sapnit
threaded tool	sikwan
bobbin	simpian
narrowness	simpit
many task	salwa
tiny pimple	samasam
accumulation	sambog
chew	nguya
middle name	gitnang pangalan
young	kilaw
imitation	tulad
hand-to-hand fight	hamok
impatience	inip
sparkle	kislap
spanker	pamalo
demon	demonyo
apology	patawad
armor	baluti
entrance	pasukan
representative	kinatawan
prescription	reseta
indulgence	indulhensiya
forgiveness	kapatawaran
possessed	sinaniban
intention	hangad
colonialism	kolonyalismo
pustule	panyakit
snuffer	panutog
light	hipig
squirming	hirol
slashing noise	laganas
extreme thinness	lagod
sound	laguslos
gruff	lanog
singing	lanlan
sunken	langal
elongated	langkaw
idle	langayak
spongy	langkal
caressing expression	langyot
type	lapig
sheet	laskuta
nude	lastag
ballet	baley
surely	piho
juncture	hugpong
wideness	luwang
twine	bidbid
jostling	gitgit
head	iling
Loriculus philippensis	kulasisi
armpit	kilikili
gill	hasang
palate	ngalangala
pawn	isangla
tangerine	ponkan
just now	ngangayon
continuous	ngayngay
space	ngingi
ovary	bahay-itlog
Butastur indicus	tikwi
thyroid gland	kulangi
dismantled	baklas
jute fiber	langgotse
inhaler	langhapan
glassfish	langaray
life preserver	salbabida
ladle	sandok
rivulet	sanog
inhalation	sangab
barley	sebada
whistling	sipol
acridness	pakla
small moth	gamugamo
slime	alabwab
surface dust	alabok
dusty	maalabok
abortion	pagpapaagas
account	salaysay
heavily beaten	bugbog-sarado
gutom	patay-gutom
no	dehins
brain	kokote
connecting	dugtong
legend	alamat
leaking	batiti
positive	lantay
knowledge	malay
draw water	mag-igib
activist	aktibista
ankle	buol
piglet	buwik
namesake	kaalan
ductile	makunat
lousy	makuto
slow	makuyad
infested	madaga
full	madagta
leafy	madahon
meaningful	madiwa
dramatic	madula
shaky	magalaw
oblique	hiwas
wish	hiling
worker	manggagawa
bowlegged	sakang
mixture	sahog
mouthful	samuol
aroma	samyo
woven	sawali
mention	sambit
clothes	sampay
kind	luwan
slowness	luway
