Հայաստանի	Հայաստանի Հանրապետություն
alga	ջրիմուռ
shop window	ցուցափեղկ
firewood	վառելափայտ
psalm	սաղմոս
mercy	ողորմություն
race	մրցավազք
arms race	սպառազինությունների մրցավազք
arming	սպառազինություն
thermostat	թերմոստատ
function	գործառույթ
storm	մրրկել
powerless	անզոր
disconsolate	անամոք
excited	գրգռված
horny	ղզղնած
anus	հետանցք
anus	սրբան
corridor	միջանցք
Kyrgyz	ղրղըզ
Kyrgyz	ղրղզական
mineral	հանքային
bed	մահիճ
actress	դերասանուհի
paste	մածուկ
geometrical	երկրաչափական
engraving	փորագրություն
sober	զգաստամիտ
grief	դարդ
marvelous	սքանչելի
order	պատվիրել
obedient	հնազանդ
spotless	անբիծ
eternally	հավիտյան
conference	համաժողով
conference	կոնֆերանս
conference	կոնֆերենցիա
congress	խորհրդաժողով
debate	ասուլիս
misfortune	դժբախտություն
catastrophe	կատաստրոֆա
reform	բարեփոխում
mastery	վարպետություն
metathesis	դրափոխություն
worker	աշխատող
dissimilation	տարնմանություն
skyscraper	երկնաքեր
softening	փափկացում
palatalization	քմայնացում
assimilation	առնմանություն
dental	ատամնային
labial	շրթնային
velar	ետնալեզվային
anal	սրբանային
hive	փեթակ
seduction	գայթակղություն
interest	հետաքրքրություն
curious	հետաքրքրասեր
inquisitive	հարցասեր
slave	ստրկատիրություն
impressive	տպավորիչ
subjectability	ենթարկելիություն
objectness	առարկայություն
enthusiastic	խանդավառ
probable	հավանական
improbable	անհավանական
probability	հավանականություն
vicious circle	արատավոր շրջան
fetish	ֆետիշ
transitory	անցողական
transitory	անանցողական
collaboration	գործակցություն
regular	կանոնավոր
irregular	անկանոն
adjectival	ածականային
linguistic	լեզվական
vicious	արատավոր
adverbial	մակբայական
description	նկարագրություն
sodomy	սոդոմականություն
asteroid	աստերոիդ
starlike	աստղանման
starlike	աստղակերպ
whiteness	ճերմակություն
white	ճերմակ
meteorite	երկնաքար
useful	օգտակար
model	մոդել
useless	անօգուտ
unusable	անգործածելի
usefulness	օգտակարություն
traditional	ավանդական
urgent	շտապ
հնչյունաբանական	ՄՀԱ
association	ասոցիացիա
International Phonetic Alphabet	միջազգային հնչյունաբանական այբուբեն
front	աղաք
unjust	անիրավ
clay	քրեղան
ruble	մանեթ
bite	թիքա
porridge	շիլա
photographer	լուսանկարիչ
colloquial	խոսակցական
sound	հնչյունային
sound	հնչյունական
pupa	հարսնյակ
Hayrapetyan	Հայրապետյան
brothel	բորդել
guilt	մեղավորություն
guilty	մեղավոր
innocent	անմեղ
innocence	անմեղություն
sonorous	ձայնեղ
dissection	հերձում
kernel	կորիզ
kernel	կորիզային
boiling	եռացում
subjectivity	սուբյեկտիվություն
objectivity	օբյեկտիվություն
search	խնդրություն
subjection	ենթակայություն
Comnenus	Կոմնենոս
Ter-Petrosyan	Տեր-Պետրոսյան
fortune	հարստություն
Levant	Լեւանտ
Montpellier	Մոնպելիե
Sorbonne	Սորբոն
պետական	ԵՊՀ
introduction	ներածություն
Clermont	Կլերմոն
Urban	Ուրբանոս
Norman	նորման
Norman	նորմանական
principality	իշխանապետություն
Conrad	Կոնրադ
Louis	Լյուդովիկոս
atabeg	աթաբեկ
Zengi	Զանգի
county	կոմսություն
Saladin	Սալահեդդին
Frederick	Ֆրիդրիխ
Philip	Ֆիլիպ
Richard	Ռիչարդ
cardiac	սրտային
Pelagius	Պելագիոս
sultan	սուլթան
caliph	խալիֆ
Ayyubid	Այուբյան
reconquest	վերանվաճում
antiheretical	հակահերետիկոսական
anti-	հակաօսմանյան
Mosul	Մոսուլ
intrusion	ներխուժում
in	ներ-
occupation	օկուպացիա
snowflake	ձյունափաթիլ
snowflake	փաթիլ
Snow White	Սպիտակաձյունիկ
defer	տարկետել
deferment	տարկետում
divert	շեղել
manual	ձեռային
pulmonary	թոքային
oral	բերանային
credible	արժանահավատ
reliable	վստահելի
trust	վստահել
snowman	ձնեմարդ
snow	ձյունե
bone marrow	ոսկրածուծ
filter	քամոց
jazz	ջազ
saviour	փրկիչ
holy war	սրբազան պատերազմ
jihad	ջիհադ
pilgrimage	ուխտագնացություն
pilgrim	ուխտագնաց
colonialism	գաղութատիրություն
colonel	գնդապետ
colonialist	գաղութատեր
station	հանգրվան
Norayr	Նորայր
West	Արեւմուտք
Orient	Արեւելք
crusading	խաչակրություն
Artuqid	Արտուքյան
Fatimid	Ֆաթիմյան
Holy Land	Սուրբ Երկիր
Seljuq	սելջուկ
motivation	մոտիվացիա
Central Asian	միջինասիական
Ասիա	Միջին Ասիա
blindness	կուրություն
կայսրություն	Բյուզանդական կայսրություն
Byzantine	բյուզանդական
caliphate	խալիֆաթ
Seljuk	սելջուկյան
Lotharingian	լոթարինգացի
Fleming	ֆլամանդացի
Apulia	Ապուլիա
foot soldier	հետեւակային
Norman	նորմանդացի
hermit	ճգնավոր
Latakia	Լաթաքիա
Tartus	Տարտուս
Lombard	լոմբարդացի
Byblos	Բիբլոս
Byblos	Ջիբեյլ
Homs	Հոմս
garrison	կայազոր
Samosata	Սամոսատ
Edessene	եդեսացի
Edessene	եդեսական
Jacobite	հակոբիկ
Nestorian	նեստորական
Suruç	Սրուճ
Diyarbakır	Դիարբեքիր
Melitene	Մելիտենե
Danishmend	Դանիշմենդյան
seigneurie	սենյորություն
Al-Raqqah	Ռակկա
Harran	Խառան
mameluke	մամելյուկ
Angevin	անժուացի
Poitevin	պուատիեցի
Amanus	Ամանոս
Apamea	Ապամեա
Byzantine	բյուզանդացի
Antiochene	անտիոքացի
Lusignan	Լուսինյան
Alsatian	էլզասցի
Flanders	Ֆլանդրիա
templar	տաճարական
sick	հիվանդախնամ
citadel	միջնաբերդ
Bohemond	Բոհեմունդ
Chorasmian	խորեզմցի
prince	պրինց
Baybars	Բայբարս
Seleucia	Սելեւկիա
Ashkelon	Ասկալոն
Pisan	պիզացի
Pisa	Պիզա
Pisan	պիզայական
Venetian	վենետիկյան
Venetian	վենետիկցի
theocratic	թեոկրատական
theocracy	թեոկրատիա
Genoese	ջենովական
Genoese	ջենովացի
Tyrian	տյուրացի
Hauran	Հաուրան
Anjou	Անժու
Baalbek	Բաալբեկ
Ismaili	իսմայելիտ
piece	խաղաքար
royal	արքայական
quarrel	գժտվել
ascend	գահակալել
Attalia	Ատալիա
Aragonese	արագոնացի
Sicilian	սիցիլիացի
Catalan	կատալոնացի
Holy See	Սուրբ Աթոռ
Milanese	միլանցի
Famagusta	Ֆամագուստա
Limassol	Լիմասոլ
landing	ցամաքահանում
Morea	Մորեա
altruistic	այլասիրական
Maronite	մարոնիտ
Maronite	մարոնիտյան
Safavid	Սեֆյան
Rubenid	Ռուբինյան
Hethumid	Հեթումյան
surfing	սերֆինգ
hapless	ապաբախտ
classical	դասական
chainsaw	բենզասղոց
contemporary	ժամանակակից
illusory	խաբեպատիր
reversal	շրջում
misunderstanding	թյուրիմացություն
Antiochene	անտիոքյան
Varangian	վարյագ
Varangian	վարյագական
chronicler	ժամանակագիր
chronicle	ժամանակագրություն
Cilician	կիլիկյան
Cilician	կիլիկիացի
quantitative	քանակական
situation	իրավիճակ
logical	տրամաբանական
quadrilateral	քառանիստ
Osroene	Օսրոյենե
pager	փեյջեր
mahjong	մահջոնգ
udon	ուդոն
ramen	ռամեն
sushi	սուշի
sashimi	սաշիմի
sake	սակե
ravioli	ռավիոլի
pretzel	բրեցել
coincidence	զուգադիպություն
relation	առնչություն
notary	նոտար
screenplay	սցենար
screenwriter	սցենարիստ
produce	արտադրել
producer	արտադրող
casting	քասթինգ
suppose	ենթադրել
supposed	ենթադրելի
supposed	ենթադրյալ
envisage	նախատեսել
anticipation	նախատեսություն
anticipation	նախատեսում
youngest	կրտսեր
scatterbrained	ցնդուկ
disarmament	զինաթափություն
test	փորձարկել
tester	փորձարկիչ
researcher	փորձարկու
test	փորձարկություն
test	փորձարկում
nuclear	միջուկային
nucleus	միջուկ
depict	նկարահանել
rebus	նկարահանելուկ
film	նկարահանում
basic	հիմնական
basically	հիմնականորեն
mainly	հիմնականում
organize	կազմավորել
organization	կազմավորում
studio	ստուդիա
found	հիմնադրել
founding	հիմնադրություն
woman	հիմնադրուհի
founding	հիմնադրում
foundational	հիմնադրական
short film	կարճամետրաժ ֆիլմ
short	կարճամետրաժ
legal	օրինական
computer	կոմպ
palpitation	սրտխփոց
center	կենտրոնանալ
centre	կենտրոնավոր
psychosis	փսիխոզ
chip	չիպ
foreigner	օտարերկրացի
colleague	կոլեգա
gym	ջիմ
teenager	թինեյջեր
sunset	մայրամուտ
solitude	միայնություն
universal	համամարդկային
faithfully	հավատարմորեն
loyally	հավատարմաբար
loyalty	հավատարմություն
target	թիրախ
target	թիրախային
limited	սահմանափակ
limit	սահմանափակել
limiting	սահմանափակիչ
limitingly	սահմանափակորեն
limitedness	սահմանափակվածություն
limitedness	սահմանափակություն
limitation	սահմանափակում
likeable	համակրելի
sympathize	համակրել
sympathy	համակրանք
give	հուսադրել
playwright	դրամատուրգ
laureate	դափնեկիր
all	համամիութենական
concert	հյուրախաղ
principally	առավելապես
cast iron	չուգուն
drummer	թմբկահար
expand	ծավալել
produce	թողարկել
virginity	կուսություն
there	այդտեղ
cannon	թնդանոթ
scrupulous	մանրակրկիտ
improper	անվայել
epoch	դարաշրջան
spell	հմայագիր
superstition	սնահավատություն
unpleasant	անախորժ
disgusting	զզվելի
aversion	զզվել
purgatory	քավարան
destruction	կործանում
ocular	ակնային
snowstorm	ձյունամրրիկ
raising	բարձրացում
emergence	առաջացում
seven deadly sins	յոթ մահացու մեղքեր
deadly	մահացու
anger	բարկություն
greed	ագահություն
gluttony	որկրամոլություն
licentiousness	բղջախոհություն
funny	զավեշտական
funny	զավեշտային
worried	մտահոգ
anxiety	մտահոգել
worrisome	մտահոգիչ
worry	մտահոգվածություն
be	մտահոգվել
worry	մտահոգություն
top	գերխնդիր
if only	երանի
fully	իսպառ
ghost	ուրվական
appeal	բողոքարկում
joke	զվարճախոսել
class	դասակարգ
horseshoe	նալ
meadow saffron	շնդեղ
remote control	հեռակառավարման վահանակ
license plate	պետհամարանիշ
other	այլոց
other	այլք
leek	քուռաթ
alley	քուչա
Alsace	Էլզաս
Benelux	Բենիլյուքս
comparison	համեմատություն
bowl	ճաշաման
bowl	թաս
prosecutor	դատախազ
գեղեցկուհին	Քնած գեղեցկուհին
գլխարկ	Կարմիր գլխարկ
diplomacy	դիվանագիտություն
umbilical cord	պորտալար
entrepreneur	ձեռներեց
palatal	քմային
fuel	վառելիք
spiral	պարույր
flourish	ոլորագիծ
earphone	ականջակալ
metaphor	փոխաբերություն
overestimate	գերագնահատել
underestimate	թերագնահատել
pen-	թեր-
qualitative	որակական
carnivorous	մսակեր
herbivorous	խոտակեր
unbowed	աննվաճ
invincible	անհաղթելի
somnambulist	քնաշրջիկ
somnambulistic	լուսնոտ
stable	ասպաստան
գեն	հայու գեն
Azerbaijani	ադրբեջանական
struggle	պայքար
invalid	անվավեր
valid	վավեր
Turkmen	թուրքմեն
offended	խռով
dialectal	բարբառային
literary	գրական
artistic	գեղարվեստական
perpetual	հավերժ
solitary	մենավոր
ambitious	փառասեր
vain	փառամոլ
vanity	փառամոլություն
impress	տպավորել
impressed	տպավորված
referendum	հանրաքվե
Briton	բրիտանացի
turnover	շրջանառություն
faction	խմբակցություն
euthanasia	էվթանազիա
prostitution	պոռնկություն
prostitution	բոզություն
impossible	անհնար
slaughter	մորթել
obligatory	պարտադիր
component	բաղադրիչ
compose	կազմել
theoretical	տեսական
characteristic	բնորոշ
addition	գումարում
multiplication	բազմապատկում
increase	բազմացում
submit	հնազանդվել
active	ներգործական
hallucination	զգայապատրանք
locative	ներգոյական
accusative	հայցական
instrumental	գործիական
since	սկսած
probably	հավանաբար
maybe	միգուցե
accelerator	արագարար
accelerator	արագացուցիչ
compare	համեմատել
percent	առհարյուր
aide-de-camp	համհարզ
embankment	թումբ
sepuh	սեպուհ
cannon	հրետ
inoculate	պատվաստել
arrogance	գոռոզություն
irresponsible	անպատասխանատու
responsible	պատասխանատու
autocracy	ինքնիշխանություն
paradox	հարակարծություն
paradox	պարադոքս
accounting	հաշվապահություն
accounting	հաշվապահական
accounting	տոմարակալություն
sober	սթափ
gluttonous	որկրամոլ
general	հանուր
sluice	ջրարգելակ
beside	տար-
para-	հարա-
parotid	հարականջային
duty	մաքսատուրք
joke	զավեշտ
passion	կիրք
remote control	հեռակառավարում
remote control	պուլտ
institute	ինստիտուտ
Aleister	Ալիստեր
upcoming	առաջիկա
extract	քաղվածք
compliment	հաճոյախոսել
pleasant	ախորժ
superlative	գերադրական
bulletproof vest	զրահաբաճկոն
practical	գործնական
guinea pig	ծովախոզուկ
straitjacket	զսպաշապիկ
restrain	զսպել
bodily	մարմնական
monopthong	մենաբարբառ
friendly	մտերմական
facilitate	դյուրացնել
complicate	բարդացնել
heir	ժառանգորդ
heir	ժառանգ
inherit	ժառանգել
borrow	փոխառել
calque	բառապատճեն
nudism	մերկապաշտություն
nudism	նուդիզմ
nudist	մերկապաշտ
printing house	տպարան
printing	գրատպություն
printing	տպագրություն
snowboard	սնոուբորդ
snowboard	ձյունատախտակ
drill bit	գայլիկոն
infertile	չբեր
publishing house	հրատարակչություն
paradigm	հարացույց
jealous	խանդոտ
right-handed	աջլիկ
fit	նոպա
Islamization	իսլամացում
Islamize	իսլամացնել
ore	հանքաքար
corruption	կոռուպցիոն
agency	գերատեսչություն
appropriate	համապատասխան
report	զեկույց
vegetable garden	բանջարանոց
vanish	չքանալ
disappear	անհետանալ
feeling	զգացում
illiterate	անգրագետ
compose	շարահյուսել
holocaust	ողջակիզում
bellows	փուքս
righteousness	իրավախոհություն
unanimous	միաձայն
proportionate	համաչափ
commensurate	չափակից
informed	իրազեկ
structure	կառույց
grant	դրամաշնորհ
census	մարդահամար
realize	իրականացնել
exclusively	բացառապես
office	ծառայողական
coordinator	համակարգող
grant	գրանտակեր
grant	գրանտ
wallpaper	պաստառ
how	ոնց
potato	կարտոշկա
offer	առաջարկ
demand	պահանջարկ
demand	պահանջ
down	ներքեւ
by dint of	պատճառավ
because of	պատճառով
base	ստոր
sub-	ստոր-
American	ամերիկուհի
Turkmen	թուրքմենական
departure	մեկնում
student strike	դասադուլ
rest	դուլ
set	մայր մտնել
look	մտիկ անել
society	հանրություն
Pashinyan	Փաշինյան
disobedience	անհնազանդություն
disobedient	անհնազանդ
EU	ԵՄ
NA	ԱԺ
ժողով	Ազգային ժողով
arrest	ձերբակալել
kidnap	առեւանգել
accredit	հավատարմագրել
smokescreen	ծխածածկույթ
format	ձեւաչափ
spirit	դուխ
courage	դուխով
rally	հանրահավաք
association	միավորում
joining	միացում
Pasha	Փաշա
prospects	անհեռանկարային
lead	անցկացնել
Nikoghayos	Նիկողայոս
certainty	վստահություն
mass	զանգվածային
radio station	ռադիոկայան
willing	պատրաստակամ
personal	անձնական
mass grave	եղբայրական գերեզման
celebrate	տոնել
mark	նշել
crescent	մահիկ
Chilean	չիլիական
Chilean	չիլիացի
demonstrator	ցուցարար
ճանապարհային	ՃՈ
road	ճանապարհային
doughnut	փքաբլիթ
doughnut	պոնչիկ
calendar	օրացույց
oesophagus	կերակրափող
raise	բարձրացնել
de facto	դե ֆակտո
de jure	դե յուրե
speedy	շուտափույթ
aviation	ավիացիա
prime	առաջնային
enthusiasm	ոգեւորություն
inspire	ոգեւորել
highest	բարձրագույն
during	ընթացքում
in reality	իրականում
constantly	մշտապես
geopolitical	աշխարհաքաղաքական
personality	անհատականություն
organizing	կազմակերպում
quickly	շուտ-շուտ
tieless	անփողկապ
velvet	թավշյա
Velvet Revolution	թավշյա հեղափոխություն
elite	վերնախավ
impatient	անհամբեր
dagger	դաշույն
porter	համբալ
damaged	վնասվել
harm	վնասել
retina	ցանցաթաղանթ
retina	ցանցենի
short-term	կարճաժամկետ
parenthesis	փակագիծ
ophthalmology	ակնաբանություն
ophthalmology	ակնաբուժություն
patient	համբերատար
godfather	կնքահայր
civilization	քաղաքակրթություն
pessimistic	հոռետես
sink	սուզվել
bald-headed	ճաղատ
bat	չիղջ
pedophile	մանկապիղծ
cardiologist	սրտաբան
cardiology	սրտաբանություն
complex	համալիր
nail down	գամել
extreme	ծայրահեղ
poverty	աղքատություն
occupy	զբաղեցնել
general	ընդհանրական
ill will	չարակամություն
moving	հեռացում
reconstruction	վերակառուցում
installation	տեղադրում
fatigue	հոգնեցնել
cause	պատճառել
beautiful	չքնաղ
vote	քվեարկել
vote	քվեարկություն
strike	զարկ
patrol	դետ
Adler	Ադլեր
supplement	լրացնել
Zohrab	Զոհրաբ
vice	փոխ-
vice president	փոխնախագահ
deputy	փոխնախարար
Twitter	Թվիթեր
Google	Գուգլ
YouTube	Յություբ
Instagram	Ինստագրամ
resource	ռեսուրս
brainstorming	մտագրոհ
attack	գրոհել
attack	գրոհ
orthoepy	ուղղախոսություն
stalactite	շթաքար
stalagmite	պտկաքար
arsenal	զինանոց
asparagus	ծնեբեկ
remorse	զեղջ
discount	զեղչ
Slavic	սլավական
noteworthy	տեսարժան
landmark	տեսարժան վայր
knock	թակոց
wake	արթնացնել
announce	ազդարարել
sapling	տնկի
colour	գուներանգ
drought	երաշտ
scurvy	լնդախտ
fir	եղեւին
statistical	վիճակագրական
statistician	վիճակագիր
statistics	վիճակագրություն
desirable	ցանկալի
social	հասարակական
coat of arms	զինանշան
such	այնպիսի
precedent	նախադեպ
greet	ողջունել
backpack	ուսապարկ
pantry	չուլան
remind	հիշեցնել
parliament	պառլամենտ
reneging	առնետավազք
royalty	ռոյալթի
extremity	ծագ
Internet	ինտերնետային
Internet	համացանցային
hacker	ցանցահեն
appear	հանդիսանալ
sculptor	քանդակագործ
no longer	այլեւս
centennial	հարյուրամյակ
working	գործելաոճ
green light	դաբրո
connection	կապվել
effective	արդյունավետ
equality	հավասարություն
pride	պարծանք
cavalry	հեծելազորային
combat	մարտական
patriotic	հայրենասիրական
stand	տրիբունա
confidently	վստահաբար
technological	տեխնիկական
border guard	սահմանապահ
counterblow	հակահարված
sabotage	սաբոտաժ
sabotage	նենգադուլ
rely	ապավինել
out-of-turn	արտահերթ
ablative case	խուսափել
vendetta	վենդետա
temporary	ժամանակավոր
cancel	չեղարկել
Nazi	նացիստական
creative	կրեատիվ
prism	պրիզմա
on hand	առձեռն
Surgut	Սուրգուտ
Mineralnye Vody	Միներալնիե Վոդի
woe	վայ
ivory	փղոսկր
bodyguard	փուշտիպան
jackal	գայլաշուն
poison	ժահր
span	թիզ
worry	հոգս
care	հոգ
Turk	տաճիկ
bad	վատթար
awake	ակահ
worthy	արժան
refuge	ապաստան
disquieting	անդոհական
inhabited	ապատ
announcement	ազդ
whole	բովանդակ
propaganda	քարոզչություն
knowledge	քրիստոսածանոթ
estate	դաստակերտ
parasang	հրասախ
advocate	ջատագով
supplier	մատակարար
defeated	նկուն
cloak	պատմուճան
impure	պիղծ
authority	վլաստ
owl	բայղուշ
Marx	Մարքս
Engels	Էնգելս
scapegoat	քավության նոխազ
atonement	քավություն
record	ձայնապնակ
fee	վճար
different	զանազան
hospitable	ասպնջական
letter	հրովարտակ
massacre	նախճիր
permit	թույլատրել
Satan	սատանա
porpoise	ծովախոզ
dilemma	երկընտրանք
tendency	միտում
prisoner	բանտարկյալ
early	կանուխ
fart	թիս
propeller	պտուտակ
cork	խցել
monopoly	մենաշնորհ
fury	կատաղություն
mucus	լորձ
mucus	լորձունք
engaged	նշանվել
engage	նշանել
multicolored	բազմերանգ
coarse	կոպիտ
underwear	կանձուլ
jackhammer	հետահար մուրճ
always	հանապազ
hall	դահլիճ
grey	ճարտուկ
mottled	պիսակ
fiery	ատրագույն
litter	դեսպակ
impress	դրոշմ
CSTO	ՀԱՊԿ
bale	հակ
plump	գիրգ
ghost	ուրու
compromise	կոմպրոմիս
Parisian	փարիզյան
Gyurjinyan	Գյուրջինյան
go	դիմել
ancient	հինավուրց
sarcasm	սարկազմ
general	գեներալ
permission	թույլտվություն
liquidate	լուծարել
illegal	ապօրինի
ammunition	զինամթերք
vehicle	ավտոպարկ
animal	սատկել
sleeveless	կոռտիկ
censer	բուրվառ
village	գյուղապետ
municipality	համայնքապետ
genocide	ցեղասպան
noise	աղմկել
landscape	բնապատկեր
heal	ապաքինել
chiliarch	հազարապետ
windscreen	պարբրիս
user	օգտատեր
use	օգտվել
Facebook	ֆեյսբուքյան
prisoner of war	ռազմագերի
reasonable	ողջամիտ
strict	խիստ
Sunday	կիրակնօրյա
search	խուզարկություն
search	որոնում
reconciliation	հաշտեցում
value	լիարժեք
strenuous	քրտնաջան
diminish	փոքրացնել
economy	էկոնոմիկա
tax	հարկել
base	բազա
analytic	վերլուծական
message	մեսիջ
dependency	կախվածություն
eye socket	կապիճ
frankincense	կնդրուկ
brocade	դիպակ
hornet	ձիաբոռ
pleasant	անուշակ
menu	մենյու
dislodge	տեղաշարժել
conqueror	աշխարհակալ
marzban	մարզպան
fault	վրեպ
miscarry	վիժել
arise	ծագել
stir	քրքրել
newcomer	եկվոր
act	վարվել
arsenic	զառիկ
ID card	նույնականացման քարտ
all-knowing	ամենագետ
detective	խուզարկու
agile	ճարպիկ
wonderful	հիասքանչ
heterogeneous	տարատեսակ
font	տառատեսակ
arrive	ժամանել
although	թեեւ
Armenian	հայաշատ
Mushegh	Մուշեղ
midfield	կիսապաշտպանություն
midfielder	կիսապաշտպան
but	սակայն
yellow card	դեղին քարտ
red card	կարմիր քարտ
whistle	սուլել
final	եզրափակիչ
historical	պատմական
advantage	առավելություն
advertisement	ռեկլամ
genius	հանճարեղ
team	թիմային
velvet	թավիշ
incense	խունկ
coach	մարզիչ
transfer	փոխանցել
criminality	հանցավորություն
lawn	գազոն
lawn mower	գազոնահնձիչ
torture	խոշտանգել
NATO	ՆԱՏՕ
reality	իրողություն
capitalist	կապիտալիստական
personnel	կադրային
Madrid	մադրիդյան
public	հանրային
get ready	պատրաստվել
tax	հարկային
topic	թեմա
fraudster	ընտրակեղծարար
criminal	քրեական
sure	համոզված
indeed	իսկապես
frankness	անկեղծություն
extortionist	դրամաշորթ
deacon	սարկավագ
stent	ստենտ
past tense	անցյալ ժամանակ
diarrhea	իսհալ
urine	պավլ
epilepsy	ընկնավորություն
dizziness	գլխապտույտ
vertigo	տավվար
Ordubad	Օրդուբադ
manager	կառավարիչ
traffic light	լուսաֆոր
barely	հազիվ
disability	հաշմանդամություն
disabled	հաշմանդամ
epilepsy	սարա
veil	քող
whistle	սուլիչ
unbearable	անտանելի
coincide	համընկնել
etymologist	ստուգաբան
hexagon	վեցանկյուն
damson	դամոն
harmony	ներդաշնակություն
congress	համագումար
hole	փոս
humanist	հումանիստ
background	ֆոն
patient	պացիենտ
flooding	հեղեղում
soporific	քնաբեր
anthropomorphism	անթրոպոմորֆիզմ
asceticism	ասկետիզմ
excitement	գրգիռ
educate	կրթել
Caucasian	կովկասյան
Caucasian	կովկասցի
educated	կիրթ
knight	ասպետական
positive	դրական
negative	բացասական
relate	վերաբերել
Menua	Մենուա
community	համայնք
behead	գլխատել
train	վարժեցնել
accustom	սովորեցնել
pleasant	հաճելի
extort	շորթել
felt	թաղիք
basket	լրազամբյուղ
moron	դեբիլ
face	ռոժ
Muslim	գյոռ
share	շեյրել
petition	հանրագիր
full	կուշտ
perish	զոհվել
justice	արդարադատություն
convict	դատապարտյալ
optimization	օպտիմալացում
predict	կանխատեսել
continuation	շարունակություն
inset	ներդնել
disrupt	խանգարել
scale	մասշտաբ
LLC	ՍՊԸ
limited liability company	սահմանափակ պատասխանատվությամբ ընկերություն
Meghri	Մեղրի
content	բովանդակություն
activity	գործունեություն
inspection	տեսչական
oil refining	նավթավերամշակում
conclusion	եզրակացություն
trade	առեւտրային
clarification	պարզաբանում
norm	չափաքանակ
dossil	փիլթա
tattoo	դաջվածք
Muradyan	Մուրադյան
wily	յարամազ
whetstone	հեսան
context	կոնտեքստ
sanction	սանկցիա
modernization	արդիականացում
lizard	քարաթոթոշ
Salmas	Սալմաստ
piss	շեռ
pickled	թուռշի
nearsightedness	կարճատեսություն
careless	անփույթ
celery	նեխուր
Salzburg	Զալցբուրգ
personnel	անձնակազմ
lexeme	բառույթ
horsepower	ձիաուժ
pastime	ժամանց
water cannon	ջրցան
member	անդամակից
solution	լուծում
blizzard	ձնաբուք
scoop	գոգաթիակ
thyme	ուրց
conspiring	դավադիր
race	ռասա
ornithology	օրնիթոլոգիա
sift	խարբալել
high-quality	որակյալ
upfront	կանխիկ
roast	տապակել
Geghamyan	Գեղամյան
slanted	ծուռ
Simonyan	Սիմոնյան
Mirzoyan	Միրզոյան
Rustamyan	Ռուստամյան
Marukyan	Մարուքյան
Shirinyan	Շիրինյան
Haroyan	Հարոյան
Avetisyan	Ավետիսյան
Sefilyan	Սեֆիլյան
democratic	դեմոկրատական
ember	պող
parsley	կարոս
fennel	ռազիան
utilize	գործածել
order	կարգադրել
agonize	չարչարվել
easiness	հեշտություն
afflicted	վշտանալ
unexpected	անակնկալ
see in	դիմավորել
see off	ճանապարհել
should	պիտի
crazy	գիժ
difference	տարբերություն
primer	այբբենարան
spokesperson	ներկայացուցիչ
particle	կը
Dakesyan	Դաքեսյան
postpone	հետաձգել
excommunication	նզովք
skill	հմտություն
copy	ընդօրինակել
deny	ժխտել
disperse	ցրել
emitting	բոցարձակ
handcart	ձեռնասայլ
toward	առ-
tapir	գետակինճ
wild boar	կինճ
cure	բժշկել
enough	բավական
sufficient	բավարար
meet	պատահել
burial	թաղում
blackmail	շանտաժ
share	բաժնետոմս
garland	ծաղկեպսակ
share	բաժին
light	շեկ
trifle	տունտունիկ
number	քանակություն
video	տեսանյութ
public	հրապարակել
abstaining	ձեռնպահ
preacher	քարոզիչ
pedestrian	հետիոտն
morality	բարոյականություն
torso	իրան
density	խտություն
arms	գիրկ
plot	դավ
at least	առնվազն
alloy	համաձուլվածք
tension	լարում
individual	առանձնյակ
behavior	վարք
autonomy	ինքնավարություն
joke	հանաք
dull	գուլ
invite	հրավիրել
rake	փոցխ
Enfiajyan	Էնֆիաջյան
tolerate	հանդուրժել
consumer	սպառող
confusion	շփոթություն
borrowing	օտարաբանություն
acceptable	ընդունելի
equivalent	համարժեք
exhortation	հորդորակ
sober	օյաղ
subscription	բաժանորդագիր
subscriber	բաժանորդ
temporarily	ժամանակավորապես
abstract	վերացական
disappear	վերանալ
ambitious	հավակնոտ
ambitious	ամբիցիոզ
autoabstract	սեղմագիր
autoabstract	ավտոռեֆերատ
certificate	ատեստատ
balance	հաշվեկշիռ
balance	բալանս
deficit	պակասուրդ
dividend	շահաբաժին
dividend	դիվիդենտ
dissertation	ատենախոսություն
dissertation	դիսերտացիա
dispatcher	դիսպետչեր
dispatcher	կարգավար
emotion	էմոցիա
invalid	ինվալիդ
investment	ինվեստիցիա
legitimate	լեգիտիմ
logic	լոգիկա
board	կոլեգիա
competent	կոմպետենտ
compromise	փոխզիջում
concept	կոնցեպցիա
creative	ստեղծագործ
negative	նեգատիվ
positive	պոզիտիվ
populism	պոպուլիզմ
populism	պոպուլիստ
practical	պրակտիկ
printer	պրինտեր
real	ռեալ
rating	ռեյտինգ
rating	վարկանիշ
symbol	սիմվոլ
symbolic	խորհրդանշական
symbolic	սիմվոլիկ
system	սիստեմ
situation	սիտուացիա
statistics	ստատիստիկա
exercise machine	մարզասարք
exercise machine	տրենաժոր
photocopier	պատճենահան
photocopier	քսերոքս
dugong	դյուգոն
Steller's sea cow	ծովակով
long gun	ատրճան
maimed	սախատ
future	ապակատար
future	ապառնի
lead	արճիճ
moat	խանդակ
kaftan	կապա
analysis	վերլուծություն
synthesis	համադրույթ
juxtaposition	համադրություն
գլխարկը	Կարմիր գլխարկը
four-legged	չորքոտանի
two-legged	երկոտանի
slide	սահել
Artsakhian	արցախյան
