he	on
accuse	osočit
denigrate	očernit
shrink	psychouš
communist	komouš
elephant seal	rypouš
southern elephant seal	rypouš sloní
fatso	břichatec
brand new	zbrusu nový
arbitration	arbitráž
have a look	juknout
call	brnknout
flee	frnknout
flee	upláchnout
butcher's	řeznictví
bakery	pekařství
stationer's	papírnictví
veřejné mínění	mínění
florist's	květinářství
hairdresser's	kadeřnictví
barber's	holičství
cold	chladno
kettledrum	tympán
finding	nález
microsleep	mikrospánek
raspberry	maliník
screenwriter	scenárista
Swabian	švábština
Swabian	Šváb
Swabian	švábský
videotape	videokazeta
specialization	specializace
blackberry	ostružiník
strawberry	jahodník
Knautia arvensis	chrastavec rolní
liverwort	jaterník
iron making	železářství
yarrow	řebříček
radish	ředkev
half board	polopenze
full board	plná penze
edelweiss	protěž
edelweiss	protěž alpská
thuja	zerav
thuja	túje
black locust	akát
acetaldehyde	acetaldehyd
marsh marigold	blatouch bahenní
Caltha	blatouch
shoe rack	botník
periwinkle	brčál
Coccothraustes	dlask
fuchsia	fuchsie
snapdragon	hledík
flier	letec
torture chamber	mučírna
splendor	nádhera
tartar sauce	tatarská omáčka
tartar sauce	tatarka
tambourine	tamburína
green woodpecker	žluna zelená
Picus	žluna
potato chips	brambůrky
potato chips	čipsy
rescue	záchrana
chicory	cikorka
Britain	Británie
fighter	stíhačka
retail store	drogerie
hawfinch	dlask tlustozobý
chaffinch	pěnkava obecná
fuck	omrdat
moron	debžot
shred	skartovat
shredding	skartace
strike	stávkovat
sacristy	sakristie
duodenum	dvanácterník
duodenal	dvanáctníkový
duodenal	duodenální
tailbone	kostrč
bread crumbs	strouhanka
honey fungus	václavka
redwing	cvrčala
rock rose	devaterník
russula	holubinka
plum	bluma
drupe	peckovice
greengage	ryngle
sticky catchfly	smolnička obecná
flower	smolnička
China aster	astra čínská
aster	hvězdnice
cyclamen	brambořík
petunia	petúnie
Delphinium	stračka
toolmaker	nástrojař
saddler	sedlář
glassmaker	sklář
seamstress	švadlena
winegrower	vinař
welder	svářeč
weld	svářet
shepherd	ovčák
polar bear	lední medvěd
sea cow	ochechule
weld	svařovat
materialistic	hmotařský
materialistic	materialistický
materialism	hmotařství
materialist	hmotař
revenge	msta
lime	limetka
lime	limeta
mirabelle plum	mirabelka
sloe	trnka
savory	saturejka
Brussels sprout	růžičková kapusta
marjoram	majorán
chervil	kerblík
Chinese cabbage	čínské zelí
bean	fazol
lettuce	hlávkový salát
kale	kadeřavá kapusta
kale	kapusta kadeřavá
warbler	pěnice
plover	kulík
fisher	rybák
Dendrocopos	strakapúd
Galerida	chocholouš
skate	bruslit
gray	šedivý
divorced	rozvedený
rerum naturalium doctor	RNDr.
mulled wine	svařené víno
mulled wine	svařák
shutter	okenice
cableway	lanová dráha
cableway	lanovka
ski lift	lyžařský vlek
rack railway	zubačka
rack railway	ozubnicová dráha
rack railway	ozubená dráha
pantry	spižírna
server room	serverovna
Eritrean	eritrejský
Eritrean	Eritrejec
Nicaraguan	nikaragujský
Nicaraguan	Nikaragujec
Paraguayan	paraguayský
Paraguayan	Paraguayec
Fijian	fidžijský
Fijian	Fidžijec
Sri Lankan	srílanský
Sri Lankan	Srílančan
Liberian	liberijský
Liberian	Liberijec
Libyan	libyjský
Libyan	Libyjec
Congolese	konžský
Congolese	Konžan
Iraqi	irácký
Iraqi	Iráčan
Iranian	íránský
Iranian	Íránec
Peruvian	peruánský
Peruvian	Peruánec
Bolivian	bolivijský
Bolivian	Bolivijec
Lao	laoský
Lao	Laosan
Ethiopian	etiopský
Ethiopian	Etiopan
Armenian	Armén
Uruguayan	uruguayský
Algerian	alžírský
Kenyan	keňský
Gambian	Gambijec
Andorran	andorrský
Andorran	Andořan
Togolese	tožský
Somali	somálský
Ecuadorian	ekvádorský
Canadian	Kanaďan
Mexican	Mexičan
Cypriot	Kypřan
Zimbabwean	zimbabwský
Zimbabwean	Zimbabwan
New Zealander	Novozélanďan
New Zealand	novozélandský
rash	kách
fuck	do hajzlu
darn	do háje
darn	do prčic
darn	do prkvančic
ruler	potentát
threesome	švédská trojka
really	doopravdy
license plate	SPZ
license plate	státní poznávací značka
license plate	espézetka
oral	orál
sunbathe	chytat bronz
Jordanian	jordánský
Jordanian	Jordánec
carcinogenic	rakovinotvorný
carcinogenic	kancerogenní
carcinogenic	karcinogenní
carbon monoxide	oxid uhelnatý
central bank	centrální banka
chess player	šachista
chorus	refrén
Chilean	chilský
Chilean	Chilan
Namibian	namibijský
Namibian	Namibijec
Nigerian	nigerijský
Nigerian	Nigerijec
Niger	nigerský
Moroccan	marocký
Moroccan	Maročan
Zambian	zambijský
Zambian	Zambijec
Sudanese	súdánský
Sudanese	Súdánec
Jamaican	jamajský
Jamaican	Jamajčan
bow	šmytec
bow	smyčcový
potato pancake	cmunda
marjoram	marjánka
classical guitar	španělka
classical guitar	španělská kytara
acidity	kyselost
alkalinity	zásaditost
ethics	mravouka
ethicist	mravouk
science fiction	vědeckofantastický
transitive verb	tranzitivum
Panama Canal	Panamský průplav
Panama	panamský
Panamanian	Panamec
Angolan	angolský
Benin	beninský
Beninese	Beninec
Botswana	botswanský
Burundian	burundský
Chadian	čadský
Djibouti	džibutský
Burkina Faso	burkinafaský
Gabonese	gabonský
Ghanaian	ghanský
Guinean	guinejský
Cameroonian	kamerunský
Cape Verdean	kapverdský
Comorian	komorský
Costa Rican	kostarický
Seychelles	seychelský
Senegalese	senegalský
Mozambican	mosambický
Mozambican	mozambický
Sierra Leonean	sierraleonský
Venezuelan	venezuelský
Tanzanian	tanzanský
Swazi	svazijský
Tunisian	tuniský
Mauritanian	mauritánský
Mauritian	mauricijský
Malagasy	madagaskarský
Malawian	malawský
Malawian	malawiský
Lesotho	lesothský
South African	jihoafrický
Grenadian	grenadský
Guatemalan	guatemalský
Guyanese	guyanský
Honduran	honduraský
Haitian	haitský
Salvadoran	salvadorský
Surinamese	surinamský
Colombian	kolumbijský
Bhutanese	bhútánský
Brunei	brunejský
Yemeni	jemenský
Cambodian	kambodžský
Qatari	katarský
Kuwaiti	kuvajtský
Malaysian	malajsijský
Nepalese	nepálský
Omani	ománský
Pakistani	pákistánský
Singaporean	singapurský
Thai	thajský
Belize	belizský
Filipino	filipínský
Maldivian	maledivský
Dominica	dominický
Dominican	dominikánský
Kazakh	kazašský
Kyrgyz	kyrgyzský
Myanmar	myanmarský
Saudi Arabian	saúdskoarabský
North Korean	severokorejský
Tajik	tádžický
Taiwanese	tchajwanský
Uzbek	uzbecký
East Timorese	východotimorský
Kiribati	kiribatský
Samoan	samojský
Tongan	tonžský
Tongan	tongský
Vanuatu	vanuatský
Tuvaluan	tuvalský
Palau	palauský
Papuan	papuánský
Nauru	nauruský
Liechtenstein	lichtenštejnský
Monaco	monacký
Maltese	maltský
San Marino	sanmarinský
Bosnian	bosenský
Montenegrin	černohorský
Moldovan	moldavský
Macedonian	makedonský
croak	kvák
coo	vrkú
buzz	bz
croak	kuňk
cluck	kokodák
hee-haw	iá
pharyngeal	faryngální
pharyngeal	hltanový
laryngeal	hrtanový
hiss	sykot
laryngeal	laryngální
laryngeal	laryngála
Bosnian	Bosňan
Montenegrin	Černohorec
Liechtensteiner	Lichtenštejnec
Luxembourger	Lucemburčan
Maltese	Malťan
Monegasque	Monačan
Sammarinese	Sanmariňan
Ghanaian	Ghaňan
Guinean	Guinejec
Nepalese	Nepálec
Pakistani	Pákistánec
Filipino	Filipínec
Venezuelan	Venezuelec
Lebanese	Libanonec
Rwandan	Rwanďan
Swazi	Svazijec
Senegalese	Senegalec
Seychellois	Seychelan
Surinamese	Surinamec
Mozambican	Mosambičan
Mozambican	Mozambičan
Cape Verdean	Kapverďan
Malawian	Malawijec
Costa Rican	Kostaričan
Colombian	Kolumbijec
Haitian	Haiťan
Grenadian	Grenaďan
Salvadoran	Salvadorec
Honduran	Hondurasan
Guatemalan	Guatemalec
Belizean	Belizan
Dominican	Dominikánec
Bahamian	Bahamec
Samoan	Samojec
Papuan	Papuánec
reach	dosíci
Thai	Thajec
Tajik	Tádžik
Taiwanese	Tchajwanec
Omani	Ománec
Kuwaiti	Kuvajťan
Cambodian	Kambodžan
Yemeni	Jemenec
Singaporean	Singapurec
North Korean	Severokorejec
South Korean	Jihokorejec
Bhutanese	Bhútánec
Saudi Arabian	Saúdský Arab
Saudi	Saúd
Chadian	Čaďan
Cameroonian	Kamerunec
Malian	Malijec
Mauritian	Mauricijec
Mauritanian	Mauritánec
Qatari	Katařan
Bahraini	Bahrajnec
Malagasy	Malgaš
Malagasy	malgašský
Comorian	Komořan
Nigerien	Nigeřan
Sierra Leonean	Sierraleoňan
Togolese	Tožan
Tanzanian	Tanzánec
Tanzanian	tanzánský
Tanzanian	Tanzanec
Tunisian	Tunisan
Cameroonian	Kameruňan
South African	Jihoafričan
Gabonese	Gaboňan
Gabonese	Gabonec
Puerto Rican	Portoričan
Puerto Rican	portorický
Burundian	Burunďan
Kiribatian	Kiribaťan
Tongan	Tonžan
Tuvaluan	Tuvalan
Vanuatuan	Vanuaťan
Brunei	Brunejec
Maldivian	Maledivan
Malaysian	Malajsijec
Singaporean	Singapuřan
Luxembourgish	lucemburština
Romansch	rétorománština
Uzbek	uzbečtina
Tajik	tádžičtina
Chukchi	čukotský
Chukchi	čukotština
Yakut	jakutština
Botswanan	Botswaňan
Djiboutian	Džibuťan
East Timorese	Východotimořan
Maldivian	Maledivec
Bednaříkovi	Bednaříková
Bartoňovi	Bartoňová
beer	pivní
contractual	smluvní
thigh	stehenní
thigh	femorální
bean	fazolový
quantum	kvantový
shank	bércový
marriage	sňatkový
storm	bouřkový
lava	lávový
flight	letový
calf	lýtkový
butter	máslový
alder	olšový
bark	kůrový
bit	bitový
horseradish	křenový
leaf	listový
tallow	lůj
tallow	lojový
apartment	bytový
gift	dárkový
breath	dechový
brake	brzdový
peach	broskvový
inductor	cívkový
honey	medový
argue semantics	slovíčkařit
Zurich	Curyšan
Ljubljana	Lublaňan
Kiev	Kyjevan
Copenhagener	Kodaňan
Tokio	Tokijan
Tokio	Tokijec
Dubrovnik	Dubrovničan
Dubrovnik	Dubrovčan
Alaskan	Aljašan
Oslo	Oslan
Mumbai	Bombajan
Odessa	Oděsan
Odessa	Oděsa
Saint Petersburg	Petrohraďan
Milanese	Miláňan
Istanbul	Istanbulan
Venetian	Benátčan
warming	oteplování
systematically	systematicky
oriented	orientovaný
bias	zaujatost
English language	anglickojazyčný
hypercritical	hyperkritický
owned	vlastněný
white	bělošský
interracial	mezirasový
anti-racist	antirasistický
negatively	negativně
biographical	biografický
biographical	životopisný
oval	oválný
kidney	ledvinný
spinal	míšní
primate	primát
thermoregulation	termoregulace
neurohypophysis	neurohypofýza
adenohypophysis	adenohypofýza
fetal	fetální
fetal	plodový
right-wing	pravicový
transplantation	transplantace
transplant	transplantovat
transplant	transplantát
dialysis	dialýza
bleeding	krvácivý
collapse	zhroucení
replacement	nahrazení
right	pravoúhlý
portal vein	vrátnicová žíla
bile	žlučový
intercellular	intercelulární
intercellular	mezibuněčný
intrahepatic	intrahepatální
intrahepatic	nitrojaterní
extrahepatic	extrahepatální
extrahepatic	mimojaterní
interlobular	interlobulární
invited	zvaný
extracellular	extracelulární
extracellular	mimobuněčný
located	umístěný
triangular	trojúhelníkovitý
triangular	trojúhelníkový
bronchopulmonary	bronchopulmonální
dry cough	suchý kašel
bronchial	průduškový
bronchial	bronchiální
touch	dotýkat
mesothorax	středohruď
prothorax	předohruď
metathorax	zadohruď
lobule	lalůček
pyramid	pyramidový
caused	způsobený
hemothorax	hemotorax
alveolitis	alveolitida
coughing up	vykašlávání
asbestos	azbestový
fungal	mykotický
mushroom	houbový
rarely	vzácně
osteocyte	osteocyt
organelle	organelový
osteoclast	osteoklast
surrounding	okolní
produced	vyprodukovaný
multinucleated	mnohojaderný
phosphatase	fosfatáza
collagenase	kolagenáza
hydroxyapatite	hydroxyapatit
collagen	kolagenní
culinary arts	kulinářství
culinary	kulinární
metrologist	metrolog
rib	žeberní
rib	kostální
vertical	vertikální
horizontal	horizontální
reduction	snižování
pancreatic	pankreatický
salivary	slinný
zymogen	zymogenní
alveolar	alveolární
exocrine	exokrinní
proenzyme	proenzym
centroacinar	centroacinózní
midclavicular	medioklavikulární
hip	kyčelní
epithelial	epitelový
basolateral	bazolaterální
resorption	resorbce
resorption	resorpce
hydrolysis	hydrolýza
hydrolytic	hydrolytický
pathogenesis	patogeneze
sweat gland	potní žláza
sweat	potní
insulating	izolační
insulation	izolace
insulate	izolovat
resorptive	resorpční
guess	uhodnout
milk duct	mlékovod
breast	prsní
glandular	žlázový
glandular	glandulární
astrocyte	astrocyt
enzymatic	enzymatický
accumulation	hromadění
glutamate	glutamát
adult	dospělák
roundworm	škrkavka
peristalsis	peristaltika
peristaltic	peristaltický
cytometry	cytometrie
leukemic	leukemický
spectrometry	spektrometrie
spectrometric	spektrometrický
abnormal	abnormální
record	rekordní
comic	komiksový
leader	lídr
sharply	ostře
automaker	automobilka
regulatory	regulatorní
regulatory	regulační
paying	zaplacení
use	používání
metal	metalový
eighteen-year-old	osmnáctiletý
Czech surname	Macháček
Czech surname	Krejčík
Czech surname	Vančura
Czech surname	Stivín
Czech surname	Vejvoda
trilobite	trilobit
dubbing	dabing
giggle	hihňat
falsify	zfalšovat
falsify	falšovat
newborn	novorozený
newborn	novorozenec
newborn	novorozeně
MEP	europoslanec
four	čtyřdenní
foster parent	pěstoun
six	půlroční
anyone	kdokoli
any	jakýkoli
contact	kontaktovat
crime	kriminální
founded	založený
parent	rodičovský
in no way	nikterak
recording	nahrávka
demonstrate	prokázat
find out	vypátrat
vigilant	ostražitý
South Moravia	jihomoravský
snowfall	sněžení
impact	nárazový
chemically	chemicky
accumulation	akumulace
sixty-year-old	šedesátiletý
fifty-year-old	padesátiletý
seventy-year-old	sedmdesátiletý
eighty-year-old	osmdesátiletý
ninety-year-old	devadesátiletý
fossil	fosilní
trouble	patálie
chip	čipový
infant	kojenecký
ground	přízemní
mutagenic	mutagenní
described	popsaný
Nordic	severský
Nordic	nordický
so much	natolik
visa-free	bezvízový
Central Asian	středoasijský
ex-wife	exmanželka
ex-husband	exmanžel
ex-president	exprezident
ex-minister	exministr
avalanche	lavinový
sixty-one-year-old	jedenašedesátiletý
warning	výstraha
Giant Mountains	krkonošský
half an hour	půlhodina
rescuer	záchranář
early evening	podvečer
twenty	dvacítka
fifty	padesátka
thirty	třicítka
forty	čtyřicítka
sixty	šedesátka
seventy	sedmdesátka
eighty	osmdesátka
ninety	devadesátka
get lost	zabloudit
scooter	skútr
water scooter	vodní skútr
millennium	milénium
dragon	saň
seven	sedmihlavý
nine	devítihlavý
three	tříhlavý
three	trojhlavý
show business	showbyznys
intervention	intervence
hypothetically	hypoteticky
hrubý domácí produkt	HDP
expansion	expanze
make laugh	rozesmát
dictatorial	diktátorský
industrial	industriální
industrialization	industrializace
industrialized	industrializovaný
half	půlprocentní
exchange rate	kursový
commodity	komodita
mortgage	hypoteční
mortgage	hypotéční
appropriate	přisvojit
offer	nabídkový
demand	poptávkový
evidently	evidentně
politically	politicky
measured	měřený
compassionate	soucitný
together	dohromady
end	ukončení
lift	zvedat
urgently	naléhavě
rise	stoupnout
fall	klesnout
structural	strukturální
structural	strukturní
telecommunication	telekomunikace
telecommunications	telekomunikační
respond	zareagovat
whenever	kdykoli
Czech surname	Mládek
Czech surname	Sobotka
Czech surname	Kotrba
Czech surname	Prouza
alerting	upozorňování
high-speed	vysokorychlostní
approved	schválený
subsidy	dotační
smoothly	hladce
intracellular	intracelulární
nervous	znervóznit
nervous	znervóznět
application	přihláška
run through	proběhnout
assessment	zhodnocení
programming	programovací
priority	prioritní
project	projektový
allocation	alokace
allocate	alokovat
business	podnikání
at least	minimálně
see to it	dohlédnout
appreciate	docenit
declaration	deklarace
connectivity	konektivita
income	příjmový
Pacific	Tichomoří
Pacific	tichomořský
twenty-three	třiadvacet
united	sjednocený
fan	fanouškovský
co-production	koprodukce
co-production	koprodukční
exclusive	výlučný
conspiration	konspirační
win	vítězit
winning	vítězný
master's thesis	diplomka
however	jakkoli
picture	obrázkový
at most	maximálně
causally	kauzálně
rerun	repríza
West German	západoněmecký
East German	východoněmecký
Czech surname	Skopal
Czech surname	Trávníček
surprisingly	překvapivě
thirty times	třicetkrát
three	trojnásobný
publish	zveřejnit
publication	zveřejnění
threat	výhrůžka
migration	migrace
ingrate	nevděčník
mentioned	zmiňovaný
non-communist	nekomunista
defend	hájit
anywhere	kdekoli
indifferently	lhostejně
hanging	oběšení
considerably	značně
crust	kůrka
lovely	líbezný
take away	odnést
artificially	uměle
onion soup	cibulačka
cabbage soup	zelňačka
proletarian	proletář
sinful	hříšný
enthusiastically	nadšeně
easily	lehko
Germanic	germánský
strangle	zaškrtit
Teutonic	teutonský
kindness	vlídnost
private	privátní
bourgeois	buržoa
bourgeois	buržoazní
generalization	generalizace
generalize	generalizovat
generalization	zobecnění
aristocratic	aristokratický
violation	porušování
any	kterýkoli
intellectual	intelektuální
intellectual	intelektuál
strangle	rdousit
strangle	zardousit
leftist	levičák
rightist	pravičák
city boy	měšťák
bourgeois	měšťácký
rectangular	obdélníkový
sixteen-year-old	šestnáctiletý
floorball	florbal
floorball	florbalový
seventeen-year-old	sedmnáctiletý
nineteen-year-old	devatenáctiletý
longtime	dlouholetý
thousand	tisíciletý
privatize	privatizovat
privatization	privatizace
cynically	cynicky
commentator	komentátor
municipality	municipalita
housing	bydlení
increase	zvyšování
single mother	samoživitelka
guaranteed	garantovaný
held	držený
effectively	účinně
eleven times	jedenáctkrát
twelve times	dvanáctkrát
thirteen times	třináctkrát
fourteen times	čtrnáctkrát
fifteen times	patnáctkrát
sixteen times	šestnáctkrát
seventeen times	sedmnáctkrát
eighteen times	osmnáctkrát
nineteen times	devatenáctkrát
twenty times	dvacetkrát
weekend	víkendový
taxation	zdanění
tax	zdanit
sixty-one-year-old	jednašedesátiletý
protect	ochránit
fiction	výmysl
come up with	vymyslet
antiwar	protiválečný
martial art	bojové umění
fighting	bojový
negotiation	vyjednávací
former	dřívější
opposition	opoziční
hospital	nemocniční
Arabia	Arábie
square	čtvereční
determined	rozhodnutý
scheduled	naplánovaný
fair	férový
final	finální
take	potrvat
opening	otevření
final	závěrečný
disyllabic	dvojslabičný
quantity	kvantita
multisyllabic	víceslabičný
Scandinavian	Skandinávec
Scandinavia	Skandinávie
Scandinavian	skandinávský
vowel	samohláskový
spoken	mluvený
consonant	souhláskový
syntactic	syntaktický
printed	tištěný
style	stylistický
everyday	každodenní
use	užívání
take a risk	risknout
publisher	nakladatelství
popularization	popularizační
popularization	popularizace
popularize	popularizovat
install	nainstalovat
oil	ropný
petroleum	naftový
bilberry	borůvčí
compression	komprese
piston	pístový
compression	kompresní
compress	stlačit
confirm	biřmovat
want	kamarády
orderly	sanitář
gastroenterologist	gastroenterolog
gastroenterological	gastroenterologický
rout	raut
quantify	kvantifikovat
quantification	kvantifikace
born	narozený
disciplined	ukázněný
disciplined	disciplinovaný
discipline	ukáznit
ungulate	kopytník
natural scientist	přírodovědec
adapted	přizpůsobený
local	zdejší
pregnant	březí
pregnant	gravidní
pregnancy	gravidita
pregnancy	těhotenský
condition	kondice
aurochs	pratur
bird	ptačí
disagreement	nesouhlas
chosen	zvolený
successful	zdárný
move	odstěhovat
legitimate	legitimní
ceremony	ceremoniál
interference	vměšování
interfere	vměšovat
executive	exekutivní
insured	pojištěnec
insured	pojištěný
insurer	pojišťovatel
smog	smogový
Earth	zemský
inverse	inverzní
microgram	mikrogram
cubic	krychlový
cubic	kubický
twelve	dvanáctihodinový
measuring	měřící
exhaust	výfukový
physically	fyzicky
city hall	magistrát
flow	proudění
harmful substance	škodlivina
programmer	programátorský
investor	investorský
business	byznysový
database	databázový
corporate	korporátní
company	firemní
program	naprogramovat
magazine	magazín
board of directors	představenstvo
startup	startupový
current	nynější
believe	uvěřit
innovative	inovativní
support	podpůrný
innovation	inovační
charitable	charitativní
this country	tuzemsko
intend	mínit
estimated	odhadovaný
respected	respektovaný
takeover	akviziční
financing	financování
ten	desetiprocentní
five	pětiprocentní
six	šestiprocentní
seven	sedmiprocentní
eight	osmiprocentní
nine	devítiprocentní
pharmacy	lékárenský
savings bank	spořitelna
ex	expremiér
lost	prohraný
primary	primárky
education	školství
historically	historicky
forty	čtyřicetiprocentní
eighty	osmdesátiprocentní
seventy	sedmdesátiprocentní
sixty	šedesátiprocentní
fifty	padesátiprocentní
twenty	dvacetiprocentní
thirty	třicetiprocentní
fourteen	čtrnáctiprocentní
fifteen	patnáctiprocentní
seventeen	sedmnáctiprocentní
eighteen	osmnáctiprocentní
sixteen	šestnáctiprocentní
thirteen	třináctiprocentní
twelve	dvanáctiprocentní
eleven	jedenáctiprocentní
ninety	devadesátiprocentní
nineteen	devatenáctiprocentní
Washington	washingtonský
ruling	vládnoucí
imperial	imperiální
absurdly	absurdně
inauguration	inaugurační
foreign countries	cizina
rich	bohatnout
poor	chudnout
thrive	vzkvétat
prosper	prosperovat
correction	korekce
enrichment	obohacování
imprisoned	uvězněný
elector	volitel
organized	pořádaný
giant	velikán
go bankrupt	krachovat
go bankrupt	zkrachovat
shameless	nestoudný
Nietzschean	nietzscheovský
Nietzschean	nietzschovský
Puerto Rican	Portorikánec
physically	tělesně
minority	menšinový
diversity	diverzita
demonize	démonizovat
demonization	démonizace
dubber	dabér
reciter	recitátor
recite	recitovat
recitation	recitace
dubbing	dabingový
columnist	sloupkař
recognized	uznávaný
Kroměříž	Kroměřížsko
tlakový hrnec	tlakový
surrounded	obklopený
seasonal	sezónní
experience	zažít
prevent	zamezit
turn	přelom
ten	dekáda
decadic	dekadický
decimal	desítkový
octal	osmičkový
hydrometeorological	hydrometeorologický
hydrometeorology	hydrometeorologie
anti-Semitism	antisemitismus
anti-Semitic	antisemitský
anti-Semitic	protižidovský
migration	migrační
punish	potrestat
accommodation	ubytovací
bearded	vousatý
conceal	zatajit
guilty	provinit
Kalashnikov	kalašnikov
targeted	cílený
motivated	motivovaný
fairness	férovost
imported	dovezený
find	shledat
Wahhabism	wahhábismus
various	rozličný
cover	pokrývat
few	málokdo
break	propuknout
Wenceslas	václavský
generation	mezigenerační
generation	pokolení
extension	prodlužování
extension	prodloužení
economically	úsporně
intensive	intenzívní
financially	finančně
substantially	podstatně
time	časově
respondent	dotázaný
permanently	permanentně
look for	shánět
find	sehnat
pay off	splácet
pay off	splatit
bribe	podplácet
mentally	duševně
take care	postarat
Znojmo	Znojemsko
Brno	Brněnsko
Ostrava	Ostravsko
Plzeň	Plzeňsko
cross-country skier	běžkař
downhill skier	sjezdař
cross-country ski	běžky
mushroom picker	houbař
mushrooming	houbaření
mushroom	houbařit
mushrooming	houbařský
alpine skiing	sjezdování
cross-country skiing	běžkování
convene	sjezdovat
cross-country ski	běžkovat
remember	zapamatovat
unfreeze	rozmrznout
thaw	obleva
myeloid	myeloidní
weakened	oslabený
hypercellular	hypercelulární
hypocellular	hypocelulární
granulocytic	granulocytární
extramedullary	extramedulární
hepatosplenomegaly	hepatosplenomegalie
retro-orbital	retroorbitální
chloroma	chlorom
monocytic	monocytární
myeloblastic	myeloblastický
erythroblast	erytroblast
megakaryocyte	megakaryocyt
promyelocytic	promyelocytární
vice-chairman	místopředseda
regional	krajský
municipal	komunální
twenty-three-year-old	třiadvacetiletý
carbon	uhelnatý
residential	obytný
equipment	výbava
Central Bohemia	středočeský
Bruntál	Bruntálsko
rescue	záchranářský
ambulance	sanitní vozidlo
ambulance	sanitní vůz
ambulance	sanitní
missing	pohřešovaný
coordination	koordinační
archive	archivní
archive	archívní
naposled	naposledy
schoolgirl	školačka
schoolboy	školák
pupil	žačka
Olomouc	Olomoucko
Přerov	Přerovsko
Pardubice	Pardubicko
Zlín	Zlínsko
Ústí nad Labem	Ústecko
Žatec	Žatecko
Rakovník	Rakovnicko
Mladá Boleslav	Mladoboleslavsko
threat	ohrožení
Wikipedian	wikipedista
recast	přetavit
melt down	roztavit
deck chair	lehátko
Caribbean	karibský
Helsinki	Helsinčan
Helsinki	Helsinky
Brussels	Bruselan
Belgrade	Bělehraďan
Athenian	Atéňan
Floridian	Floriďan
Hawaiian	Havajan
Hawaiian	Havajec
Baghdad	Bagdáďan
Beirut	Bejrúťan
Jerusalem	Jeruzaléman
Tehrani	Teheránec
Minnesota	Minnesoťan
Beijing	Pekiňan
Arabism	arabismus
Madrid	Madriďan
Budapest	Budapešťan
Bucharest	Bukurešťan
Munich	Mnichovan
Texan	Texasan
Texan	texaský
Kabul	Kábulan
Hamburger	Hamburčan
Barcelonan	Barceloňan
Athenian	Athéňan
Cairo	Káhiřan
Shanghai	Šanghajan
Shanghai	Šanghajec
Dubliner	Dubliňan
Turin	Turíňan
Zagreb	Záhřeban
Kansas	Kansasan
Virginian	Virgiňan
Kharkiv	Charkovan
Stalingrad	Stalingradec
terorismus	terorizmus
North Atlantic	severoatlantický
Middle East	blízkovýchodní
stopped	zadržený
reception	přijímání
redistribution	přerozdělování
redistribute	přerozdělit
chancellor	kancléřka
North African	severoafrický
Mediterranean	středozemní
Christian Democratic	křesťanskodemokratický
North German	severoněmecký
immigration	přistěhovalectví
Mecklenburg	Meklenbursko
Pomerania	Pomořansko
Pomerania	Pomořany
Moravian	Moravan
Pilsen	Plzeňan
Spartan	Sparťan
Spartan	spartský
Ostrava	Ostravan
Florentine	Florenťan
Florentine	Florenčan
Opava	Opavan
Greenlander	Gróňan
Cretan	Kréťan
Genovese	Janovan
Zlín	Zlíňan
Anglo-American	Angloameričan
Siberian	Sibiřan
Corinthian	Korinťan
Corinthian	korintský
Kashmiri	Kašmířan
Kashmir	Kašmír
Kashmiri	kašmírština
eukaryotic	eukaryotický
prokaryotic	prokaryotický
Trojan	Trójan
Sicilian	Sicilan
Caucasian	Kavkazan
Caucasian	kavkazský
Majorcan	Mallorčan
Majorcan	mallorský
Sardinian	Sardiňan
Sardinian	sardinský
Latin American	Latinoameričan
Latin American	latinskoamerický
Neapolitan	Neapolitánec
Neapolitan	neapolský
Neapolitan	Neapolitán
Neapolitan	Neapolec
president	prezidentka
Polynesian	Polynésan
Polynesian	polynéský
Lombard	Lombarďan
Abyssinian	Habešan
Abyssinian	habešský
Faroese	Faeřan
Babylonian	Babylóňan
Babylonian	Babyloňan
Babylonian	babylonský
Burgundian	Burgunďan
Burgundy	Burgundsko
Burgundian	burgundský
Bostonian	Bostoňan
Javan	Javánec
grain	obilovina
individual thing	jednotlivina
South Moravian	Jihomoravan
North Moravian	Severomoravan
North Moravian	severomoravský
Jihlava	Jihlavan
Liberec	Liberečan
Most	Mostečan
South Slav	Jihoslovan
Macedonian	Makedoňan
South Bohemian	Jihočech
North Bohemian	Severočech
Přemyslid	Přemyslovec
Moroccan	Marokánec
Carthaginian	Kartaginec
Carthaginian	kartaginský
Zanzibari	Zanzibarec
Zanzibar	zanzibarský
spherical	sférický
Ptolemaic	Ptolemaiovec
Akkadian	Akkaďan
Mexican	Mexikánec
Hebrew	Hebrejec
Hebrew	Hebrej
Tuscan	Toskánec
Tuscan	toskánský
Bengali	Bengálec
Bengali	bengálský
trinitrotoluene	trinitrotoluen
perfectionist	perfekcionista
perfectionism	perfekcionismus
perfectionist	perfekcionistický
Alsace	Alsasko
Alsatian	Alsasan
Alsatian	alsaský
ethylene glycol	etylenglykol
VAT	DPH
Lorraine	Lotrinsko
Lorrainer	Lotriňan
Lorraine	lotrinský
Thucydides	Thúkydidés
Peloponnesian	Peloponésan
Peloponnese	peloponéský
Pakistani	Pakistánec
Ugandan	Uganďan
Ugandan	ugandský
inhabitant	obyvatelský
operator	provozovatel
quarter	Svatý Kopeček
Svatý Kopeček	svatokopecký
quarter	Kopeček u Olomouce
olomoucine	olomoucin
Olomouc	Olomoučák
