horse	march
inspectorate	arolygiaeth
inspector	arolygwr
literacy	llythrennedd
literate	llythrennog
literal	llythrennol
inscribe	llythrennu
guard	gwarchod
inspector	arolygydd
tyre	teiar
boot	bŵt
trunk	boncyff
trunk	trwnc
torso	bongorff
sweets	losin
groat	grôt
groat	pisyn grôt
microscope	microsgop
Milky Way	Llwybr Llaethog
Milky Way	Ffordd Laethog
Milky Way	Ffordd Wen
Milky Way	Ffordd Laethwen
Milky Way	Gwregys Llaethol
Milky Way	Bwa'r Gwynt
Milky Way	Heol y Gwynt
Milky Way	Llwybr y Gwynt
Milky Way	Caer Gwydion
Milky Way	Caer Arianrhod
Milky Way	hynt San Ialm
Ursa Major	Arth Fawr
Ursa Major	Arth Fwyaf
Ursa Major	Haeddel Fawr
Ursa Major	Haeddel
Ursa Major	Jac a'i Wagen
Ursa Major	Llong Foel
Ursa Major	Llong Noa
Ursa Major	Llun y Llong
Ursa Major	Llun yr Haeddel
Ursa Major	Men Siarl
Ursa Major	Men Siarlmaen
Ursa Major	Men Siarlys
Ursa Major	Sêr Llong
Ursa Major	Sosban
Ursa Major	Saith Seren
Ursa Minor	Arth Fach
wildfire	tân gwyllt
insist	mynnu
scree	sgri
complaint	achwyniad
complainer	achwynydd
complainer	achwynwr
genealogist	achydd
genealogy	achyddiaeth
genealogical	achyddol
aviary	adardy
ornithology	adareg
ornithologist	adaregydd
ornithological	adaregol
dog	adargi
fowler	adarwr
ornithology	adaryddiaeth
y Bermo	Bermo
reprint	adargraffiad
reprint	adargraffu
impress	argraffu
impression	argraff
feedback	adborth
feedback	atborth
refund	ad-dalu
refund	ad-daliad
rearrange	ad-drefnu
rearrange	aildrefnu
impression	argraffiad
print	printio
impressionism	argraffiadaeth
impressionist	argraffiadydd
impressionistic	argraffiadol
thematic	thematig
athematic	athematig
thematic vowel	llafariad thematig
strange	dieithr
adapt	addasu
admit	addef
approach	agosáu
revamp	ailwampio
enclose	amgáu
cwtch	cwtsh
crouch	cwtsio
switch	switsh
hospice	hosbis
huge	enfawr
Scythia	Sgythia
infinitive	berf annherfynol
unlimited	annherfynol
reflexology	adweitheg
reflexologist	adweithegydd
aromatherapy	aromatherapi
aromatherapist	aromatherapydd
reflect	adlewyrchu
stopping place	arhosfa
emerald	emrallt
this and that	hyn a'r llall
hyn i gyd	hyn i gyd
all of this	hyn oll
henceforth	o hyn allan
thereupon	wrth hyn
after this	wedi hyn
in this matter	yn hyn o beth
certain amount	hyn a hyn
gild	owra
warm	cynhesu
warm	twymo
fill	llenwi
market	marchnad
laugh	chwerthin
on tour	ar daith
indirect	anuniongyrchol
eager	brwd
heat	gwres
Holocaust	Holocost
pony	merlyn
pony	merlen
pony-trekker	merlotwr
pony-trekking	merlota
seaweed	gwymona
bilberrying	llusa
firewood	cynuta
plants	llysieua
holly	celynna
moss	mwsogla
mushrooms	shrwmsa
nuts	cneua
reeds	cawna
rushes	brwyna
shells	cregynna
sloes	eirina
snails	malwota
straw	gwellta
wool	gwlana
transhumance	trawstrefa
summer	hafota
winter	hendrefa
winter dwelling	hendref
summer dwelling	hafod
wonder	tybed
champion	pencampwr
championship	pencampwriaeth
winner	enillydd
winner	enillwr
victor	buddugwr
modern	cyfoes
announce	datgan
victorious	buddugol
adjudge	dyfarnu
adjudicator	dyfarnwr
adjudication	dyfarniad
adjudicator	beirniad
criticism	beirniadaeth
dispraise	anghlod
praiseworthy	clodwiw
disreputable	anghlodwiw
famous	clodfawr
extol	clodfori
praise	clodforedd
praise	canmol
eulogist	canmolwr
praise	canmoliaeth
praise	mawl
praiseworthy	canmoladwy
critical	beirniadol
criticise	beirniadu
individual	unigolyn
individual	unigol
possible	posib
self-isolate	hunanynysu
external	allanol
energy	egni
fish	pysgota
shilling	syllta
rubble	rybela
fleas	chweina
mountains	mynydda
woodcock	cyffyloca
louse	lleua
fowl	ffowla
fowl	ffowlio
mouse	llygota
hawk	heboca
rise	dyrchafu
promote	hybu
promote	hyrwyddo
seize	ymaflyd
split	hollti
unhealthy	afiach
auction	arwerthiant
auction	ocsiwn
auction	arwerthu
auctioneer	arwerthwr
sale	gwerthiant
seller	gwerthwr
fieriness	tanbeidrwydd
revolution	chwyldro
self	hunan
selves	hunain
track	ôl
fiery	tanbaid
zealous	selog
zealous	eiddgar
zeal	eiddgarwch
vehicle	cerbyd
represent	cynrychioli
special	arbennig
epidemic	epidemig
pandemic	pandemig
tax	treth
range	ystod
century	canrif
ignore	anwybyddu
group	grŵp
bodybuilder	corffluniwr
bark	cyfarthiad
extinguish	diffodd
untie	datod
leave	ymadael
rescue	gwaredu
penetrate	treiddio
visit	traidd
penetrate	ymdreiddio
total	cyfanswm
whole	cyfan
dare	beiddio
dare	meiddio
drag	llusgo
around	dam-
swear	tyngu
drown	boddi
submerge	soddi
molten	tawdd
stint	tolio
learning	dysg
thresh	dyrnu
ascend	esgyn
adhere	adlynu
adhere	ymlynu
shift	syflyd
opinion	tyb
desire	chwenychu
kind	caredig
bakery	becws
warehouse	warws
cloud	cymylu
map	mapio
kindness	caredigrwydd
park	parcio
banc	bancio
bike	beicio
tick	ticio
stroke	arfod
climbing	dringiad
climb	dringfa
snow	lluwch
date	dyddiad
sympathy	cydymdeimlad
safari	saffari
click	clicio
right-click	de-glicio
left-click	chwith-glicio
view	golygu
fellow	cilydd
important	pwysig
invite	gwahodd
bulwark	rhagfur
radula	radwla
addition	dodiad
outlook	rhagolwg
tissue	meinwe
backdate	ôl-ddyddio
turnip	erfin
screen	sgrin
screen	sgrinio
year	blynedd
whole	cwbl
committee	pwyllgor
local	lleol
teal	corhwyad
from	rhag
adult	oedolyn
drone	drôn
wish	dymuno
around	dym-
complete	cwblhau
finish	cwpla
curse	rhegfa
adopt	mabwysiadu
switch	switsio
unique	unigryw
kind	siort
uniqueness	unigrywiaeth
private	preifat
privacy	preifatrwydd
oppose	gwrthwynebu
higher	uwch
-ever	bynnag
talk	sôn
archer	saethwr
imagine	dychmygu
deaf	byddar
remind	atgoffa
dream	breuddwyd
deafen	byddaru
deaf	byddarol
dream	breuddwydio
opposer	gwrthwynebydd
shoot	saethu
delay	oedi
convert	trosi
space	gofod
successful	llwyddiannus
disadvantage	anfantais
olive oil	olew olewydd
olive tree	olewydd
suffice	digoni
irregular	afreolaidd
surprise	syndod
surprised	synnu
ford	rhyd
disappointed	siomedig
disappointment	siom
timetable	amserlen
situation	sefyllfa
general	cyffredinol
common	cyffredin
superintelligence	uwch-ddeallusrwydd
hillock	twmpath
juniper	meryw
bit	tipyn
late	diweddar
hammer	morthwyl
up	i fyny
down	i lawr
hammer	morthwylio
perhaps	dichon
atmosphere	awyrgylch
likely	tebygol
Snowdonia	Eryri
disentangle	datrys
towards	tuag
last	olaf
next	nesaf
smooth	llyfn
insular	ynysig
occasional	ambell
service	gwasanaeth
possible	posibl
dormouse	pathew
tribe	llwyth
victorious	buddug
gluttony	glythineb
haughty	ffroenuchel
social	cymdeithasol
plan	cynllunio
form	llunio
act	gweithredu
other	llall
past	heibio
says	meddai
voluntary	gwirfoddol
reasonable	rhesymol
nearby	gerllaw
pause	saib
reveal	datgelu
lead	cyfarwyddo
well-informed	cyfarwydd
librarian	llyfrgellydd
trowel	trywel
military	milwrol
ynglŷn â	ynglŷn â
aim	anelu
fire	ufel
overwhelming	llethol
string	llinyn
shelter	lloches
grace	rhad
Jew	Iddew
web page	tudalen we
colour	lliwio
meditate	myfyrio
sixty	trigain
eighty	pedwar ugain
fifty	hanner cant
region	rhanbarth
essay	traethawd
meantime	cyfamser
essay	ysgrif
sinecure	segurswydd
boat	ceubal
charitableness	elusengarwch
franchise	etholfraint
lawsuit	cyngaws
loan	benthyg
arbour	deildy
spatiality	gofodoldeb
drought	sychin
arroyo	sychnant
oasis	gwerddon
waterfall	sgwd
boil	berwi
fine	iesin
marram	moresg
sedges	hesg
yarrow	milddail
river bank	torlan
glade	cadlas
poach	herwhela
cattle-provider	gwarthegydd
destroy	dinistrio
fish-spawn	gronell
wing	asgell
bishop	esgob
commoner	gwerinwr
jet	muchudd
racism	hiliaeth
corps	corfflu
workforce	gweithlu
of colour	croenliw
cover	clawr
width	lled
rosebay willowherb	helyglys hardd
postpone	gohirio
responsibility	cyfrifoldeb
outflank	gorasgellu
fatalism	tyngedfenyddiaeth
gaze	syllu
second	eiliad
together	gyda'i gilydd
sign	argoel
silence	gosteg
willowherb	helyglys
apologize	ymddiheuro
auger	taradr
airport	maes awyr
one hundred	chweugain
noblewoman	boneddiges
handmill	breuan
cancel	canslo
unsociable	anghymdeithasol
antisocial	gwrthgymdeithasol
others	lleill
buckthorn	rhafnwydd
Jewess	Iddewes
Jewish	Iddewig
Christian	Cristion
Christian	Cristnogol
Christianity	Cristnogaeth
monk	mynach
monastery	mynachlog
monastery	mynachdy
monasticism	mynachaeth
monastic	mynachaidd
nun	lleian
nunhood	lleianaeth
nunlike	lleianaidd
nunnery	lleiandy
concubine	gordderch
establish	sefydlu
fixed	sefydlog
fix	sefydlogi
construction	adeiladaeth
constructive	adeiladol
winged	adeiniog
winged	asgellog
rebirth	adenedigaeth
regain	adennill
repossess	adfeddiannu
bamboo	bambŵ
grill	grilio
barbecue	barbeciw
barbecue	barbeciwio
repossess	ailfeddiannu
possess	meddiannu
possess	meddu
possession	meddiant
possessing	meddiannol
ruin	adfail
ruin	murddun
balsamic vinegar	finegr balsamig
wordy	geiriog
wordiness	geiriogrwydd
fall down	adfeilio
ruin	adfeiliad
ruined	adfeiliedig
Advent	Adfent
adverbial	adferfol
spaghetti	sbageti
metre	alfarch
metre	macydelgi
metre	macymwn
driftwood	gyrgoed
friend	mêt
Protestant	Protestannaidd
Protestantism	Protestaniaeth
Catholic	Catholig
Catholicism	Catholigiaeth
Roman Catholic	pabydd
Roman Catholicism	pabyddiaeth
Roman Catholic	pabyddol
restoration	adferiad
restorative	adferiadydd
restorer	adferwr
restoring	adferol
restorable	adferadwy
recruit	adfilwr
recruit	recríwt
adversity	adfyd
wretched	adfydus
immanent	mewnfodol
cindery	creisionllyd
crisp	creision
cornflake	creision ŷd
corn	ŷd
international	rhyngwladol
inquest	trengholiad
inquest	cwest
copier	copïwr
photocopier	llungopïwr
photocopy	llungopïo
photocopy	llungopi
photocopier	peiriant llungopïo
cash machine	twll yn y wal
cash machine	peiriant arian
peiriant arian parod	peiriant arian parod
animate	animeiddio
animator	animeiddiwr
animation	animeiddiad
cash	arian parod
spear	rhaidd
dart	rheiddyn
gylfinirod	gylfinir
beam	rheiddio
half-	lled-
griddle cake	teisen gri
griddle cake	cacen gri
Welsh cake	cacen fach
Welsh cêc	Welsh cêc
Welsh cake	pic ar y maen
Welsh cake	picen ar y maen
griddle cake	teisen radell
Welsh cake	picen fach
cake	picen
fence	ffens
fence	ffensio
turn of events	chwŷl
cucumber	ciwcymbr
cucumber	chwerwddwr
-ful	llond
day before yesterday	echdoe
the night before last	echnos
dishful	dysglaid
abode	athref
home	ethrefig
peach	eirin gwlanog
bleach	cannu
bleach	cannydd
primrose	briallu
invest	buddsoddi
furrow	rhych
astrobotany	sêr-lysieueg
goldfinch	nico
beforehand	ymlaen llaw
o flaen llaw	o flaen llaw
in front of	o flaen
y tu ôl i	y tu ôl i
tea club	clwb te
tea tin	tun te
elk	elc
bumblebee	cachgi bwm
mask	mwgwd
ram	hwrdd
ram	maharen
bedside	erchwyn
Member of the Senedd	Aelod o'r Senedd
masking tape	tâp masgio
non-binary	anneuaidd
dual	deuaidd
non-binary	di-ddeuaidd
load	llwytho
noctilucent	nosloyw
snatch	cipio
spear	gwayw
explode	ffrwydro
surgeon	llawfeddyg
surgery	llawfeddygaeth
surgery	meddygfa
mis-	cam-
offside	camsefyll
spear	gwaywffon
trident	tryfer
harpoon	tryferu
isthmus	culdir
unload	dadlwytho
swell	chwyddo
inflation	chwyddiant
watchman	gwyliedydd
president	llywydd
agent noun	-iedydd
agent noun	-edydd
chips	sglodion
wasp	gwenyn meirch
wasp	picwns
bumblebee	gwenyn gwyllt
honey bee	gwenyn mêl
hornet	cacwn meirch
hornet	marchgacwn
hornet	picwns coch
economics	economeg
economist	economegydd
sunny	heulog
steamer	stemar
steamship	agerlong
reef	rhiffio
sail	hwylio
autism	awtistiaeth
autistic	awtistig
blogger	blogiwr
blog	blogio
all the time	rownd y ril
round about	rownd abówt
commotion	randibŵ
rendezvous	rondefŵ
little auk	carfil bach
guillemot	gwylog
revived	adfyw
revive	adfywio
secretary	ysgrifennydd
refreshing	adfywiol
revival	adfywiad
four	pedr-
quarter	pedrannu
printer	argraffwr
printer	argraffydd
four	pedry-
plug	plwg
plug	plygio
recipe	rysáit
sweets	da-da
export	allforio
import	mewnforio
exportable	allforiadwy
importable	mewnforiadwy
exporter	allforiwr
importer	mewnforiwr
import	mewnforyn
export	allforyn
aftermath	adladd
echo	adlais
echo	adleisio
echo	atseinio
echo	atsain
echo	adlef
rebound	adlam
drop kick	cic adlam
rebound	adlamu
pentagon	pumongl
heptagon	seithongl
octagon	wythongl
penalty	cic gosb
paint	peintio
paint	paent
painter	peintiwr
cauliflower	blodfresych
subtitle	isteitl
subtitle	isteitlo
title	teitl
mint	bathdy
tomato	afal cariad
Twitter	Trydar
Facebook	Gweplyfr
team	tîm
lightning	mellt
nobleman	brëyr
compel	cymell
tomato sauce	sos coch
thunder	taranu
rectangle	petryal
affectionate	serchog
shrub	prysglwyn
meet	cwrdd
pickle	picl
pickle	piclo
horseshoe	pedol
philanthropic	dyngarol
immigrate	mewnfudo
display	arddangosfa
hunter	helwr
mangonel	magnel
artilleryman	magnelwr
emigrate	allfudo
colony	trefedigaeth
colony	gwladfa
colony	cytref
colony	nythfa
no	naddo
rectangle	hirsgwar
oval	hirgrwn
suitable	cymwys
exactly	yn gymwys
exactly	yn union
sturgeon	stwrsiwn
view	golygfa
shoer	pedolwr
helper	helpwr
help	cynorthwyo
assistant	cynorthwyydd
first aid	cymorth cyntaf
help	help llaw
mince pie	mins-pei
rod	llath
magic wand	hudlath
refuse	nacáu
caravan	carafán
winnow	nithio
marry	priodi
scull	sgwlio
temper	tymer
temper	tymheru
air conditioner	tymherwr
patois	bratiaith
splice	sbleisio
continuance	parhad
tasty	blasus
shear	cneifio
shearing	cnaif
disorder	llanast
highest	uchaf
seventeen	dau ar bymtheg
eighteen	deunaw
nineteen	pedwar ar bymtheg
twenty-one	un ar hugain
twenty-two	dau ar hugain
twenty-three	tri ar hugain
twenty-four	pedwar ar hugain
twenty-five	pump ar hugain
twenty-six	chwech ar hugain
twenty-seven	saith ar hugain
twenty-eight	wyth ar hugain
twenty-nine	naw ar hugain
thirty	deg ar hugain
axe	bwyell
keeper	ceidwad
treasure	trysor
spyglass	ysbienddrych
court	cwrt
slow down	arafu
cirque	peiran
flute	ffliwt
gun	dryll
omelette	omled
furniture	dodrefn
bridegroom	priodfab
bride	priodferch
geologist	daearydd
geology	daeareg
geologist	daearegwr
numerous	lluosog
extreme	eithaf
breast	mynwes
jump	sbonc
squash	sboncen
branches	canghennog
retire	ymddeol
illustration	darluniad
picture	darlun
freezer	rhewgell
cattle	gwartheg
pumpkin	pwmpen
shower	cawodi
swimming pool	pwll nofio
affectionateness	serchowgrwydd
novel	nofel
water tank	dyfrgist
orbit	cylchdro
surgery	llawdriniaeth
prosper	ffynnu
prosperity	ffyniant
select	dethol
roundabout	cylchfan
traffic	traffig
inappropriate	anweddus
fitting	gweddus
please	plîs
either	chwaith
quarter	chwarter
cube	ciwb
factory	ffatri
loader	llwythwr
ceiling	nenfwd
desk	desg
hi	wrthi
ef	wrtho
Carmarthen	Caerfyrddin
canal	camlas
athletics	athletau
sweaty	cochwys
Olympic	Olympaidd
volleyball	pêl-foli
countryman	gwladwr
fierce	ffyrnig
raincoat	côt law
raincoat	cot law
ugly	salw
hip	clun
cost	costio
skeleton	sgerbwd
dog	cynaidd
y diciâu	diciâu
busy	prysur
last year	llynedd
vodka	fodca
ticket	tocyn
trap	magl
perceptible	canfyddadwy
imperceptible	anghanfyddadwy
saint	Tudno
vaccine	brechlyn
den	ffau
membership	aelodaeth
suit	siwt
mottled	brych
rash	brech
prosperity	llwydd
president	llywyddes
outpost	rhagorsaf
vice president	is-lywyddes
humanity	dynoliaeth
take care	gofalu
fourteen	un deg pedwar
fifteen	un deg pump
walnut	cnau Ffrengig
Rwsia Wen	Belarws
homepage	hafan
insult	sarhau
deception	ffug
Antigua and Barbuda	Barbiwda
faulty	gwallus
hooker	bachwr
crawl	ymlusgo
trawswch	mwstas
thick	cytew
qualification	cymhwyster
skiing	sgïo
flight	hediad
volunteer	gwirfoddolwr
acceptable	cymeradwy
take	mynd â
uncomfortable	anghyfforddus
piper	pibydd
Basque Country	Gwlad y Basg
shelf	silff
orally	ar lafar
hail	cesair
connected	cysylltiedig
excuse	esgus
escape	dianc
shout	gweiddi
whisper	sibrwd
escuse	esgusod
excusable	esgusodol
inexcusable	anesgusodol
Vietnamese	Fietnameg
excuse	esgusodi
excuse	ymesgusodi
dismiss	diswyddo
shed	sièd
breaker	moryn
interpret	dehongli
concede	ildio
curly	cyrliog
promissory note	addaweb
beech	ffawydd
spruce	pyrwydd
syllable	sillaf
jam	cyffaith
garden	garddio
cross	crwys
lively	hyfyw
vulnerable	hyglwyf
fissile	hyhollt
sailor	llongwr
high time	hen bryd
lock in	ymgloi
shout	gwaedd
pet hate	cas beth
ferry	fferi
attached	ynglŷn
Birkenhead	Birkinhead
Bordeaux	Bordo
Wiclow	Wiclo
half-hour	hanner awr
noon	hanner dydd
midnight	hanner nos
furnace	ffwrnais
tired	blinedig
extroverted	allblyg
countryside	cefn gwlad
mature	aeddfed
childish	plentynnaidd
introverted	mewnblyg
thistles	ysgall
youth	llanc
rodent	cnofil
bite	cnofa
beginning	dechreuad
initial	dechreuol
milky	llaethog
band	seindorf
Latin America	America Ladin
rich	cyfoethogi
enrichment	cyfoethogiad
eighty	wyth deg
Estonian	Estoniad
barren	llwm
needy	anghenus
pitiful	truenus
poor	truan
sharpness	miniogrwydd
sharp	miniog
lipstick	minlliw
sentence	brawddeg
baldness	moelni
nakedness	noethni
illusory	rhithiol
consortium	consortiwm
retail	mân-werthu
rate	cyfradd
feudal	ffiwdal
feudalism	ffiwdaliaeth
serve	gwasanaethu
beneficial	buddiol
serve	gweini
maintenance	cynhaliaeth
supporting	cynhaliad
supporter	cynheiliad
separate	ysgaru
please	os gweli di'n dda
chopstick	gweillen fwyta
satisfied	bodlon
drunk	meddwi
worksheet	taflen waith
taste	chwaeth
clever	clyfar
still	yn dal
da chi	da chi
dydd da	dydd da
pob lwc	pob lwc
temporary	dros dro
airy	awelog
veneer	argaen
sleeping bag	sach gysgu
age	oesoedd
eternity	bythoedd
for ever and ever	byth bythoedd
for ever and ever	yn oes oesoedd
Jack Frost	Siôn Barrug
Christian Era	Oed Grist
islander	ynyswr
archipelago	ynysfor
isolate	ynysu
separate	ar wahân
push	gwth
push	gwthio
mushrooms	madarch
workshop	gweithdy
fire brigade	brigâd dân
brigade	brigâd
eighty	wythdeg
past	heibio i
called	galwedig
infected	heintus
infect	heintio
grief	gofid
COVID-19	y Gofid Mawr
principality	tywysogaeth
glassful	gwydraid
orange juice	sudd oren
meal	pryd o fwyd
pen	ysgrifbin
dew	gwlith
beefburger	eidionyn
amser maith yn ôl	amser maith yn ôl
later on	nes ymlaen
bus stop	safle bws
show	sioe
in time	mewn pryd
nothing	dim byd
on time	ar amser
Albanian	Albaneg
Irish	Gwyddeleg
Irish	Gwyddel
surplus	gweddill
bake	pobi
destruction	distryw
parents	rhieni
flea	chwain
widen	lledu
gymnasium	campfa
bargain	bargeinio
calendar	calendr
round	rownd
aelodau Cynulliad	Aelodau Cynulliad
fourteenth	pedwerydd ar ddeg
sound	sownd
sixteenth	unfed ar bymtheg
seventeenth	ail ar bymtheg
eighteenth	deunawfed
nineteenth	pedwerydd ar bymtheg
twentieth	ugeinfed
sixteen	un deg chwech
seventeen	un deg saith
eighteen	un deg wyth
nineteen	un deg naw
fault	ffawt
bassoon	basŵn
legal	cyfreithlon
twenty-second	ail ar hugain
twenty-first	unfed ar hugain
twenty-third	trydydd ar hugain
thirty-one	un ar ddeg ar hugain
revolve	chwyldroi
protest	protestio
protest	gwrthdystio
twenty	dau ddeg
twenty-one	dau ddeg un
twenty-two	dau ddeg dau
twenty-three	dau ddeg tri
twenty-four	dau ddeg pedwar
twenty-five	dau ddeg pump
twenty-six	dau ddeg chwech
twenty-seven	dau ddeg saith
twenty-eight	dau ddeg wyth
twenty-nine	dau ddeg naw
thirty-one	tri deg un
thirty	tri deg
twenty-fourth	pedwerydd ar hugain
twenty-fifth	pumed ar hugain
twenty-sixth	chweched ar hugain
twenty-seventh	seithfed ar hugain
twenty-eighth	wythfed ar hugain
twenty-ninth	nawfed ar hugain
thirtieth	degfed ar hugain
thirty-first	unfed ar ddeg ar hugain
body	corffor
incorporate	corffori
incorporate	ymgorffori
fortieth	deugeinfed
seventy	deg a thrigain
ninety	deg a phedwar ugain
ninety-nine	pedwar ar bymtheg a phedwar ugain
ninety-nine	cant namyn un
ninety-ninth	pedwerydd ar bymtheg a phedwar ugain
hundredth	canfed
cyntaf wedi'r cant	cyntaf wedi'r cant
hundred and one	cant ac un
all-important	hollbwysig
egoistical	myfïol
I	myfi
around	o gwmpas
Uranus	Wranws
patron saint	nawddsant
exhale	allanadlu
inhale	mewnanadlu
credit card	cerdyn credyd
card	cerdyn
credit	credyd
vote	pleidlais
reference	cyfeirnod
register	cofrestr
register	cofrestru
registry	cofrestrfa
registration	cofrestriad
registrar	cofrestrydd
electoral	etholiadol
besides	heblaw
previous	blaenorol
elder	blaenor
lead	blaenori
excel	rhagori
excellence	rhagoriaeth
orchestra	cerddorfa
orchestral	cerddorfaol
nursery	meithrinfa
rear	meithrin
dwell	preswylio
purpose	diben
intend	bwriadu
intentional	bwriadol
aim	amcanu
detailed	manwl
specification	manyleb
detail	manylyn
detail	manyldeb
detail	manylder
detail	manyldra
detail	manylrwydd
detail	manylwch
detail	manylu
stink	drewi
surgery	syrjeri
injure	brifo
injury	niwed
injurious	niweidiol
wound	clwyfo
wound	clwyf
wounded	clwyfus
wound	archolli
disease	afiechyd
sickness	salwch
movement	cyffro
excited	cynhyrfu
immune	heintrydd
infection	heintiad
do the dishes	gwneud y llestri
honestly	wir i ti
ninety-nine	naw deg naw
effective	effeithiol
efficient	effeithlon
bead	glain
tranquillizer	tawelyn
bellows	megino
bake	crasu
calm	tawelu
silence	distawrwydd
beating	crasfa
prepare	cyweirio
toast	tostio
mess	traed brain
roofer	töwr
chart	siart
lane	feidr
adder	gwiber
how	pa mor
height	uchder
thickness	trwch
height	taldra
I suppose	am wn i
metric	metrig
over there	draw 'na
turban	twrban
over there	draw fanna
draw fan hyn	draw fan hyn
hop	hopys
mallow	hocys
nettle	danadl
stinging nettle	danadl poethion
Persicaria	canwraidd
redshank	canwraidd goesgoch
amphibious bistort	canwraidd y dŵr
black bindweed	clymog ddu
Japanese knotweed	clymog Japan
common sorrel	suran y cŵn
wood sorrel	suran yr ŷd
wood sorrel	suran y coed
prime minister	prif weinidog
place of worship	teml
disappoint	siomi
broad-leaved dock	dail tafol
curled dock	tafol crych
sea beet	betys arfor
fat hen	troed-yr-ŵydd gwyn
common orache	llygwyn culddail
greater stitchwort	serenllys mawr
stitchwort	serenllys
orache	llygwyn
goosefoot	troed-yr-ŵydd
intelligent	deallus
harmless	diniwed
before long	cyn bo hir
soon	yn fuan
entirety	crynswth
thirty-two	deuddeg ar hugain
tin	ystaen
pewter	piwter
Saint David's Day	Dydd Gŵyl Dewi Sant
master carpenter	pensaer
householder	perchentyaeth
fungous	ffyngaidd
balance	cydbwysedd
part-time	rhan-amser
upland	ucheldir
wild strawberries	syfïa
threshold	trothwy
threshold	rhiniog
resident	preswylydd
resident	preswyliwr
circumstance	amgylchiad
abode	preswylfa
encircle	amgylchu
circumstantial	amgylchiadol
surround	amgylchynu
encircle	cylchynu
small circle	cylchyn
take advantage	manteisio
exploit	camfanteisio
protect	diogelu
key	allweddol
keyword	allweddair
index	mynegeio
chemistry	cemeg
valuable	gwerthfawr
appreciate	gwerthfawrogi
appreciation	gwerthfawrogiad
appreciative	gwerthfawrogol
descend	hanfod
essential	hanfodol
sense	ymdeimlo
recreate	ail-greu
recreation	ailgread
community	cymuned
Holy Communion	cymuno
Holy Communion	cymun
communion	cymundeb
communicant	cymunwr
readiness	parodrwydd
countless	di-rif
community	cymunedol
volunteer	gwirfoddoli
generosity	haelioni
generous	haelionus
generosity	haelder
encourage	calonogi
hearty	calonnog
institution	sefydliad
institutional	sefydliadol
founder	sefydlydd
for hire	ar log
available	ar gael
carving knife	twca
attempt	ymgeisio
attempt	ymgais
applicant	ymgeisydd
defeat	trechu
defeat	trechiad
victor	trechwr
stronger	trech
superiority	trechedd
victor	gorchfygwr
conquer	gorchfygu
conquest	gorchfygiad
victorious	gorchfygol
invincible	anorchfygol
impossible	amhosibl
victorious	buddugoliaethus
supremacy	goruchafiaeth
supreme	goruchel
dominate	goruchafu
overcome	goresgyn
endeavour	ymdrechu
striving	ymdrechgar
original	cysefin
smidgen	mymryn
spare	sbâr
pa un	p'un
unfair	annheg
taste	blasu
communism	comiwnyddiaeth
socialism	sosialaeth
capitalism	cyfalafiaeth
curry	cyri
quietness	tawelwch
cub	cenau
biscuit	bisged
owner	perchennog
instead of	yn lle
gravel	graean
stab	gwanu
hyperlocal	hyperleol
soot	pardduog
sooty	huddyglyd
dusty	llychlyd
promise	addewid
unjust	anghyfiawn
injustice	anghyfiawnder
rising	cynyddol
food bank	banc bwyd
homeless	digartref
homelessness	digartrefedd
climate	hinsawdd
climatic	hinsoddol
critical	argyfyngus
lack	diffyg
imperfect	amherffaith
does dim	sdim
faggot	ffagod
while	sbel
at least	o leiaf
lie down	gorwedd
lying down	gorweiddiog
house sparrow	golfan
tree sparrow	golfan y mynydd
on top of	ar ben
intermediate	canolradd
inherent	cynhenid
imprison	carcharu
gwnes i	neshi
smoker	ysmygwr
uncle	wncl
remote control	rheolydd pell
remote control	rheolaeth bell
disrupt	amharu
nap	cyntun
scissors	siswrn
from	oddi wrth
fucking	ffycin
fag	ffag
shithole	cachu twll
stairs	grisiau
suicidal	hunanladdol
cider	seidr
really happy	wrth eich bodd
ignorant	anwybodus
ignorance	anwybod
coward	cachgi
tutor	tiwtor
sermon	pregeth
bower	celdy
beyond a shadow of a doubt	heb os nac oni bai
dim ond	'mond
you know	timod
stubborn	styfnig
hairy	blewog
fair play	chwarae teg
aggressive	ymosodol
thoughtful	meddylgar
lucky	ffodus
deadnettle	marddanadl
bind	rhwymo
bond	rhwym
constipation	rhwymedd
band	rhwymyn
binding	rhwymiad
binder	rhwymwr
bound	rhwymedig
obligation	rhwymedigaeth
commit	ymrwymo
commitment	ymrwymiad
swathe	amrwymo
entertainment	adloniant
coffee morning	bore coffi
guess	dyfalu
karaoke	carioci
car boot sale	sêl cist car
fashion show	sioe ffasiwn
fashion	ffasiwn
carousel	carwsél
horror	ergryn
behaviour	ymddygiad
behavioural	ymddygiadol
behaviour	ymarweddiad
behave	ymarweddu
life	buchedd
emphasis	pwyslais
roughness	garwedd
roughen	garwhau
expression	ymadrodd
speak	ymadroddi
eloquent	ymadroddus
speaker	ymadroddwr
repair	trwsio
speak	llefaru
speaker	llefarwr
utterance	parabl
utter	parablu
speak	ynganu
pronunciation	ynganiad
mention	crybwyll
mention	crybwylliad
pronounce	cynanu
relate	traethu
narrative	traethiad
narrator	traethwr
sandbank	traethell
coastal	arfor
coast	arfordir
coastal	arfordirol
coastline	morlin
lineage	llinach
strangulation	llindag
choking	tagfa
bindweed	taglys
choking	tagiad
choke	tagydd
strangle	llindagu
curve	cromlin
parallel	cyflin
