where	on
consortium	consorci
unharmed	il·lès
carry	traginar
immorality	immoralitat
morality	moralitat
secession	secessió
blindly	a les palpentes
busy	atrafegat
worn out	atrotinat
pin	bitlla
closed	cluc
brood	covar
aftertaste	deix
rinse	esbandir
spread	esbombar
odd	i escaig
toothless	esdentegat
fright	esglai
landslide	esllavissada
terrify	espaordir
admiration	renoi
hinterland	rerepaís
pregestational	pregestacional
encircle	encerclar
out of the corner of one's eye	de reüll
paving stone	llamborda
gigantic	gegantí
porter	conserge
swing	gronxar
every little bit helps	tota pedra fa paret
never put off until tomorrow what you can do today	qui dia passa, any empeny
you never know	de més verdes en maduren
Atlantic horse mackerel	sorell
drill	trepant
chrysalis	crisàlide
bud	capoll
app	apli
pangolin	pangolí
dirty	llord
lucky	astruc
ammonite	ammonit
nautilus	nàutil
corvee	tragina
annoyance	emprenyada
brown	enrossir
as is	tal qual
selfishness	egoisme
tennessine	tennessi
oganesson	oganessó
archaism	arcaisme
related	afí
clothing	indumentari
clothing	indumentària
cephalic	cefàlic
light	ingràvid
lightness	ingravidesa
heavy	gràvid
heaviness	gravidesa
messianic	messiànic
shortcut	atall
bright	llampant
figure	mulassa
sausage	llonganissa
chistorra	xistorra
morcilla	botifarró
mortadella	mortadel·la
trough	abeurador
dent	abonyegar
boarding	abordatge
cheapen	abaratir
shelter	recer
exercise bicycle	bicicleta estàtica
static	estàtic
statics	estàtica
destiny	fatalitat
obsessive	obsessiu
autobiographical	autobiogràfic
rote	esma
pedal	pedalejar
aphonic	afònic
water down	aigualir
water spout	aiguat
sleet	aiguaneu
basil	alfàbrega
arrogant	altiu
altercation	altercat
highness	altesa
worry	amoïnar
worry	capficar
hit	etzibar
pile up	amuntegar
obverse	anvers
stone	apedregar
corner	arraconar
move	arrambar
frighten	astorar
accustom	avesar
trunk	bagul
bedspread	cobrellit
wooden	embolar
button	botonar
shake	sacseig
spongiform	espongiforme
banality	banalitat
flat	bemoll
drag	pipada
lamp	llàntia
guarantee	caució
badger	teixó
suet	sèu
hollandaise sauce	salsa holandesa
soy sauce	salsa de soja
panel	panell
swirl	arremolinar
tableful	taulada
shearer	esquilador
track	rastre
storyteller	contista
defeat	venciment
chordate	cordat
cast	elenc
truffle	tòfona
feel	saber greu
gust	ràfega
whaling	balener
horn	botzina
calculatedly	calculadament
cinephile	cinèfil
according to	en funció de
decline	decaure
revitalize	revitalitzar
revitalization	revitalització
abduct	abduir
savour	paladejar
fight fiercely	acarnissar-se
obstruct	obstaculitzar
proud	ufanós
astrological	astrològic
conflictive	conflictiu
chatter	garlar
spinach	espinac
too much	de sobres
lodging	ajagut
suburb	raval
weaver	teixidor
wag	cuada
mosquito	cúlex
DNA	àcid desoxiribonucleic
chamber	recambra
curse	renec
carefully	curosament
carelessness	deixadesa
order	comminar
fear	astorament
meanness	mesquinesa
idiot	carallot
eccentric	estrambòtic
blissful	benaurat
suitability	idoneïtat
policy	pòlissa
supertanker	superpetrolier
annoyance	atabalament
timid	poruc
cigarette butt	burilla
break	espetec
enchantment	encanteri
dagger	punyal
blister	butllofa
buckle	sivella
agonizing	agònic
scare	esverar
whimper	somicar
jolt	sotragar
hole	esvoranc
spy	sotjar
shambles	estrall
displease	descontentar
stench	fortor
groin	engonal
tread	trepitjar
cross-eyed	guenyo
dysfunction	disfunció
erectile	erèctil
fauvist	fauvista
straw	palleta
bargain	regateig
handle	nansa
cask	bocoi
negligence	desídia
melancholic	melangiós
bundle	feix
urge	rampell
muffle	esmorteir
twig	branquilló
avoid	defugir
mass	tropell
anuran	anur
obsession	fal·lera
overwhelm	aclaparar
elaborate	esplaiar
incompatibility	incompatibilitat
compatibility	compatibilitat
dusk	capvespre
upset	trasbalsar
injure	nafrar
squeak	grinyolar
wound	nafra
secretly	d'amagatotis
grotesque	esperpèntic
smugness	cofoisme
crazy	forassenyat
protect	emparar
end	al capdavall
caress	carantoines
frighten	esporuguir
roar	retrunyir
coffin	taüt
poop deck	toldilla
puff	bafarada
hair	monyo
antiarrhythmic	antiarítmic
arrhythmia	arítmia
obligatoriness	obligatorietat
famously	famosament
whore	putana
rustic	rústic
paint	ganyar
jam	melmelada
disenchantment	desencant
aldehyde	aldehid
hyperglycemia	hiperglucèmia
glycemia	glucèmia
hypoglycemia	hipoglucèmia
vanity	vanitat
wineskin	borratxa
bird of prey	rapinyaire
memory	memorístic
chalcedony	calcedònia
old	revell
rubble	reble
once	una vegada
alphanumeric	alfanumèric
Americanisation	americanització
hit	copejar
cardboard	cartró
virulence	virulència
orthography	prefabrià
orthography	fabrià
assuring	assegurador
outcome	desenllaç
excision	excisió
tongue-twister	embarbussament
synaptic	sinàptic
prokaryotic	procariòtic
acidity	acidesa
ischemic	isquèmic
taxonomic	taxonòmic
occlusion	oclusió
calm	tranquil·litzar
Antarctic	antàrtic
Arctic	Àrtida
Arctic	àrtic
oyster mushroom	gírgola
algid	àlgid
transgenic	transgènic
Dantesque	dantesc
conjunctive	conjuntiu
loquacious	loquaç
loquacity	loquacitat
euphemistic	eufemístic
dramatism	dramatisme
portentous	portentós
rationality	racionalitat
lying	mentider
streptococcus	estreptococ
staphylococcus	estafilococ
Athenian	atenès
Atlantic	atlàntic
dexterity	destresa
kindness	gentilesa
misunderstanding	malentès
applause	aplaudiment
lipogram	lipograma
australopithecine	australopitec
idiopathic	idiopàtic
aggregation	agregació
Andromeda	Andròmeda
strike	atupar
untranslatable	intraduïble
nitrite	nitrit
mycobacterium	micobacteri
fright	esverament
entrust	encomanar
a casa d'un penjat no hi anomenis cordes	a casa d'un penjat no hi anomenis cordes
treatment	aprest
rheumatological	reumatològic
rheumatologist	reumatòleg
ice resurfacer	màquina de polir
Numbers	Nombres
travel	resseguir
kneel	agenollar-se
stochastic	estocàstic
jack plane	garlopa
skeleton	ossada
brandish	brandejar
threateningly	amenaçadorament
rubella	rubèola
borate	borat
distracted	badoc
foist	encolomar
crawl	gatejar
wring out	rebregar
quench	sadollar
reproach	retret
reproach	retreure
strength	puixança
suitable	adient
wasted	malaguanyat
a cau d'orella	a cau d'orella
on purpose	a dretcient
in the sticks	a la quinta forca
screw	a pastar fang
at most	a tot estirar
at least	pel cap baix
at most	pel cap alt
at least	com a mínim
overwhelm	abassegar
pull one's leg	aixecar la camisa
decent	amb cara i ulls
amb l'ai al cor	amb l'ai al cor
through and through	amb tots els ets i uts
go downhill	anar a mal borràs
credulously	amb el lliri a la mà
com l'anell al dit	com l'anell al dit
gilli-danda	bòlit
playful	juganer
bolt	pestell
clapper	batall
croak	dinyar-la
whimper	ploriquejar
rouse	engrescar
reaffirm	refermar
turn	giragonsa
frost	gebre
junk	andròmina
motorway	autovia
hoe	aixada
porphyria	porfíria
príncep blau	príncep blau
confluence	aiguabarreig
cosmochemistry	cosmoquímica
moiré	moaré
potion	poció
heat up	caldejar
center-right	centredreta
center-left	centreesquerra
also known as	àlies
shearing	xolla
garrigue	garriga
bipedal	bípede
hydrography	hidrografia
agate	àgata
metallurgy	metal·lúrgia
metallurgical	metal·lúrgic
metallurgist	metal·lurgista
introverted	introvertit
Brussels sprout	col de Brussel·les
cock	gallimarsot
in spades	a desdir
haphazardly	a la babalà
fortuitous	fortuït
plain	planícia
mixed-race	mestís
photocopy	fotocòpia
qibla	alquibla
impatience	impaciència
allude	al·ludir
charter	noliejar
accreditation	acreditació
adipose	adipós
underpants	calçotets
alluvial	al·luvial
alluvium	al·luvió
rarity	raritat
rarity	raresa
photogenicity	fotogènia
photogenic	fotogènic
opacity	opacitat
finely	finament
periphrastic	perifràstic
jealous	envejós
chlorhexidine	clorhexidina
monoamine oxidase	monoaminooxidasa
strengthen	enfortir
serenity	serenitat
calm	serè
noise	fressa
presumption	presumpció
fray	esfilagarsar
thread	filagarsa
grotesque	grotesc
strangeness	estranyesa
exile	estranyar
presumptuous	presumit
shareholder	accionari
stateless	apàtrida
award	atorgable
contemptible	menyspreable
leader	capitost
acquisition	captació
ride	cavalcar
sticky	agafatós
fasciitis	fasciïtis
fascia	fàscia
meanwhile	entretant
galea	gàlea
Beghard	begard
spermiogenesis	espermiogènesi
bureaucrat	buròcrata
baldness	calbesa
Eurasian golden plover	fuell
urticaria	urticària
demonic	demoníac
muteness	mudesa
paralytic	paralític
cry	xiscle
profane	profà
brewery	cerveseria
conclusive	conclusiu
lightwell	celobert
entrance hall	rebedor
prioress	prioressa
counterscarp	contraescarpa
emphatic	emfàtic
apron	davantal
thalassemia	talassèmia
bipolarity	bipolaritat
abandon	desemparar
delinquency	delinqüència
congratulations	enhorabona
pentathlon	pentatló
moderately	moderadament
tacit	tàcit
tacitly	tàcitament
humiliation	humiliació
abiotic	abiòtic
abstemious	abstemi
aggressiveness	agressivitat
hermetic	hermètic
hermetically	hermèticament
anoxic	anòxic
anemic	anèmic
washing machine	rentadora
dryer	assecadora
mutiny	motí
negativity	negativitat
externally	externament
verbally	verbalment
firmly	fermament
loose	fluix
disorganize	desorganitzar
pupil	pupil·la
nanometer	nanòmetre
Wikipedian	viquipedista
cessation	cessament
shock	commocionar
making	confecció
do it yourself	bricolatge
burette	bureta
shady	ombrós
constitutive	constitutiu
contentious	contenciós
however	nogensmenys
intimately	íntimament
half-plane	semiplà
ray	semirecta
hydronym	hidrònim
precocious	precoç
nauseating	nauseabund
conventionally	convencionalment
narrowness	estretor
inertia	inèrcia
rebelliousness	rebel·lia
gonad	gònada
atavistic	atàvic
last year	antany
intolerance	intolerància
arcane	arcà
pellet	balí
plowshare	rella
endoscopy	endoscòpia
etymologist	etimòleg
eucalyptus	eucaliptus
elastic	elàstic
electrode	elèctrode
enrichment	enriquiment
asbestos	amiant
satisfying	satisfaent
weakly	feblement
thin	aprimar
raise	apujar
enjoy oneself	xalar
pneumococcus	pneumococ
perfusion	perfusió
hirsutism	hirsutisme
androgenic	androgènic
prolactinemia	prolactinèmia
collusion	col·lusió
fertilise	femar
disagree	desacordar
bacteraemia	bacterièmia
carrot	carrota
carrot	safanòria
flannel	franel·la
amplification	amplificació
live together	conviure
coproduce	coproduir
coproduction	coproducció
corporative	corporatiu
corporation	corporació
bewilderment	desconcert
Caucasian	caucasià
Caucasian	caucàsic
season	salpebrar
destabilize	desestabilitzar
disinformation	desinformació
disproportion	desproporció
fall apart	esllavissar-se
fodder	farratge
sugar cane	canya de sucre
nevertheless	amb tot
bagasse	bagàs
woody	llenyós
pumping	bombament
silo	ensitjar
parcel	parcel·la
improvable	millorable
emerge	irrompre
Tangier	Tànger
Marrakech	Marràqueix
fun	xalat
plumule	plúmula
seedling	plàntula
internode	entrenús
apex	àpex
often	sovintejar
reproductive	reproductiu
homogeneity	homogeneïtat
precede	precedir
thicken	engruixir
Good King Henry	sarrons
maturation	maduració
fertilization	fecundació
precocity	precocitat
filling	ompliment
paradigmatic	paradigmàtic
fallow	guaret
chisel	cisell
manic	maníac
stubble	rostoll
weed	mala herba
develop	desenrotllar
development	desenrotllament
slander	bescantar
flour	enfarinar
couple	acoblar
harrow	rascle
appropriate	apropiat
depth	fondària
height	altària
level	anivellar
dig up	remoure
warning	precaució
proliferation	proliferació
provide	proveir
orchid	orquídia
dietetics	dietètica
dietetic	dietètic
dedication	dedicatòria
brucellosis	brucel·losi
selective	selectiu
fricative	fricatiu
customs	duaner
eclectic	eclèctic
sensationalism	efectisme
wharf	embarcador
ill	emmalaltir
space	cabuda
metric	mètric
meter	mètrica
wall barley	margall
fertilizer	purí
dejection	dejecció
porcine	porcí
abundant	abundós
fertilization	adobament
dismantle	desmantellar
dry	eixarreir
shove	encabir
courageous	animós
rooting	arrelament
pinworm	oxiür
hysteroscopy	histeroscòpia
royalist	reialista
royalism	reialisme
drink	bevedor
heat	calòric
supply	abastament
beast	bístia
city wall	extramurs
cinquefoil	quinquefoli
tiny	diminut
ruin	ruïna
avid	àvid
ranking	rànquing
anesthetic	anestèsic
anesthesia	anestèsia
machete	matxet
specification	especificació
analogous	anàleg
Viennese	vienès
Prussian	prussià
sharpness	agudesa
inflammatory	inflamatori
inflammation	inflamació
persuasion	persuasió
satirize	satiritzar
rind	cotna
distortion	distorsió
torsion	torsió
anti-inflammatory	antiinflamatori
Gambian	gambià
bulwark	baluard
orphanage	orfenat
leiomyoma	liomioma
uppercase	majúscul
vegetative	vegetatiu
wild oats	cugula
stock	estirp
uncontrolled	incontrolat
toucan	tucà
evasion	evasió
evasive	evasiu
lowercase	minúscul
hyacinth	jacint
bromide	bromur
butcher's	carnisseria
judgment	albir
cops d'ull	cops d'ull
Proverbs	Proverbis
Genesis	Gènesi
genesis	gènesi
Exodus	Èxode
exodus	èxode
Old Testament	Antic Testament
New Testament	Nou Testament
Leviticus	Levític
Deuteronomy	Deuteronomi
Joshua	Josuè
Judges	Jutges
Ezra	Esdres
Nehemiah	Nehemies
Ecclesiastes	Eclesiastès
canticle	càntic
Isaiah	Isaïes
Jeremiah	Jeremies
Lamentations	Lamentacions
Hosea	Osees
Obadiah	Abdies
Jonah	Jonàs
Micah	Miquees
Zephaniah	Sofonies
Zechariah	Zacaries
Malachi	Malaquies
Acts	Fets
heavenly body	cos celeste
1 Kings	1 Reis
2 Kings	2 Reis
1 Chronicles	1 Cròniques
2 Chronicles	2 Cròniques
1 Corinthians	1 Corintis
2 Corinthians	2 Corintis
Galatians	Gàlates
Ephesians	Efesis
Philippians	Filipencs
Colossians	Colossencs
1 Thessalonians	1 Tessalonicencs
2 Thessalonians	2 Tessalonicencs
1 Timothy	1 Timoteu
Timothy	Timoteu
2 Timothy	2 Timoteu
Philemon	Filèmon
Hebrews	Hebreus
1 Peter	1 Pere
2 Peter	2 Pere
1 John	1 Joan
2 John	2 Joan
3 John	3 Joan
Jude	Judes
Revelation	Apocalipsi
civility	civilitat
Venetian	vènet
conductive	conductiu
Anglophobic	anglòfob
-phobia	-fòbia
phobia	fòbia
bottle opener	obreampolles
veterinary medicine	veterinària
-ian	-ià
exchange	intercanviar
interstellar	interestel·lar
intergalactic	intergalàctic
heraldry	heràldica
tannin	taní
Manchuria	Manxúria
awning	envelat
ladder	escalafó
after	encabat
intertwine	entrecreuar
run	correguda
downcast	capbaix
duration	duració
wardrobe	vestuari
harmless	inofensiu
motorcycle sport	motociclisme
ending	acabament
lintel	llinda
ashlar	carreu
clarification	aclariment
subtitle	subtítol
shine	lluïssor
slope	desnivell
population	veïnat
diagnostic	diagnòstic
real estate agency	immobiliària
quarry	pedrera
variance	variància
successfully	reeixidament
exhibitionist	expositiu
adscription	adscripció
explanatory	explicatiu
row	rengle
footballing	futbolísticament
cancerous	cancerós
fluviol	flabiol
confirmation	constatació
bilingualism	bilingüisme
secularization	secularització
reinterpretation	reinterpretació
synchronization	sincronització
gestation	gestació
ratification	ratificació
pilgrimage	peregrinació
verification	verificació
cataloguing	catalogació
reunification	reunificació
saturation	saturació
alienation	alineació
purification	purificació
canalization	canalització
fascination	fascinació
replication	replicació
condensation	condensació
personification	personificació
quantification	quantificació
specialization	especialització
diversification	diversificació
digitalization	digitalització
relaxation	relaxació
popularization	popularització
dilation	dilatació
romanticization	romanització
predominantly	predominantment
transparency	diafanitat
cyclocross	ciclocròs
lean	adossar
folding-bone	plegador
Rwandan	ruandès
implementation	implementació
middle	mitger
frame	emmarcar
supervision	supervisió
coating	revestiment
stand out	sobresortir
rehabilitation	rehabilitació
unloading	descàrrega
window	finestral
preservation	preservació
carpentry	fusteria
each	sengles
dedication	dedicació
match	matx
hydrographic	hidrogràfic
fur	pelatge
vestibule	vestíbul
unfolding	desplegament
slab	llosa
coronation	coronament
conquer	conqueridor
extravagance	extravagància
hardening	enduriment
harden	endurir
civil union	unió civil
civil union	unió estable de parella
reciprocity	reciprocitat
flask	matràs
cooling	refredament
falsification	falsificació
South Korean	sud-coreà
sinful	pecaminós
Middle East	Orient Mitjà
commemorate	commemorar
apostolic	apostòlic
numbering	numeració
commemoration	commemoració
subspecies	subespècie
logotype	logotip
tingling	formigó
modestly	modestament
etymologically	etimològicament
coldly	fredament
remotely	remotament
remote	remot
decentralize	recentralitzar
dissection	dissecció
docility	docilitat
expansion	eixample
curative	curatiu
ossuary	ossari
untie	deslligar
sponsorship	mecenatge
meridian	meridià
dating	datació
estimation	estimació
embellishment	embelliment
upright	muntant
forward line	davantera
biographer	biògraf
bioethics	bioètica
luminescence	luminescència
bioluminescence	bioluminescència
mediation	mediació
demarcation	demarcació
functionality	funcionalitat
confirmation	confirmació
developer	desenvolupador
bachelor's degree	llicenciatura
locally	localment
replica	rèplica
subgroup	subgrup
finalization	finalització
television	televisiu
compilation	recopilació
estimation	valoració
sign	indicació
municipality	municipalitat
potentially	potencialment
helmsman	timoner
hyperactive	hiperactiu
judgment	jutjament
tenacity	tenacitat
supplement	suplement
incidence	incidència
flooring	paviment
sheik	xeic
commercialization	comercialització
commercialize	comercialitzar
free	gratuït
free	gratuïtament
avidly	àvidament
tenotomize	esguerrar
melancholy	malenconia
melancholy	melangia
melancholic	malenconiós
melancholic	melancòlic
somatic	somàtic
octane	octà
validity	validesa
end	darreria
event	succés
gaseous	gasós
mysticism	misticisme
canvas	llenç
Catalan	noucentisme
psychotic	psicòtic
deliberation	deliberació
insolence	insolència
insolently	insolentment
deformity	deformitat
antimicrobial	antimicrobià
microbial	microbià
unbearably	insuportablement
unbearable	insuportable
intolerably	intolerablement
methodically	metòdicament
methodical	metòdic
randomise	aleatoritzar
metatarsus	metatars
decisively	decisivament
humanitarian	humanitari
substitute	suplent
arrangement	arranjament
urban	urbanístic
pension	pensió
restructuring	reestructuració
panoramic	panoràmic
panoramic	panoràmica
possibly	eventualment
portico	pòrtic
commissioner	comissionat
emeritus	emèrit
benefit	prestació
formulation	formulació
macrophagous	macròfag
macrocyte	macròcit
North Macedonia	Macedònia del Nord
exhausted	afinat
poker	furga
error	esguerro
macroeconomic	macroeconòmic
macroevolution	macroevolució
macromolecule	macromolècula
accusatory	acusatori
abstinence	abstinència
vocalization	vocalització
acetic	acètic
amply	amplament
hydrophobic	hidròfob
hydrophobia	hidrofòbia
admiralty	almirallat
psychotherapy	psicoteràpia
antacid	antiàcid
antifascist	antifeixista
deterioration	deterioració
deviation	desviació
hypertension	hipertensió
requirement	requeriment
cooperative	cooperatiu
progression	progressió
repercussion	repercussió
reconciliation	reconciliació
immature	immadur
endowment	dotació
poster	pòster
beat	estomacar
imminence	imminència
imminently	imminentment
dirty	porquejar
dysuria	disúria
dyspareunia	disparèunia
impurity	impuritat
sepsis	sèpsia
unreachable	inabastable
reachable	abastable
juniper	ginebre
advisable	aconsellable
complaint	reclamació
parent	pairal
pictorial	pictòric
signage	senyalització
voussoir	dovella
machine gun	metralladora
jamb	brancal
room	estança
volleyball	vòlei
deformation	deformació
ceramic	ceràmic
practical	pràctic
mobilization	mobilització
propulsion	propulsió
regularity	periodicitat
militancy	militància
bracket	mènsula
subset	subconjunt
appraisal	avaluació
honorific	honorífic
priory	priorat
echocardiographic	ecocardiogràfic
New Caledonia	Nova Caledònia
New Caledonian	neocaledonià
pneumothorax	pneumotòrax
automobile	automobilístic
militia	milicià
benthopelagic	bentopelàgic
niche	nínxol
theologian	teòleg
kinship	parentiu
armour plating	blindatge
strike	ullprendre
synthetically	sintèticament
pathognomonic	patognòmic
portal vein	vena porta
disability	baldadura
pernicious	perniciós
imperious	imperiós
imperiously	imperiosament
boule	fogassa
decline	desgast
packaging	embalatge
understanding	enteniment
vain	vanitós
dairy	lleteria
litter	llitera
otolith	otòlit
menopausal	menopàusic
Albacete	albaceteny
transatlantic	transatlàntic
-cracy	-cràcia
partocracy	partitocràcia
apartment	narcopís
tremendous	tremend
multigenerational	multigeneracional
extrasystole	extrasístole
epistemological	epistemològic
skylight	lluerna
prolongation	prolongació
flank	flanquejar
appoint	adscriure
plinth	sòcol
motocross	motocròs
springboard	trampolí
imposition	imposició
anomalous	anòmal
heave	tragit
Apennines	Apenins
gardenia	gardènia
immobilization	immobilització
demobilization	desmobilització
immobilize	desmobilitzar
immobile	immòbil
immobility	immobilitat
tragic	tràgic
please	fer el pes
neglect	negligència
bladder	veixiga
woolly	llanut
mossy	molsut
fleshy	carnut
ear	orellut
bigmouthed	bocarrut
bigmouthed	bocut
largeness	grossària
snout	morrut
dogmatic	dogmàtic
dogmatically	dogmàticament
diligently	diligentment
conditioning	condicionament
classism	classisme
bearded	barbut
ballsy	collonut
paunchy	panxut
paunchy	ventrut
large	cellut
toothy	dentut
Ossetia	Ossètia
Buryatia	Buriàtia
Chuvashia	Txuvàixia
Dagestan	Daguestan
Altai Republic	República de l'Altai
Kalmykia	Calmúquia
Karelia	Carèlia
Mordovia	Mordòvia
North Ossetia-Alania	Ossètia del Nord
Yakutia	Iacútia
Sakha	Sakhà
Tuva	Tuvà
Udmurtia	Udmúrtia
Kabardino-Balkariya	Kabardino-Balkària
Karachay-Cherkessia	Karatxai-Txerkèssia
Alpes-de-Haute-Provence	Alps de l'Alta Provença
Alpes-Maritimes	Alps Marítims
Ardennes	Ardenes
Bouches-du-Rhône	Boques del Roine
Corse-du-Sud	Còrsega del Sud
Haute-Corse	Alta Còrsega
Côte-d'Or	Costa d'Or
Eure-et-Loir	Eure i Loir
Galicia	Finisterre
Haute-Garonne	Alta Garona
Loire-Atlantique	Loira Atlàntic
mental hospital	hospital psiquiàtric
standard deviation	desviació estàndard
pillowcase	coixinera
Alvèrnia	Alvèrnia-Roine-Alps
Borgonya	Borgonya-Franc Comtat
Franche-Comté	Franc Comtat
Quaker	quàquer
Hauts-de-France	Alts de França
Grand Est	Gran Est
Pays de la Loire	País del Loira
Provença	Provença-Alps-Costa Blava
French Guiana	Guaiana Francesa
Ávila	Àvila
la	la Corunya
Castella	Castella-la Manxa
La Mancha	la Manxa
British Columbia	Colúmbia Britànica
factory	factoria
wall	emmurallar
Aran	Vall d'Aran
papilloma	papil·loma
papilla	papil·la
optic disc	papil·la òptica
hypopharynx	hipofaringe
antimatter	antimatèria
photoallergy	fotoal·lèrgia
fallible	fal·lible
infectious	infecciós
stoke	atiar
imprudently	imprudentment
clot	coàgul
push	empentar
objectivity	objectivitat
enthusiastically	entusiàsticament
supersonic	supersònic
sonic	sònic
superimpose	superposar
audacious	audaç
fleshy	carnós
concise	concís
concisely	concisament
Confucian	confucià
careful	curós
arrange	agençar
narcissistic	egòlatra
corner	cantoner
steep	costerut
stout	rabassut
sustainability	sostenibilitat
wastepaper basket	paperera
block	embussar
pipe	canonada
furnituremaker	moblista
genuine	genuí
communion	comunió
vibration	vibració
recreation	recreació
prehistory	prehistòria
prolong	perllongar
climate	climàtic
hillock	pujol
fragmentation	fragmentació
as	puix que
drainage	drenatge
director	realitzador
necropolis	necròpolis
necropolis	necròpoli
humidify	humitejar
solidity	soliditat
technocrat	tecnòcrata
pyrotechnic	pirotècnic
pyrotechnics	pirotècnia
polypeptide	polipèptid
peptidic	peptídic
enviable	envejable
lyricist	lletrista
to the letter	a la lletra
to the letter	al peu de la lletra
misogyny	misogínia
countercurrent	contracorrent
ferrous	ferrós
grandfather	iaio
grandma	iaia
exactitude	justesa
cry	llagrimejar
razor	navalla
tetragonal	tetràgon
live	malviure
chest of drawers	calaixera
prayer	pregària
trireme	trirrem
densely	densament
deportation	deportació
healthily	sanament
healthy	sanejar
transliteration	transliteració
mandatory	forçós
metabolic	metabòlic
comparatively	comparativament
Nigerian	nigerià
gravitational	gravitatori
melodic	melòdic
baptism	bateig
dissatisfaction	descontentament
captivity	captivitat
bat	voliac
claw	arpellejar
reestablishment	restabliment
subject	súbdit
micrometer	micròmetre
emergence	sorgiment
enmity	enemistat
speculative	especulatiu
feline	felí
incompetence	incompetència
insecure	insegur
Lusitanian	lusità
absurdity	absurditat
adaptability	adaptabilitat
halberdier	alabarder
asymmetry	asimetria
autocrat	autòcrata
certification	certificació
conical	cònic
conic section	cònica
retroactive	retroactiu
retroactively	retroactivament
histological	histològic
incitement	incitació
hospitalization	hospitalització
collector	col·leccionador
pseudoscience	pseudociència
self-reference	autoreferència
disinfection	desinfecció
opiated	opiat
technicality	tecnicisme
multilingualism	multilingüisme
multilingualism	plurilingüisme
trilingualism	trilingüisme
drunkenness	embriaguesa
buckler	broquer
aegis	ègida
wrist brace	canellera
pelagic	pelàgic
ridiculously	ridículament
disturb	commoure
enthronement	entronització
enthrone	entronitzar
politicize	polititzar
immunodeficiency	immunodeficiència
well-off	acomodat
comatose	comatós
nostalgia	enyorança
hospitality	hospitalitat
inhibition	inhibició
trait	senya
talisman	talismà
diaphanous	diàfan
professionalisation	professionalització
thermoplastic	termoplàstic
scalene	escalè
glutamate	glutamat
algorithmic	algorítmic
heliocentric	heliocèntric
intrinsically	intrínsecament
intrinsic	intrínsec
degenerative	degeneratiu
hybridization	hibridació
Maó	maonès
disaccharide	disacàrid
polysaccharide	polisacàrid
deoxyribose	desoxiribosa
monosaccharide	monosacàrid
carbohydrate	carbohidrat
carbohydrate	hidrat de carboni
carbohydrate	glúcid
saccharide	sacàrid
cellulose	cel·lulosa
oligosaccharide	oligosacàrid
glycogen	glicogen
ketohexose	cetohexosa
cellobiose	cel·lobiosa
glyceraldehyde	gliceraldehid
matriarchy	matriarcat
tick	paparra
loudly	sorollosament
monocyte	monòcit
overpopulation	superpoblació
semi-automatic	semiautomàtic
deserving	mereixedor
nesting	nidificació
robotic	robòtic
statistic	estadístic
energetic	energètic
dynastic	dinàstic
forecast	pronòstic
paleolithic	paleolític
grammarian	gramàtic
logistic	logístic
anthropophobe	antropòfob
hesitation	hesitació
electorate	electorat
counteract	contrarestar
eave	ràfec
graduation	graduació
thicket	matollar
African-American	afroamericà
sculptural	escultòric
contracting	contractació
confrontation	confrontació
exhibit	exhibició
scenic	escènic
rocky	rocós
catheter	catèter
blacken	ennegrir
harmful	nociu
dismissal	destitució
salvation	salvació
lawn	gespa
miller	moliner
polymer	polímer
floury	farinós
hypnotic	hipnòtic
dryness	sequedat
commission	comissionar
caraway	comí de prat
carob	garrofer
carob	garrofera
Pleistocene	plistocè
skilled	traçut
rower	remer
sternpost	codast
obstinately	obstinadament
bitterness	amarguesa
inexpressive	inexpressiu
interweave	entreteixir
line	corrua
every other	dia per altre
eye-catching	vistós
theatrically	teatralment
Greenland	Groenlàndia
pepper	pebrer
realizable	realitzable
neutralization	neutralització
legibility	llegibilitat
illegibility	illegibilitat
socialization	socialització
socialize	socialitzar
instinctively	instintivament
immolation	immolació
after	al cap de
unmistakable	inconfusible
redden	envermellir
flooding	riuada
shoebill	bec d'esclop
austerity	austeritat
candlemaker	candeler
mullein	candelera
-cyte	-cit
kindness	amabilitat
like	tal com
chicken pox	varicel·la
rest	repòs
turn back	retrocedir
anteriority	anterioritat
sultanate	soldanat
reliability	fiabilitat
measurement	mesurament
problematic	problemàtic
problem	problemàtica
skating	patinatge
suburbicary	suburbicari
blessing	benedicció
vulnerability	vulnerabilitat
since	puix
mutually	mútuament
technically	tècnicament
meaning	significació
mythological	mitològic
effectiveness	efectivitat
recession	recessió
indeterminate	indeterminat
molding	motllurar
reformation	reformació
intercession	intercessió
nucleotide	nucleòtid
bandit	bandoler
consequently	conseqüentment
consequent	conseqüent
urgently	urgentment
south-west wind	garbí
vaporization	vaporització
cap d'estat	cap d'estat
caps d'estat	caps d'estat
tularemia	tularèmia
partisanship	partidisme
Hispanicize	castellanitzar
qualified majority	majoria qualificada
abscess	abscés
amniotic	amniòtic
amniotic	àmnic
coupist	colpista
decentralization	descentralització
lithographic	litogràfic
hieratic	hieràtic
Gallicism	gal·licisme
dump	abocador
work	feinejar
oligomer	oligòmer
metaphysical	metafísic
new	nouvingut
still	alambí
postgraduate studies	postgrau
convergence	convergència
course	decurs
annex	annexionar
recruitment	reclutament
ermine	ermini
snout	musell
rechristen	rebatejar
visualise	visualitzar
supplier	proveïdor
continuously	seguidament
delimitation	delimitació
relapse	recaure
nominally	nominalment
