dog	כלב
anosmia	תתרנית
legend	אגדה
electronic mail	דואר אלקטרוני
arena	זירה
humanity	אנושות
completeness	שלמות
אֵין	אין עשן בלי אש
בֵּן	בן פורת יוסף
comet	שביט
raise	רומם
rise	התרומם
female	חתולה
Danish	דנית
English	אנגלי
טָמַן	טמן ראשו בחול
long	ערג
improvisation	אילתור
love your neighbor as yourself	ואהבת לרעך כמוך
level	שלב
crying	בכי
cholent	חמין
report	דוח
שְׁאַל	שאל בני ונען
act	מערכון
cut off	קצוץ
diagnosis	איבחון
אֲנִי	אני־עליון
אֲנִי	אני עליון
horizontal	אופקי
horizontality	אופקיות
continuation	המשך
clarification	הבהרה
clarity	ב־ה־ר
wickedness	זדון
group	עדה
kill	המית
drive crazy	שיגע
cutting	קיצוץ
go crazy	השתגע
ruin	אובדן
panel	לוחית
arrow	חץ
fault	תקלה
ad	פירסומת
Gemara	אמורא
voodoo	וודו
probe	גשוש
female	סייעת
answering machine	משיבון
jingle	זמריר
landfill	מטמנה
monitoring	ניטור
scrubber	סולקן
secondary	שניוני
online	מקוון
roof	גג
shortening	קיצור
ancient	קדמון
Ezra	עזרא
dream	ח־ל־ם
any	כלשהו
domesticating	תירבות
thirst	צמא
audit	מבדק
ground	טחון
Micah	מיכיהו
complainer	מתלונן
constraint	אילוץ
Gra	גר״א
Vilna Gaon	הגאון מווילנה
genius	גאון
Rabbeinu	רבנו
leave behind	הותיר
realize	נוכח
born	נולד
found	נוסד
kitten	חתלתול
prophecy	נבואה
sudden	פתאומי
spell	איית
assembly	כ־נ־ס
Abiathar	אביתר
Ephrath	אפרת
silt	טין
mud	בוץ
frustrate	תסכל
frustrated	תוסכל
Gvaryahu	גבריהו
imbroglio	פלונטר
shakshuka	שקשוקה
שַׁלָּט	שלט רחוק
simplification	פישוט
purity	טהרה
pure	טהור
literally	פשוטו כמשמעו
meaning	משמע
before	טרם
height	מרום
crater	מכתש
joined	חובר
for sure	בטח
trousers	מכנסיים
nail	ציפורן
mouth	פצה
compensated	פוצה
white pepper	פלפל לבן
spice	תיבל
seasoned	תובל
mixture	בלילה
sadden	העציב
upset	ביאס
miserable	אמלל
miserable	אומלל
oppress	דיכא
cause	דיכדך
depressed	דוכדך
hunter	ציידת
helmet	קובע
קִיבֵּעַ	קיבע
threshold	סף
threshold	מפתן
map	מיפה
mapped	מופה
singing	רינה
supposed to	אמור
Aharoni	אהרוני
flood	שיטפון
prince	נסיך
princess	נסיכה
enforcing	אין דין ואין דיין
where there's a will there's a way	אין דבר העומד בפני הרצון
interdisciplinary	בין־תחומי
interdisciplinary	בין תחומי
better	מוטב
dramatised	מסכת
symmetrical	סימטרי
escalation	הסלמה
difference	שוני
integrity	יושרה
touch	נגיעה
leading	מוביל
אֵין	אין מצב
assembled	כונס
assemble	כינס
photographed	הצטלם
eagle	עיט
absorb	הפנים
chicken	תרנגולת
pedagogue	פדגוג
sketch	תסכית
כֵּף	כף התקווה הטובה
שְׁבִיל	שביל החלב
joy	ששון
sing	רן
as if	כאילו
vagueness	סתמיות
western	מערבון
scholarly	למדני
frequent	תכוף
frequently	תדיר
understandable	מובן
Ahinoam	אחינועם
burn	קטר
richness	עושר
composer	מלחין
equal	שווה
cupcake	קאפקייק
figurine	צלמית
ichthyology	חקר הדגים
illustration	איור
demonstration	הדגמה
egoism	אנוכיות
utopia	אוטופיה
gibber	ברבר
Viking	ויקינג
Viking	ויקינגי
programming	תכנות
צָרָה	צרה צרורה
packaged	צרור
yuan	יואן
carriage	קרון
confectioner	קונדיטור
הוֹן	הון עתק
capital	הון
copy	עותק
hi-tech	הי טק
marriage	נישואין
ruined	נהרס
wonderful	הורס
wall	גדרה
tiny	זעיר
surfing	גלישה
present	הווה
prototype	אב טיפוס
camp	מחניים
compensation	תמורה
flow	שטף
Yavne	יבנה
kibbutz	קבוצי
hangover	חמרמורת
weapon	סליק
assassin	מתנקש
assassination	התנקשות
attempt	התנקש
transposition	שיכול
lecturer	מרצה
lecture	הרצה
desalination	התפלה
desalinated	הותפל
legislated	נחקק
legislate	חוקק
legislate	חקק
law	חוק
version	גירסה
heat wave	שרב
hot	שרבי
Dorit	דורית
postman	דוור
Tola	תולע
handle	ידית
manual	ידני
כְּתַב	כתב יד
dedicate	חנך
Enoch	חנוך
educated	חונך
requirement	חובה
clause	פסוקית
עַל	על אחת כמה וכמה
מָחָר	מחר כך
תִּשְׁעָה	תשעה באב
פַּרְצוּף	פרצוף תשעה באב
nation	אומה
united	מאוחד
united	אוחד
enlightened	נאור
mine	מוקש
consolidation	ליכוד
crybaby	בכיין
רוּחַ	רוח הזמן
בְּ	ברוח הזמן
veto	וטו
puzzled	מבולבל
whale	לווייתן
UNESCO	אונסכ״ו
rub	שפשף
Christian	לסה״נ
-nik	־ניק
collection	קיבוץ
kibbutznik	קיבוצניק
Likudnik	ליכודניק
twilight	דימדומים
הילוך	הילוך איטי
absorb	ספג
separate	בידל
Qohath	קהת
partition	חיץ
buttocks	ישבן
carpentry	נגרייה
-ian	־אי
uses	צרכן
needed	מיצרך
satellite	לוין
pogrom	פוגרום
polarize	קיטב
draft	טיוטה
volunteer	התנדב
volunteer	נ־ד־ב
bonus	צ׳ופר
wander	נדד
wandering	נ־ד־ד
blinded	מסונוור
ship	ספינה
charm	הקסים
self-confidence	ביטחון עצמי
cable car	רכבל
driving test	טסט
foursome	רביעייה
press	עיתונאות
jay	עורבני
rolling	גילגול
burn	נשרף
moonlighting	חלטורה
slingshot	רוגטקה
hullabaloo	טררם
takeaway	קח ולך
נכנס	נכנס יין יצא סוד
nursery	משתלה
camel	גמלת
abomination	תועבה
cootie catcher	קווה-קווה
Hebraization	עברות
thinking	ח־ש־ב
שְׁבָט	ט״ו בשבט
babies	טף
by the way	אגב
strike	חבט
highlands	רמה
disgusting	מתועב
abhor	תיעב
Lauber	לאובר
zest	חשק
kicker	בעטן
kingly	מלכותי
devote	הקדיש
racist	גיזען
Roman	הורדוס
Purim	עדלידע
archive	ארכיון
jazz	ג׳ז
audience	קהל
friendly	חביב
osprey	שלך
informed	יודע
gift	דורון
virtue	סגולה
rye	שיפון
Mishnaic	קלמרין
lack	העדר
גַּן	גן ילדים
litmus paper	נייר לקמוס
humanities	מדעי הרוח
Philistine	פלשתים
Philistine	פלשתי
paralyse	שיתק
paralyse	שותק
ear	שיבולת
grabbing	תפיסה
holiday	נופש
which	איזו
sultan	סולטן
laugh	הצחיק
threatening	איום
smash	ניפץ
funds	ממון
depth	עומק
survivor	אוד מוצל מאש
burn	אוד
suck	מצץ
bug	באג
foodstuff	בג
navigator	נתב
Shimei	שמעי
chipset	שבבים
chips	צ׳יפס
glance	סקר
shower	התרחץ
Rosenblum	רוזנבלום
argue	להתווכח
seaman	ימאי
factory	בית חרושת
click	קליק
consent	הסכמה
café	בית קפה
unease	אי נוחות
ponytail	זנב סוס
March	מארס
ponytail	קוקו
marrow	לשד
powerlessness	חוסר אונים
bias	משוא פנים
guest room	צימר
squeeze	סחט
tear	דמעה
promptly	מיד
feast	סעודה
malaria	קדחת
mercy	רחמנות
strait	מיצר
mitzvah	מצוות הקהל
Darius	דריווש
peel	קליפה
peel	קלף
tribal	שבטי
Yemenite	תימני
cut	חרץ
יָשָׁן	ישן נושן
welder	רתך
weld	רותך
tire	התיש
stand-up	סטנדאפיסט
stand-up comedy	סטנדאפ
continuous	תמידי
chat	צ׳אט
crowd	מגידו
גּוּשׁ	גוש דן
גּוּשׁ	גוש עציון
גּוּשׁ	גוש קטיף
Samaria	שומרון
יָּם	הים התיכון
middle	תיכון
birth	לדה
לֵב	תשומת לב
shmirat halashon	שמירת הלשון
מַתַּן	מתן תורה
בָּצֵק	בצק פריך
musical	מחזמר
sight	מחזה
hiding place	מיסתור
hiding place	מחבוא
hide and seek	מחבואים
prohibition	איסור
wheat	חיטה
Moses	רמב״ן
amenable	ידידותי
modular	פרקני
be that as it may	אף על פי כן
pure	צח
פָּטוּר	פטור אבל אסור
dry	צחיח
far be it	חלילה
בֶּן	בן ישראל
maaser sheni	מעשר שני
tithe	מעשר
maaser rishon	מעשר ראשון
captured	נשבה
ocean	אוקיינוס
תינוק	תינוק שנשבה
knead	לש
בְּרָכָה	ברכה ראשונה
בְּרָכָה	ברכה אחרונה
מוּבָן	מובן מאליו
beginning	ראשונה
raft	רפסודה
likewise	וכן
terrorist	פיגוע
vulnerable	פגיע
qassam	קסאם
פיקוח	פיקוח נפש
buttermilk	חובצה
read	הקריא
legible	קריא
בְּסֵדֶר	בסדר גמור
topological space	סכמה
modest	צנוע
tefillin	משיכיר
diamond	יהלום
be	תם
identical	זהה
recognize	זיהה
ספר	ספר בישול
Horowitz	הורוביץ
fed up	מאס
exile	גלות
Krauthammer	קראוטהאמר
Pashto	פשטו
Aramean	ארמי
סרט	סרט תיעודי
אֵם	אם קריאה
lie	כיזב
rod	חוטר
kingdom	ממלכה
king	המליך
consult	נמלך
father-in-law	חותן
marit ayin	מראית עין
Goliath	גולית
pine tree	אורן
miss	גברתי
bring	בישר
bringer	מבשר
shame	בושה
earn	הרוויח
deduction	קיזוז
clerk	פקיד
יַהֲדוּת	יהדות חרדית
explore	תר
Siberia	סיביר
mermaid	בת ים
birth	הולדת
disgusting	מגעיל
bless	בירך
עַד	עד כאן
Meir	מאיר
עִיר	העיר העתיקה
בּוֹר	בור מים
etymology	גיזרון
forgotten	נשכח
עַל	על ראש הגנב בוער הכובע
satnav	נווטן
מִקְדָּשׁ	מקדש מעט
exempt	פטור
eiruv	עירוב
gazelle	צבי
divorce	התגרש
expel	גורש
expel	גירש
divorce	גירושין
קיים	קיים יחסי מין
Cypriot	קפריסאי
Yossi	יוסי
parashah	פרשה
tune	מנגינה
school	בצפר
מכניקת	מכניקת הקוונטים
quantum	קוונט
mechanics	מכניקה
heart	לבב
מֶכָנִיקַת	מכניקת הרצף
fracture mechanics	מכניקת השבר
classical mechanics	מכניקה קלאסית
מֶכָנִיקַת	מכניקת המוצק
מֶכָנִיקַת	מכניקת הזורמים
fluid	זורם
old	אלטע זאכן
same	אותה
calculate	חושב
member	נח״ל
revolution	סל״ד
page	עמ׳
Chabadnik	חבדניק
Chabadnik	חב״דניק
cantor	חזן
emissary	שליח
escape	ברח
finish	גמר
glide	דאה
red	אודם
statute	חוקה
pride	גאווה
Arab	ערביה
mammal	יונק
שׁוֹמֵר	שומר שבת
פְּלַג	פלג המנחה
inside	בפנים
curl	תילתל
eagle owl	אוח
owl	ינשוף
suit	חליפה
error	שגיאה
shocking	מזעזע
פֶּשַׁע	פשע מלחמה
untie	התיר
spell	קסם
nation	לאום
Bashkir	בשקירי
Leptoconopinae	ברחש
shepherd	רועי
principality	נסיכות
Gottfried	גוטפריד
eulogize	ספד
dwell	שכן
tzitzit	ציצית
חול	חול המועד
greenish	ירקרק
reddish	אדמדם
yellowish	צהבהב
orangish	כתמתם
blackish	שחרחר
whitish	לבנבן
grayish	אפרפר
dark	שחום
brownish	שחמחם
pinkish	ורדרד
kaddish	קדיש
shabbat	שבתון
German	באך
proof	ראיה
change	שינוי
לְמַעַן	למען השם
בֵּין	בין הפטיש והסדן
Maltese	מלטזי
archipelago	ארכיפלג
blister	שלפוחית
request	הפציר
Levantine	לבנטיני
Levant	לבנט
testicles	מאושכן
according to	על פי
well	ובכן
crack	זדה
trunk	גזע
strict	מחמיר
female	נמרה
delta	דלתא
Ketuvim	כתובים
cover	כיסה
remark	התבטאות
fawn	עופר
chubby	שמנמן
for the moment	לעת עתה
week	שבועיים
calculate	חישב
jar	צנצנת
movement	תזוזה
giraffe	ג׳ירפה
giraffe	ג׳ירף
gesture	מחווה
declaration	הצהרה
announcement	הכרזה
symbolize	סימל
shock	ז־ע־ז־ע
ecology	אקולוגיה
מִשְׂחַק	משחק מחשב
מִשְׂחַק	משחק וידאו
מִשְׂחֲקֵי	משחקי מחשב
מִשְׂחֲקֵי	משחקי וידאו
citizen	התאזרח
carob	חרוב
Mendi	מנדי
Moab	מואב
slowly	אט
swear	נשבע
oath	שבועה
blister	אבעבועה
אֲבַעְבּוּעוֹת	אבעבועות רוח
gold	פז
tiny	קט
end	קץ
yield	תשואה
millstone	ריחיים
tsunami	צונמי
builder	בנאי
adopt	אימץ
bank	גדה
bank	גדות
cathedral	קתדרלה
Rahab	רהב
Uranus	אורון
Uranus	אורנוס
Neptune	נפטון
Saturn	שבתאי
Pluto	פלוטו
immediately	מייד
strategy	אסטרטגיה
cerebral palsy	שיתוק מוחי
מָגֵן	מגן ביצים
מָגֵן	מגן אשכים
drift	שט
move	נע
politician	פוליטיקאי
political	פוליטי
fart	הפליץ
freeze	קפא
jealous	קינא
prophesy	ניבא
create	נברא
heal	ריפא
jealous	התקנא
express	התבטא
familiar	התמצא
prophesy	התנבא
recover	התרפא
freeze	הקפיא
dare	העז
change	הסב
cool	הקר
prepare	הכין
prepare	הוכן
prepare	התכונן
compete	התמודד
bend over	התכופף
deny	הכחיש
separate	נפרד
separate	הפריד
branch out	התפרד
rouse	עורר
demolish	מוטט
encourage	עודד
dance	חולל
apply	חל
enforce	החיל
wander	שוטט
recruit	מתגייס
enlist	התגייס
encouraging	מעודד
recruit	גייס
recruited	גויס
enlistment	גיוס
border	גבל
present	התוודע
inform	יידע
תווית	תווית יידוע
definiteness	יידוע
label	תווית
sanctify	קידש
sanctified	קודש
sanctification	קידוש
sanctified	התקדש
arrival	הגעה
adoption	אימוץ
courage	אומץ
adopted	מאומץ
effort	מאמץ
laughter	צחוק
chuckle	הצטחק
description	תיאור
describe	תיאר
described	תואר
preserve	שימר
preservation	שימור
loss	איבוד
guide	הדריך
guidance	הדרכה
guide	מדריך
entrance	כניסה
Indian Ocean	האוקיינוס ההודי
Pacific Ocean	האוקיינוס השקט
Atlantic Ocean	האוקיינוס האטלנטי
Arctic Ocean	אוקיינוס הקרח הצפוני
Southern Ocean	האוקיינוס הדרומי
synchronize	סינכרן
synchronize	סונכרן
revolt	התקומם
establishing	הקמה
existence	קיום
shaken	זועזע
shake	הזדעזע
shake	זעזע
shocked	מזועזע
shock	זעזוע
shock	הזדעזעות
worry wart	דאגן
limitation	הגבלה
limitation	הגבל
restraint	מגבלה
restrictive	מגביל
hero	גיבור
overcome	התגבר
strengthen	הגביר
at first	תחילה
lighting	הדלקה
flammable	דליק
infect	זיהם
infected	זוהם
infected	מזוהם
fluent	רהוט
furnish	ריהט
furnished	רוהט
furniture	ריהוט
refund	החזר
smuggle	הגניב
oil	שימן
oiling	שימון
fast	צם
sesame	שומשום
expressed	בוטא
filled	מולא
Frankel	פרנקל
kasher	הכשיר
hechsher	הכשר
kashrut	כשרות
kashered	הוכשר
talented	מוכשר
aptitude	כישרון
sweep	טיאטא
fullness	מ־ל־א
Balkan	בלקני
outline	מתאר
Albanian	אלבני
painful	מכאיב
hurt	כאוב
react	הגיב
container	מכיל
reaction	הגבה
remove	הסיר
turn	סר
removal	הסרה
comment	תגובית
climb	טיפס
respect	כיבד
licked	לוקק
bleached	לובן
לְשׁוֹן	בלשון סגי נהור
annoy	קינטר
annoy	קונטר
firstborn	בכור
give birth	ביכר
ruler	שליט
impose	השליט
imposed	הושלט
imposition	השלטה
ruled	נשלט
take over	השתלט
takeover	השתלטות
sex	זיון
founding	ייסוד
select	נבחר
khamsin	חמסין
upholster	ריפד
upholster	רופד
flow	שפע
demand	תבע
smear	מרח
wheel	ג־ל־ג־ל
bristle	זיף
bearded	מזוקן
haircut	תספורת
barbershop	מספרה
hairstyle	תסרוקת
set	מערכת
מַעֲרֶכֶת	מערכת מידע
מערכת	מערכת מבודדת
מַעֲרֶכֶת	מערכת פתוחה
מַעֲרֶכֶת	מערכת סגורה
close	הסתגר
genre	סוגה
classify	סיווג
classified	סווג
אסלאם	אסלאם שיעי
אסלאם	אסלאם סוני
Shia	שיעי
Sunni	סוני
Reform Judaism	יהדות רפורמית
יַהֲדוּת	יהדות קונסרבטיבית
conservative	קונסרבטיבי
transport	הסיע
surround	הקיף
zealot	קנאי
comprehensive	מקיף
bald	קירח
icy	קרחי
surrounded	הוקף
recognized	הוכר
transported	הוסע
surrounded	מוקף
his	־יו
director	במאי
transportation	הסעה
תחבורה	תחבורה ציבורית
particle	מלית
yearning	געגוע
stance	עמדה
duckling	ברווזון
gosling	אווזון
washed	נשטף
continuous	שוטף
rinsed	שטוף
amuse	בידח
joker	בדחן
joke around	התבדח
wear out	בלה
breed	זן
domesticate	ביית
in love	מאוהב
chord	תצליל
scale	סולם
become	התבלה
domesticate	בוית
invasion	פלישה
bequeath	הוריש
heir	יורש
led	הובל
proven	הוכח
proof	הוכחה
added	הוסף
lowered	הורד
put back	הושב
lament	ביכה
identification	זיהוי
discovered	גולה
extinguish	כיבה
extinguished	כובה
expect	ציפה
placate	ריצה
tried	נוסה
crime	עבירה
sovereign	ריבוני
ruler	ריבון
sock	גרביים
initiative	יזמה
suicidal	אובדני
כְּפִי	כפי הנראה
Christian	נוצרי
campus	קריה
אַט	אט אט
upgrade	שידרוג
downgrade	שינמוך
Korea	קוריאה
Martian	מאדימי
Iranian	איראני
Tehrani	טהראני
Shiraz	שיראז
Lithuanian	ליטאי
Lithuanian	ליטאית
vowelized	מנוקד
baking soda	סודה לשתייה
insinuate	הבליע
merge	מיזג
merge	מוזג
having	משופע
influence	השפיע
יְהוּדָה	יהודה ושומרון
pet	ליטף
color killer	מחיקון
Sanders	סנדרס
priest	כהונה
cohen	כוהנת
marzipan	מרציפן
dirty	מלוכלך
built	נבנה
declare	הצהיר
command	פיקד
headquarters	מפקדה
before	קודם
Bennett	בנט
blocked	סתום
force	אנס
make a mistake	טעה
sell	מכר
glance	מבט
suitable	הולם
שם	שם פעולה
mountain	הררים
reversible	הפיך
יָרַד	ירד גשם
climate control	בקרת אקלים
cookie	קוקית
networking	רישות
net	רישת
netted	מרושת
תואר	תואר הפועל
rejuvenation	תחייה
resurrection	תחיית המתים
organisation	אורגניזציה
total loss	טוטל לוס
fisherman	דייג
רֶשֶׁת	מצלמת רשת
Tenenbaum	טננבום
in retrospect	בדיעבד
make up	בדה
fiction	בדיון
חינוך	חינוך גופני
physical education	חנ״ג
thin	רזה
torch	לפיד
unite	איחד
designate	ייחד
dig	חפר
number	ט״ו
God	צבאות
infinite	אינסופי
bland	תפל
woodcutter	כורת
cut down	כרת
feeling	הרגשה
crown	הוכתר
trail	שובל
filthy	היטנף
filthy	טינף
filthy	טונף
moderate	מיתן
grieve	דאב
formal	פורמלי
אֲנִי	אנ׳לא
preparation	כסת״ח
empathy	אמפתיה
young	כפיר
גז	גזל
strengthen	הוגבר
flee	הבריח
bolt	בריח
smuggle	הוגנב
ripen	הבשיל
smuggle	הוברח
empty	ריק
ill-tempered	הצטברח
damage	קילקל
confuse	בילבל
safety	נצרה
move	טילטל
move	טולטל
blast	תקיעה
shout	תרועה
shevarim	שברים
עָשָׂה	עשה חיל
אִישׁ	איש דברים
חַד	חד עין
קְשֵׁה	קשה עורף
שָׁזַף	שזף עין
equip	איבזר
diagnose	אובחן
secure	איבטח
abandon	זנח
abandonment	זניחה
suburb	פרבר
lira	לירה
hoard	נאגר
eat	נאכל
תֵּה	תה מנחה
from	מאין
אֶת	לבור את הבר מן התבן
mourn	התאבל
rely on	אבטח
rise up	התאבך
accessorize	אובזר
secure	אובטח
grab	נאחז
love	נאהב
like	נאהד
force	נאכף
Avner	אבנר
rat	חולדה
collapse	הקריס
מִי	מי שנכוה ברותחין נזהר בצוננין
כָל	לכל שבת יש מוצאי שבת
שַׁבָּת	מוצאי שבת
coffee	קהוה
בָּא	בא ל־
biceps	קיבורת
כּוּשִׁי	היהפוך כושי עורו
fed up	נמאס
wrapping	עטיפה
wrap	עטף
sting	עקץ
rejoice	עלז
covering	כיסוי
bless	בורך
Amram	עמרם
מַד	מדחום
אַמְנוֹן	אמנון ותמר
tilapia	אמנון
בַּת	בת שבע
מִשְׁכַּב	משכב זכר
נָפַל	נפל למשכב
iff	אםם
בָּא	בא בימים
crushing	גריסה
terrible	לא ברא השטן
cursed	ארור
judge	דיין
טוֹב	טוב ציפור אחת ביד משתיים על העץ
כִּי	כי בתחבלות תעשה לך מלחמה
helplessness	אזלת יד
root	ש־ר־ש
rooted	שורשי
rootedness	שורשיות
Gypsy	צועני
dean	דיקן
being	ישות
heavens	שחקים
occupation	משלח יד
merging	מיזוג
derivative	נגזרת
perform	הציג
מלאך	מלאך המוות
עֵץ	עץ או פלי
evaporate	התאדה
reference	איזכר
reference	אוזכר
speed up	האיץ
acceleration	א־ו־ץ
classification	מיון
superfamily	על־משפחה
דִּבְרֵי	דברי ימים
raise	נישא
choir	מקהלה
oxytone	מלרע
חיים	חיים פרטיים
blow up	פוצץ
spell	אוית
specific	מסוים
suborder	תת־סדרה
conjecture	סברה
אֵשֶׁת	אשת איש
Tobit	טוביה
is	מיהו
Syrian	סורי
immigrant	מהגר
take	נלקח
darken	הוחשך
Elul	אלול
swastika	צלב קרס
desolation	תוהו
asymptote	אסימפטוטה
what	מהו
antenna	אנטנה
Abkhaz	אבחזית
zinc	אבץ
stamen	אבקן
wet nurse	מינקת
quantifier	כמת
no	לית ברירה
grandstand	טריבונה
feast	משתה
hinge	ציר
restoration	שחזור
rewrite	שכתב
hell of a	חתיכת
licentious	הולל
stew	נזיד
עִיר	העיר הלבנה
drugged	מסטול
silvery	כספי
sick leave	גימל
aleph	אל״ף
tame	אילף
gimel	גימ״ל
hei	ה״א
zayin	זי״ן
khet	חי״ת
tet	טי״ת
yod	יו״ד
kaf	כ״ף
strudel	שטרודל
haroseth	חרוסת
שֶׁל	קוצו של יוד
lamed	למ״ד
mem	מ״ם
nun	נו״ן
qoph	קו״ף
רָחוֹק	רחוק מהעין, רחוק מהלב
equal	שקול
screw	הבריג
need	צורך
immerse	טבל
attached	מצ״ב
friendship	חברות
alternative	כינוי
fool	לץ
חֲבֵר	חבר כנסת
gamma	גמא
anger	הכעיס
nag	נודניק
accent	מבטא
דָּוִד	דוד המלך
samekh	סמ״ך
ayin	עי״ן
adultery	ניאוף
עַד	עד עצם היום הזה
Korah	קורח
כְּלִי	כלי נשק
קוֹל	בקול רם
definition	הגדרה
קרש	קרש חיתוך
דִּבְרֵי	דברי ימי
evaluate	אמד
periodic	מחזורי
outset	מלכתחילה
lenience	מתירנות
lioness	לביאה
שֶׁבַע	שבע ברכות
male	עגל
ham	שינקן
ham	שינקה
volleyball	כדורעף
slaughterer	שוחט
aspirin	אספירין
transformer	שנאי
אֵינוֹ	אינו יודע צורת א׳
prince	בן־מלך
body	מרכב
lot	גורל
Israeli	מפא״י
Shemaiah	שמעיה
anemone	כלנית
destruction	חורבן
apartment	דירה
clear	צלול
captive	שבוי
alone	בדד
twilight	ערביים
עֲבוֹדָה	עבודה זרה
thanks to	בזכות
flow	קלח
honesty	תמימות
honest	תמים
honesty	יושר
unhappy	עצוב
applause	תשואות
applause	כפיים
essence	עיקר
fin	סנפיר
melamed	מלמד
cause	השמיע
praise	תהילה
beauty	תפארת
destruction	הפכה
have mercy	חמל
shake	התנער
ashamed	נכלם
bend over	השתוחח
Yaziz	יזיז
plundering	משיסה
destroy	בילע
exultation	משוש
admire	העריץ
joy	צהלה
explicit	מפורש
כּוֹכַב	כוכב ים
sea cucumber	מלפפון ים
wonder	שאל את עצמו
chickpea	חימצה
left	שמאלי
pledge	עבוט
salvation	גאולה
diabetes	סוכרת
coercion	אונס
size	גודל
darkness	חושך
claw	טופר
madness	שיגעון
appetite	תיאבון
Naomi	נעמי
Hermon	חרמון
learn	למדה
announcement	מקרא
communication	תקשורת
lonely	בודד
short	קצרצר
tiny	קטנטן
quit	התפטר
governor	𐤔𐤓
pentamerous	מחומש
amethyst	אחלמה
myrrh	מור
Easter	פסחא
burek	בורקס
shooting	ירי
inside	תוך
indirectly	בעקיפין
I love you	אני אוהב אותך
I love you	אני אוהבת אותך
melt	נמס
ammunition	תחמושת
high	רם
molded	יצוק
read	נקרא
אַל	אל תסתכל בקנקן אלא במה שיש בו
shot	צ׳ייסר
G-d	אלוקים
panic	בהלה
social	קומזיץ
Yiddish	ווסווסים
כְּלִי	כלי זין
brightness	זיו
expansive	רחב ידיים
pain	מכאוב
education	השכלה
damage	חבלה
bud	ציץ
בַּעַל	בעל זנב
belonging	שייך
enslaved	משועבד
כמו	כמו ג׳וקים מסוממים
יש	יש ל־ ג׳וק בראש
Middle Ages	ימי הביניים
slaughter	שחיטה
gather	התאסף
creditor	נושה
meeting	אסיפה
preference	עדיפות
preference	עדיפויות
fool	שוטה
jump	פיסח
enough	חלס
בְּרִית	הברית החדשה
קַל	קל דעת
loom	נול
wiring	חיווט
count	מנה
Togarmah	תוגרמה
מֹחַ	מח עצם
narrow-minded	צר אופק
jealous	צר עין
Poland	פולניה
balance	התאזן
explain	ביאר
Akkadian	אכדית
Akkadian	אכדי
towel	מגבת
embarrassing	פדיחה
stake	יתד
כְּתַב	כתב יתדות
palace	היכל
knife	מאכלת
ריגול	ריגול תעשייתי
signal	אותת
embarrassment	מבוכה
defeat	תבוסה
seclude	התבודד
recuperate	התאושש
noisy	רעשני
make an effort	התאמץ
Torah	קולמוס
inkstand	קסת
loyal	ותיק
archiving	גניזה
treasure	גנזים
סוּג	סוג של
certainly	ודאי
written	כתוב
attentiveness	קשב
saturation	רוויה
power set	קבוצת חוזקה
Tishrei	תשרי
Sigd	סיגד
Cheshvan	חשוון
Kislev	כסלו
Tevet	טבת
Iyar	אייר
Sivan	סיוון
ember	רמץ
inter	נקבר
throw	השליך
tonight	הלילה
assimilation	הטמעה
intonation	הטעמה
tie	קשר
exempt	פטר
let slip	הפטיר
Haftarah	הפטרה
maftir	מפטיר
גַּן	גן עדן
tune	פזמון
thumbtack	נעץ
piece	פת
ship	אונייה
monomial	חד איבר
monotonous	חד גוני
ISIS	דאע״ש
face	פנה
oldness	ק־ד־ם
early	מוקדם
Ten Commandments	עשרת הדיברות
זֹאת	בזאת
announce	הכריז
walnut	אגוז
evil	רשעות
breast	דד
conceive	הרה
pregnancy	היריון
better	עדיף
prefer	העדיף
contradiction	סתירה
hideaway	סתר
isolationism	בדלנות
הִפְנָה	הפנה לו את הגב
turn	הפנה
Brexit	ברקזיט
בְּעוֹד	בעוד מועד
matchmaking	שידוך
asterisk	כוכבית
Nimrod	נמרוד
birthright	בכורה
detail	פרט
mage	מג
technology	טכנולוגיה
formalization	הצרנה
pyrotechnics	פירוטכניקה
whole	מכלול
length	אורך
rotten	רקוב
splendor	הדר
defense	הגנה
formula	נוסחה
tilapia	מושט
lithium	אבנן
pilot	טייס
article	מאמר
flight	טיס
drone	מל״ט
drone	כטב״ם
drone	כטמ״ם
when	אימתי
quote	ציטוט
כֹּה	כה וכה
poverty	עוני
Shinar	שנער
lithography	ליתוגרפיה
hide	טמן
set	ערוך
ל	ל״ג בעומר
move	הזיז
moving	הזזה
defect	מום
day care center	מעון
wanderings	נדודים
priest	כומר
Chinese	סינים
tzadekes	צדקת
penance	כפרה
Seven Species	שבעת המינים
native	יליד
pose	פוזה
Mandaeans	מנדעית
קְרַב	קרב רב
relation	יחס
Zarathustra	זרתוסטרא
modesty	צניעות
local derby	דרבי
Trifolieae	תלתן
above	בוידם
corruption	שחיתות
failure	כישלון
disadvantage	חיסרון
redemption	פדיון
handsome	נאה
ceiling	תקרה
jaw	לסת
small	זוטר
insist	התעקש
gorgeous	יפהפה
small talk	סמול טוק
jeans	ג׳ינס
Venus	ונוס
amazing	מטמטם
Joab	יואב
alley	סמטה
blush	סומק
אֶבֶן	אבן יקרה
superior	נעלה
curiosity	קוריוז
cosmetic	תמרוק
standard	תקן
tracking	הסללה
quadrilateral	מרובע
affinity	זיקה
outside	בחוץ
white	צחור
lingual	לשוני
update	עדכון
reserve	מאגר
division	פילוג
clear	ה־ל־ל
