floor	cat
appreciation	aprețuire
assibilation	asibilare
self-accusation	autoacuzare
categorization	categorisire
caustification	caustificare
classification	clasare
complexification	complexificare
cohabitation	conlocuire
cooperation	conlucrare
containerization	containerizare
crenellation	crenelare
cretinization	cretinizare
Christianization	creștinare
cleaning	curățare
decapsulation	decapsulare
dechlorination	declorizare
decolonization	decolonizare
decompensation	decompensare
deconsolidation	deconsolidare
relaxation	decontractare
defeminization	defeminizare
defibration	defibrare
finalization	definitivare
defamation	defăimare
thwarting	dejucare
resignation	demisionare
demultiplication	demultiplicare
denunciation	denunțare
depalatalization	depalatalizare
disinfestation	deparazitare
depoliticization	depolitizare
point	depunctare
compensation	desdăunare
fornication	desfrânare
dehydrogenation	deshidrogenare
dissociation	desolidarizare
expropriation	desproprietărire
destabilization	destabilizare
relaxation	destindere
desulphurisation	desulfurare
relaxation	detensionare
detonation	detunare
devitalization	devitalizare
deglomeration	dezaglomerare
degeneration	dezangrenare
disassimilation	dezasimilare
degradation	dezgrădire
decriminalization	dezincriminare
deindividualization	dezindividualizare
disinfestation	dezinfestare
disinformation	dezinformare
disinsectization	dezinsectizare
denationalization	deznaționalizare
habituation	dezobișnuire
disorientation	dezorientare
deoxidation	dezoxidare
emancipation	dezrobire
dehumanization	dezumanizare
deflation	dezumflare
exoneration	dezvinovățire
exonerate	dezvinuire
defloration	dezvirginare
differentiation	diferențiere
depreciation	disprețuire
skimping	drămăluire
perpetuation	dăinuire
equivalation	echivalare
equation	egalare
extravasation	extravazare
fetishization	fetișizare
starvation	flămânzire
formaldehyde	formolizare
stamping	francare
phrasing	frazare
embrocation	fricționare
anchorage	fundarisire
insolubilization	insolubilizare
sacrifice	jertfire
clarification	limpezire
uproar	lărmuire
lethargy	moleșire
search	motroșire
quacking	măcăire
suffocation	năbușire
sweating	nădușire
odorization	odorizare
opacification	opacizare
stop	opăcire
condemnation	osândire
ovalization	ovalizare
ovation	ovaționare
plasticization	plasticizare
hesitation	pregetare
taking shelter	pripășire
tentative	probăluire
glorification	proslăvire
celebration	prăznuire
punctuation	puncționare
application	punere
reassociation	reasociere
recommendation	recomentare
hemstitch	refecare
reinterrogation	reinterogare
accentuation	reliefare
remilitarization	remilitarizare
repagination	repaginare
restoration	restatornicire
retranslation	retraducere
resinification	rezinificare
reclassification	reîncadrare
revivification	reînsuflețire
reunification	reîntregire
Romanization	românizare
rotation	rotacizare
interpretation	răstălmăcire
penetration	răzbatere
sanitation	salubrizare
schematization	schematizare
mutilation	schilodire
fabrication	scornire
dislocation	scrântire
signalization	semnalizare
sentimentalization	sentimentalizare
notification	sesizare
consecration	sfințire
Slavization	slavizare
emaciation	sleire
glorification	slăvire
calculation	socotire
spatialization	spațializare
indentation	spațiere
specialization	specializare
spiritualization	spiritualizare
standardization	standardizare
fixation	statornicire
sterilization	sterilizare
stylization	stilizare
subordination	subordonare
substantivization	substantivizare
subtilization	subtilizare
delimitation	subîntindere
thinning	subțiere
suffocation	sufocare
sulfurization	sulfurizare
overestimation	supraestimare
overvaluation	supraevaluare
overpopulation	suprapopulare
plantation	sădire
wilding	sălbăticire
celebration	sărbătorire
technicalization	tehnicizare
terrorization	terorizare
trepidation	trepădare
truncation	troncănire
incensing	tămâiere
procrastination	tărăgănare
capitalization	valorificare
typesetting	zețuire
indentation	zimțuire
frustration	zădărnicire
variegation	împestrițare
owner	împroprietărire
cobwebby	împăienjenire
slowing	încetinire
forming	încolonare
decoration	încondeiere
exhortation	îndemnare
indoctrination	îndocare
demonization	îndrăcire
incorporation	înglobare
siltation	înnămolire
temptation	înspițare
relocation	întrolocare
exhilaration	înveselire
bitterness	amărâre
willingness	consimțire
awareness	conștientizare
heaviness	copleșire
incompleteness	descompletare
snow removal	deszăpezire
unlocking	deszăvorâre
distort	detorsionare
dethronement	detronare
embezzlement	deturnare
robbing	devalizare
development	developare
defuse	dezamorsare
detachment	dezanexare
disengagement	dezangajare
disapproval	dezaprobare
disassembly	dezasamblare
misalignment	dezaxare
debate	dezbatere
disinterestedness	dezinteresare
flooring	etajare
raking	greblare
graying	grizare
gurgling	gâgâire
quarrel	gâlcevire
babbling	gângurire
stammer	gângăvire
harness	harnașare
glimmer	lucire
madness	nebunire
dizziness	năucire
illness	îmbolnăvire
stillness	încremenire
bitterness	încrâncenare
tenderness	înduioșare
madness	înnebunire
redness	înroșire
loneliness	însingurare
completeness	întregire
fresh	înviorare
absorption	absorbire
abstraction	abstractizare
steaming	aburire
sheltering	aciuare
covering	acoperire
coupling	acuplare
bringing	aducere
deepening	adâncire
watering	adăpare
adding	adăugare
whitening	albire
blueing	albăstrire
running	alergare
grafting	altoire
chasing	alungare
pawning	amanetare
jamming	ambuteiere
stiffening	anchilozare
announcing	anunțare
arranging	aranjare
arching	arcuire
tanning	argăsire
coppering	arămire
showing	arătare
likening	asemuire
plugging	astupare
sweating	asudare
assigning	atribuire
gilding	aurire
bedding	așternere
concreting	betonare
whipping	biciuire
blessing	blagoslovire
blaming	blamare
boycotting	boicotare
stammering	bolborosire
mumbling	bombănire
chirping	ciripire
ruffling	ciufulire
boiling	clocotire
coking	cocsificare
breaking	concasare
conditioning	condiționare
metering	contorizare
cracking	cracare
clinging	cramponare
lending	creditare
crocheting	croșetare
sparing	cruțare
nesting	cuibărire
sliding	culisare
coupling	cuplare
daring	cutezare
patching	cârpire
unhooking	decroșare
cutting	decupare
clearing	defrișare
degassing	degazare
degassing	degazificare
mine clearing	deminare
dewaxing	deparafinare
peeling	descojire
unsealing	desigilare
understanding	deslușire
unpacking	despachetare
stripping	despuiere
unfolding	despăturire
uncorking	destupare
undressing	dezbrăcare
undressing	dezechipare
desanding	deznisipare
untying	deznodare
deodorizing	dezodorizare
deboning	dezosare
uprooting	dezrădăcinare
untwisting	dezrăsucire
deboning	deșosare
targeting	direcționare
arrangement	dispunere
draping	drapare
collapse	dărâmare
screening	ecranizare
favoring	favorizare
emptying	golire
smoldering	mocnire
paraphrasing	parafrazare
skydive	parașutare
flooring	pardosire
cutting	butășire
biting	pișcare
placing	plasare
pleading	pledare
filling	plombare
plowing	plugărire
plumbing	plumbuire
planning	plănuire
pressing	presare
exchanging	preschimbare
sprinkling	presărare
dusting	prăfuire
plowing	prăsire
scorching	pârlire
shepherding	păstorire
suffering	pățire
radio beaconing	radiobalizare
radio broadcasting	radioficare
reasoning	raționare
recoloring	recolorare
repartitioning	recompartimentare
reconditioning	recondiționare
recopying	recopiere
reopening	redeschidere
rebalancing	reechilibrare
forwarding	reexpediere
referring	referire
directing	regizare
regrouping	regrupare
rethinking	regândire
restocking	repopulare
retelling	repovestire
reshaping	reprofilare
rewriting	rescriere
reliving	retrăire
revolutionizing	revoluționare
repainting	revopsire
subletting	reînchiriere
reheating	reîncălzire
recharging	reșarjare
stiffening	rigidizare
gnawing	roadere
swarming	roire
gnawing	ronțăire
rolling	rostogolire
rounding	rotunjire
thinning	rărire
thinning	rărițare
scattering	răsfirare
browsing	răsfoire
seedling	răsădire
wandering	rătăcire
scraping	răzuire
sanding	sablare
safeguarding	salvgardare
torturing	schingiuire
gelding	scopire
diving	scufundare
carving	sculptare
signing	semnare
sowing	semănare
snoring	sforăire
sizzling	sfârâire
siphoning	sifonare
splitting	spintecare
discolorating	spălăcire
parking	staționare
structuring	structurare
crossing	străbatere
sneezing	strănutare
hiccupping	sughițare
ring	sunare
superfinishing	superfinisare
overcrowding	supraaglomerare
oversizing	supradimensionare
overheating	supraîncălzire
bleeding	sângerare
sizzling	sâsâire
digging	săpare
soaping	săpunire
salting	sărare
committing	săvârșire
stuffing	împăiere
stuffing	împănare
entrusting	încredințare
thickening	îndesire
swallowing	înfulecare
infuriated	înfuriat
nudging	înghiontire
embedded	înglobat
softened	înmuiat
knotted	înnodat
rooted	înrădăcinat
enthroned	înscăunat
frightened	înspăimântat
imprisoned	întemnițat
winged	întraripat
used	întrebuințat
half-opening	întredeschidere
enthroned	întronat
delayed	întârziat
dressed	înveșmântat
invigorated	înviforat
invigorated	învigorat
wrapped	învălurat
elevated	înălțat
saddled	înșeuat
notified	înștiințat
weaned	înțărcat
patterned	șablonizat
schooling	școlarizare
schooling	școlire
waxing	șeruire
wrinkling	șifonare
wrinkled	șifonat
shocked	șocat
paved	șoselat
stamped	ștampilat
stamped	ștanțat
screwing	șurubuire
hissing	șâșâire
abstention	abținere
walking by foot	apostolește
walking by foot	apostolicește
lease	arendare
assumption	asumare
embroidery	brodare
composition	compunere
conviction	condamnare
confection	confecționare
counterbalance	contrabalansare
guidance	călăuzire
clearance	degajare
disturbance	deranjare
debauchery	destrăbălare
imbalance	dezechilibrare
disinhibition	dezinhibare
disinheritance	dezmoștenire
depletion	deșertare
dilution	diluare
electrocautery	electrocauterizare
snowing	fulguire
feeding	furajare
garaging	garare
servitude	iobăgire
irradiance	iradiere
completion	isprăvire
robbery	jefuire
injury	lezare
reassurance	liniștire
delivery	livrare
flattery	măgulire
nuance	nuanțare
wedding	nuntire
moulting	năpârlire
longing	năzuire
sheltering	ocrotire
mockery	parodiere
capping	plafonare
planimetry	planimetrare
folding	pliere
molding	plămădire
repentance	pocăire
story	povestire
advising	povățuire
preponderance	precumpănire
predisposition	predispunere
presumption	prezumare
prevention	preîntâmpinare
persecution	prigonire
forecasting	prognozare
preaching	propovăduire
dupery	prostire
trickery	păcălire
slapping	pălmuire
radio guidance	radioghidare
reinsurance	reasigurare
reception	recepționare
reconquest	recucerire
weighting	recântărire
reshuffling	remaniere
reordering	reordonare
screwing	reînșurubare
cooling	răcire
injury	rănire
resonance	răsunare
grinding	scrâșnire
exemption	scutire
section	secționare
selection	selecționare
significance	semnificare
resolution	soluționare
foaming	spumegare
saying	spunere
stacking	stivuire
crushing	stâlcire
substitution	substituire
subsumption	subsumare
suffering	suferire
suggestion	sugerare
surveillance	supraveghere
crumbling	surpare
probing	tatonare
cutting	tranșare
slamming	trântire
bargaining	târguire
resistance	împotrivire
burdening	împovărare
folding	împăturire
embedding	încastrare
encryption	încifrare
pasting	încleiere
wrinkling	încrețire
frown	încruntare
nesting	încuibare
locking	încuiere
daring	încumetare
crowning	încununare
permission	încuviințare
guidance	îndrumare
burial	înhumare
fragrance	înmiresmare
mudding	înnoroire
kinship	înrudire
recovery	însănătoșire
making	întocmire
crossing	întretăiere
maintenance	întreținere
victory	învingere
endowment	înzestrare
trickery	șmecherire
theft	șparlire
whispering	șușotire
overweight cargo	agabaritic
cornflower	albăstriță
runner	alergător
spoilt	alintat
elongate	alungit
antitheft	antifurt
dissyllabic	bisilabic
howler	bocitor
journalistic	gazetăresc
clairvoyance	clarviziune
broody	clocitoare
slope	coborâș
verdigris	cocleală
dust	colbăraie
wandering	colindat
convict	condamnat
colleague	confrate
consent	consimțământ
chemisette	cămășuică
acquired	căpătat
food	demâncare
deputation	deputăție
cleaning	dereticat
barefoot	descălțat
unloaded	descărcat
drawn	desenat
density	desime
competence	destoinicie
disorder	dezordine
deflated	dezumflat
awake	deșteptat
fumbling	dibuială
sharecropper	dijmaș
conductor	dirijor
disagreement	distonanță
half	doime
shortcoming	neajuns
firmness	neclintire
unthinking	negândit
brutality	neomenie
greed	nesaț
changed	schimbat
gearstick	schimbător
shade	semiîntuneric
holiness	sfinție
synchronizer	sincronizator
sorted	sortat
suborder	subordin
pikeman	sulițaș
fanlight	supralumină
crack	surpătură
supporter	susținător
torpor	toropeală
fretwork	traforaj
threshing	treierat
mischief	trăsnaie
roller	tăvălug
haulier	vagonetar
dye house	vopsitorie
bustle	vălmășag
diphtheria	șopârlaiță
swish	șuierătură
folly	țicneală
rusticity	țărănie
butcher	casap
rich man	bogătaș
chivalry	cavalerime
parcener	comoștenitor
preteen boy	copilandru
swindle	coțcărie
botch	cârpeală
whelp	cățelandru
negligent	delăsător
pheasantry	fazanerie
diver	fundac
hypocrisy	fățărnicie
tenderness	gingășie
stupidity	gogomănie
wintering	iernat
beauty	mândrețe
trade	negustorie
convict	ocnaș
roundabout	ocoliș
hospitality	ospeție
soldier	oștean
popery	papistășie
infantry	pedestraș
speckle	picățea
drapery	postăvărie
hostility	potrivnicie
priority	precădere
priesthood	preoțime
regard	privință
infanticider	pruncucigaș
shopkeeper	prăvăliaș
swindle	pungășie
reserved	păstrat
pasturage	pășunat
rapid	repeziș
cut	retezat
cooler	răcitor
shaken	scuturat
haughtiness	semeție
tribe	seminție
signed	semnat
sowed	semănat
bribing	sfănțuială
broken	sfărâmat
wage	simbrie
clerk	slujbaș
ugliness	sluțenie
hanged	spânzurat
leadership	șefie
saddlery	șelărie
cunningness	șiretenie
grinder	șlefuitor
sharp stick	țepușă
den	ascunziș
counterespionage	contraspionaj
corrupter	corupător
recumbent	culcat
devotion	cuvioșie
brake	frânat
squeal	guițat
bark	lătrat
bark	lătrătură
cornflower	vinețea
vigor	vârtoșie
nice	gigea
charming	nurliu
stutterer	peltic
thin	pirpiriu
funny	mucalit
joke	mucalitlâc
surly	ursuz
chockfull	doldora
rosin	sacâz
across	curmeziș
sujuk	sugiuc
percentage	procentual
professional	profesionist
programmatic	programatic
bioacoustic	bioacustic
Hanseatic	hanseatic
humanistic	umanistic
Schuko	șuco
Swabian	șvab
detective	detectivistic
National Socialist	național-socialist
water pipe	acvatubular
bicarpic	bicarpelar
anti-revolutionary	antirevoluționar
balneary	balnear
budgetary	bugetar
cavitary	cavitar
concretionary	concreționar
culinary	culinar
customary	cutumiar
discretionary	discreționar
hereditary	ereditar
expeditionary	expediționar
extra-statutory	extrastatutar
factionary	facționar
fiduciary	fiduciar
phytosanitary	fitosanitar
genitourinary	genito-urinar
geostationary	geostaționar
hypophysial	hipofizar
intercapillary	intercapilar
interparliamentary	interparlamentar
involuntary	involuntar
mortuary	mortuar
nobiliary	nobiliar
reactionary	reacționar
sedentary	sedentar
septenary	septenar
sumptuary	somptuar
statutory	statutar
tegumentary	tegumentar
tertiary	terțiar
testamentary	testamentar
visionary	vizionar
alluvial	aluvionar
ambulacral	ambulacrar
communitarian	comunitar
divisional	divizionar
egalitarian	egalitar
extrajudicial	extrajudiciar
fractional	fracționar
real estate	imobiliar
postglacial	postglaciar
preglacial	preglaciar
princely	princiar
residual	reziduar
selenian	selenar
subdivisional	subdivizionar
additional	suplimentar
totalitarian	totalitar
Trinitarian	trinitar
humanitarian	umanitar
utilitarian	utilitar
authoritarian	autoritar
censitary	cenzitar
collinear	coliniar
extraparliamentary	extraparlamentar
interlinear	interliniar
interstellar	interstelar
lumbar	lombar
polyarticular	poliarticular
prestellar	prestelar
rectilinear	rectiliniar
semiauxiliary	semiauxiliar
tabular	tabelar
vesicular	vezicular
asexual	asexuat
bisexual	bisexuat
concentration camp	concentraționar
ridiculous	derizoriu
allogamous	alogam
allochthonous	alohton
anhydrous	anhidru
argentiferous	argentifer
argilliferous	argilifer
asynchronous	asincron
bulbiferous	bulbifer
cadmiferous	cadmifer
calciferous	calcifer
capsuliferous	capsulifer
chyliferous	chilifer
contiguous	contiguu
cutaneous	cutanat
diaphanous	diafan
diamondiferous	diamantifer
discontinuous	discontinuu
farinaceous	farinaceu
floriferous	florifer
foliaceous	foliaceu
frugivorous	frugivor
glabrous	glabru
hemophagous	hemofag
heterogamous	heterogam
hygrophilous	higrofil
homochronous	homocron
affectionate	afectuos
cheerful	alegru
asymptotic	asimptotic
bronchial	bronhic
whimsical	capricios
ceremoniously	ceremonios
faulty	defectuos
disgraceful	dizgrațios
dodecahedral	dodecaedric
electrothermal	electrotermic
fraudulent	fraudulos
fruitful	fructuos
geothermal	geotermic
heptahedral	heptaedric
hexahedral	hexaedric
unruly	indisciplinat
unsuccessful	infructuos
inconspicuous	inobservabil
interschool	interșcolar
unusual	inuzitat
isochronous	izocron
isohedral	izoedric
lustful	luxurios
minty	mentolat
metalliferous	metalifer
mesodermal	mezodermic
micaceous	micaceu
nectareous	nectarifer
notorious	notoriu
obsequious	obsecvent
octahedral	octaedric
oleiferous	oleifer
homophonous	omofon
ostentatious	ostentatoriu
thoughtful	pansiv
peripheral	periferic
petroliferous	petrolifer
piscivorous	piscivor
platiniferous	platinifer
polyhedral	poliedric
polyphagous	polifag
prognathous	prognat
pultaceous	pultaceu
pusillanimous	pusilanim
radicivorous	radicivor
radiferous	radifer
reproachful	reproșabil
respectful	respectuos
rhombohedral	romboedric
rupicolous	rupicol
saliferous	salifer
scoriaceous	scoriaceu
sebaceous	sebaceu
seleniferous	selenifer
seminiferous	seminifer
helpful	serviabil
synchronous	sincron
spiral	spiralat
staminiferous	staminifer
streptococcal	streptococic
stressful	stresant
terricolous	tericol
thermal	termic
tetrahedral	tetraedric
timid	timorat
ubiquitous	ubicvist
unisexual	unisexuat
unambiguous	univoc
uriniferous	urinifer
ambrosial	ambroziac
anticommunist	anticomunist
antiinflation	antiinflaționist
antimonarchist	antimonarhist
antiparallel	antiparalel
antiresonant	antirezonant
antitank	antitanc
antishock	antișoc
arboreal	arboricol
assiduous	asiduu
warmonger	belicist
belligerent	beligerant
voluntary	benevol
biconcave	biconcav
bilingual	bilingv
circumterrestrial	circumterestru
coccygeal	coccigian
choroidal	coroidian
cranial	cranian
detrimental	defavorabil
criminal	delictuos
delusional	deluzoriu
Dionysian	dionisiac
educational	educativ
esophageal	esofagian
extraretinal	extraretinian
extrinsical	extrinsec
pharyngeal	faringian
floricultural	floricol
fluvial	fluviatil
glossopharyngeal	glosofaringian
horticultural	horticol
unusual	insolit
intracranial	intracranian
intraspinal	intrarahidian
isogonal	izogon
laryngeal	laringian
memorial	memorativ
meningeal	meningian
metacarpal	metacarpian
monolingual	monolingv
malarial	paludean
paradisaical	paradiziac
paroxysmal	paroxistic
radiopaque	radioopac
spinal	rahidian
retinal	retinian
seasonal	sezonier
silvicultural	silvicol
tarsal	tarsian
tracheal	trahean
trilingual	trilingv
uniaxial	uniax
unilingual	unilingv
accrescent	acrescent
afferent	aferent
brilliant	briant
complaisant	complezent
concomitant	concomitent
convenient	convenabil
decurrent	decurent
deliquescent	delicvescent
dissonant	disonant
equidistant	echidistant
equipollent	echipolent
fair	echitabil
efferent	eferent
efflorescent	eflorescent
effluent	efluent
eloquent	elocvent
euphoriant	euforizant
reluctant	ezitant
flamboyant	flamboaiant
buoyant	flotabil
photoluminescent	fotoluminescent
grandiloquent	grandilocvent
immanent	imanent
incoherent	incoerent
inconvenient	inconvenabil
insolvent	insolvabil
irradiant	iradiant
irreverent	ireverențios
nonbelligerent	nebeligerant
fragrant	odorific
polyvalent	polivalent
preponderant	preponderent
prominent	proeminent
recurrent	recurent
resistant	rezistent
resolvent	rezolutiv
resonant	rezonant
semiadherent	semiaderent
significant	semnificativ
subsequent	subsecvent
thermoluminescent	termoluminescent
trenchant	tranșant
triumphant	triumfător
unguligrade	unguligrad
vesicant	vezicant
anticipatory	anticipativ
assertory	asertoric
bicephalous	bicefal
compensatory	compensativ
blameworthy	condamnabil
confirmatory	confirmativ
contemporary	contemporan
supporting	contentiv
contributory	contributiv
convoluted	convolut
coralligenous	coraligen
coronary	coronarian
quadripartite	cvadripartit
quadruple	cvadruplu
quintuple	cvintuplu
declaratory	declarativ
deflationary	deflaționist
deprecatory	depreciativ
outdated	desuet
disarming	dezarmant
messy	dezordonat
endoparasitic	endoparazit
ethnobotanical	etnobotanic
exclamatory	exclamativ
expeditious	expeditiv
exponential	exponențial
extrasensory	extrasenzorial
ghostly	fantomatic
phenotypical	fenotipic
fictitious	fictiv
photosensitive	fotosensibil
impassive	impasibil
filthy	imund
untimely	inactual
incomparable	incomparabil
indelible	indelebil
ineffective	ineficace
inflammatory	inflamator
rustproof	inoxidabil
unhealthy	insalubru
insensitive	insensibil
intentional	intențional
irrefutable	irefutabil
Yugoslav	iugoslav
daily	jurnalier
justificatory	justificativ
lachrymatory	lacrimogen
languorous	languros
complimentary	laudativ
Machiavellian	machiavelic
malicious	malițios
mechanical	mașinal
Mozartian	mozartian
obsessive	obsedant
obtuse	obtuz
offensive	ofensant
olfactory	olfactiv
Olympian	olimpian
honorary	onorific
operative	operatoriu
oppressive	oprimant
conspicuous	ostensibil
stingily	parcimonios
participatory	participativ
pearly	perlat
postoperative	postoperatoriu
pre-Columbian	precolumbian
preferable	preferabil
preoperative	preoperatoriu
prohibitive	prohibitoriu
psychologist	psihologist
pulsatile	pulsatil
rickety	rahitic
reactionary	reacțional
unfortunate	regretabil
remunerative	remuneratoriu
reparative	reparatoriu
reproductive	reproducător
respectively	respectiv
spongy	spongios
sporogenous	sporogen
juicy	suculent
auxiliary	supletiv
earthly	teluric
audacious	temerar
terrigenous	terigen
thermosensitive	termosensibil
traditionalist	tradiționalist
tripartite	tripartit
turquoise	turcoaz
unanimous	unanim
bulky	voluminos
affirmative	afirmativ
calcicole	calcifil
cryophile	criofil
halophile	halofil
heliophile	heliofil
maximaphile	maximafil
microphile	microfil
myrmecophile	mirmecofil
Pelasgian	pelasgic
personifying	personificator
petrophile	petrofil
rheophile	reofil
siderophile	siderofil
abiogenic	abiogen
acrylic	acrilic
acrimonious	acrimonios
aerophilatelic	aerofilatelic
anthropocentric	antropocentric
coprophagous	coprofag
creophagous	creofag
cryogenic	criogenic
dishonorable	dezonorant
embryonic	embrionar
hippophagous	hipofag
impenetrable	impenetrant
uncomfortable	incomod
inhospitable	inospitalier
lithophagous	litofag
myrmecophagous	mirmecofag
omophagous	omofag
hospitable	ospitalier
pyritic	piritos
pyroclastic	piroclastic
precarious	precar
preclassical	preclasic
psychotherapeutic	psihoterapic
saprophagous	saprofag
scatophagous	scatofag
scissiparous	scizipar
thermostatic	termostatic
emetic	vomitiv
xylophagous	xilofag
zoophagous	zoofag
zoolatrous	zoolatru
aquiferous	acvifer
aeriferous	aerifer
phytogenic	fitogen
fossiliferous	fosilifer
gasiferous	gazifer
immunogenic	imunogen
polleniferous	polinifer
sporiferous	sporifer
uraniferous	uranifer
antepenultimate	antepenultim
afebrile	apiretic
Aristotelian	aristotelic
confederate	confederativ
contractile	contractil
disproportionate	disproporțional
ductile	ductil
erectile	erectil
fireproof	ignifug
illegitimate	ilegitim
nonessential	inesențial
Moorish	mauresc
nubile	nubil
opiate	opiaceu
prehensile	prehensil
protocarbure	protocarburat
retractile	retractil
saxatile	saxatil
sessile	sesil
tactile	tactil
late	tardiv
thermolabile	termolabil
uniparipinnate	uniparipenat
vibratile	vibratil
hippie	hipiot
Mangalia	mangaliot
shawarma	șaorma
shawarma	șaormerie
adulterine	adulterin
alpine	alpestru
Benedictine	benedictin
consanguine	consangvin
chryselephantine	criselefantin
adamantine	diamantin
superfine	extrafin
hyaline	hialin
incorrect	incorect
labyrinthine	labirintic
lacustrine	lacustru
leonine	leonin
sibylline	sibilin
transmarine	transmarin
genuine	veritabil
customary	uzitat
vanilla	vanilat
Victorian	victorian
occurrent	ocurent
holograph	olograf
homoform	omoform
optimum	optim
Pan-African	panafrican
prehuman	preuman
extremely rare	rarisim
straight	rectiliniu
Samoyed	samoed
bloodthirsty	sanguinar
spheroidal	sferoidal
quiet	silențios
sociable	sociabil
tsk tsk	tț
caw	cra
squeak	guiț
cock-a-doodle-doo	cucurigu
chirp	cip-cirip
squeak	chiț
baa	behehe
baa	mehehe
chirrup	cri-cri
ribbit	orac
buzz	bâz
buzz	zâz
hoopoe	pu-pup
hoopoe	pu-pu-pup
magpie	cața
hen	cotcodac
hoot	buhuhu
neigh	mihoho
bear	mor-mor
chirp	cirip
dog	schelălău
flap	fâl
flap	fâl-fâl
squeak	țiț
crunch	ronț
turkey	pionc
guinea fowl	pichiri
starling	pri-prip
chirrup	țâr
pigeon	urlup
bird	zbâr
turkey	glu-glu-glu
endorser	andosant
arriviste	arivist
cotenant	colocatar
grantee	donatar
sonneteer	sonetist
hazel grove	aluniș
Achaean	aheean
ambushed	ambuscat
roomy	amplu
baroque	baroc
bivalve	bivalv
brumous	brumos
careerist	carierist
carnivorous	carnasier
centuple	centuplu
insane	demențial
imaginary	fantezist
granulous	granulos
greyish	grizonant
eater	gurmand
illicit	ilicit
immature	imatur
unchaste	impudic
gauche	inabil
novel	inedit
expressionless	inexpresiv
unwearied	infatigabil
ill-timed	inoportun
elusive	insesizabil
neverending	interminabil
mortgaged	ipotecar
majority	majoritar
monarchic	monarhic
honorarium	onorar
thyroid	tiroid
streaked	zebrat
consanguineous	consângean
Iberian	iberic
Latin American	latinoamerican
Merovingian	merovingian
small-minded	meschin
messianic	mesianic
Mesopotamian	mesopotamian
nonchalant	nonșalant
sweet	odoriferant
billowy	ondulos
postiche	postiș
sclerotic	scleros
sententious	sentențios
disaster victim	sinistrat
sober	sobru
probationary	stagiar
telephonic	telefonic
tigerish	tigrat
torrid	torid
Vedic	vedic
approving	aprobativ
caterpillar	autoșenilă
cosmopolitan	cosmopolit
crispy	crocant
diocesan	diecezan
diffused	difuz
equestrian	ecvestru
Aegean	egeean
Elizabethan	elisabetan
gruelling	epuizant
floppy	flasc
melancholic	melancolic
oil	petrolier
Romanesque	romanesc
rough	rugos
triple	triplu
adduction	aducție
arabesque	arabesc
arrear	arierate
survey	arpentaj
gregariousness	gregarism
timing	minutaj
organizer	ordonator
paquebot	pachebot
respite	relaș
spotting	reperaj
rear-view mirror	retrovizor
handmaid	servantă
chancre	șancru
songstress	șanteză
woodwork	șarpantă
mixer	amestecător
self-deception	autoamăgire
self-analysis	autoanaliză
self-supplied	autoaprovizionat
dump truck	autobasculantă
concrete mixer	autobetonieră
van	autocamionetă
motorhome	autocaravană
self-destruction	autodistrugere
garbage truck	autogunoieră
crane	automacara
self-starting	autopornire
self-service	autoservire
autotransporter	autotransportor
chassis	autoșasiu
anticenter	anticentru
nonconformism	anticonformism
anti-imperialism	antiimperialism
antihumanism	antiumanism
folklorism	folclorism
terror	grozăvie
taster	gustător
outlawry	haiducie
tramping	haimanalâc
harpooner	harponier
slyness	hiclenie
determination	hotărnicie
thief	hoțomancă
thievery	hoțomănie
yogurt shop	iaurgerie
idiocy	idioțenie
residential	intravilan
spying	iscodenie
stick	jordie
oath	juruință
Aromanian	macedoromâncă
tittle-tattle	mahalagism
hangover	mahmurie
grief	mâhniciune
grinding	măcinătură
ontologist	ontolog
urbanism	orășenism
Jewish	ovreică
vinegar	oțetărie
malariologist	paludolog
parrot	papagaliță
professionalism	profesionalitate
paganism	păgânie
duty	îndatorință
drowning	înecăciune
buried	îngropat
fattening	îngrășătorie
hitched	înhămat
turner	întorcător
Annunciation	buna-vestire
contextuality	contextualitate
contractility	contractibilitate
disintegration	destrămătură
stupidity	dobitocie
electric heat	electrocăldură
electric porcelain	electroporțelan
electrical safety	electrosecuritate
elementality	elementaritate
virginity	feciorenie
virginity	fetie
globality	globalitate
craft	meșterie
germophobe	microbofobie
micro hydropower plant	microhidrocentrală
trifler	moftangiu
museum technology	muzeotehnică
muteness	muție
salvation	mântuială
salvation	mântuință
handler	mânuitor
sweeping	măturat
brooming	măturătură
instability	nestabilitate
operationality	operaționalitate
orality	oralitate
pictoriality	picturalitate
primary vaccination	primovaccinare
stupidity	prosteală
security	siguritate
sensitivity	simțiciune
spectacularity	spectaculozitate
stupidity	stupizenie
facility	ușurime
chatter	flecărie
bakery	franzelărie
brotherhood	frățietate
chimney tax	fumărit
pile	grămădeală
free trader	liber-schimbist
growl	mârâitură
stinkiness	împuțiciune
prison	bulău
ruffle	ciufuleală
comanagement	cogestiune
compote	compotieră
enchanted	descântat
devilry	drăcovenie
sweetness	drăgălășie
champion	ex-campion
minister	ex-ministru
tile	faianțator
raking	greblat
grown	icnet
wintering	iernător
illegality	ilicitate
immediacy	imediatețe
kindness	inimoșie
endless	nesfârșire
ill luck	neșansă
townsfolk	orășenime
embellishment	îmbrobodeală
packed	împachetat
reconciliation	împăcăciune
Empress	împărătiță
help	ajutorință
hazelnut	alunea
anatomopathologist	anatomopatolog
balneologist	balneolog
carcinogenesis	cancerogeneză
