someone	a-
bąąhági áhátʼį́	bąąhági áhátʼį́
happen	áhátʼį́
Lord	Bóhólníihii
being	átʼéego
being	átʼéégóó
remarkable	ayóó átʼéego
rainbow	náátsʼíílid
Tuesday	Damóo dóó Naakijį́
approval	lą́
sibling	akʼis
truth	aaníinii
account	bąą
thought	ntsáhákees
assurance	sih hasin
Brunei	Bwoonéí
Cameroon	Táłtłʼááh Chʼosh Daadánígíí Bitooh
Central African Republic	Naakaii Łizhinii Bikéyah Beʼałnííʼ
center	ałnííʼ
Comoros	Ooljééʼ Bikéyah Yázhí
Republic of the Congo	Kéyah Káango Náhookǫsjí Siʼánígíí
Democratic Republic of the Congo	Kéyah Káango Shádiʼááhjí Siʼánígíí
Djibouti	Jibótii
Damóo bikéyah	Damóo bikéyah
Domingo bikéyah	Domingo bikéyah
East Timor	Haʼaʼaahjí Tíímow
east side	haʼaʼaahjí
Equatorial Guinea	Gíní Nahasdzáán Ałníiʼgi Siʼánígíí
Fiji	Fííjii
Finland	Nahoditsʼǫʼłání Dineʼé Bikéyah
Gabon	Gabǫ́ǫ́
Iraq	Iiwááʼ
Italy	Doohatsʼíí Yátiʼ Dineʼé Bikéyah
Jordan	Jóoʼdan
Kʼazah bikéyah	Kʼazah bikéyah
Kenya	Kénya
Kiribati	Kílíbas
Kuwait	Kóóweiʼ
Kíígiz bikéyah	Kíígiz bikéyah
Laos	Lááʼos
Lebanon	Łíbanoo
Lesotho	Sotho Dineʼé bikéyah
Libya	Łíbya
Liechtenstein	Łííhtensain
Lithuania	Łitʼoowę́ęya
Luxembourg	Látsębooʼ
Madagascar	Madaʼgéésgáá
Malawi	Malááwii
Maldives	Naakaii Dootłʼizhí Bikéyah Yázhí
Dziłizhin bikéyah	Dziłizhin bikéyah
Máághwib bikéyah	Máághwib bikéyah
Myanmar	Mííanmáa
stag beetle	kʼíneedlíshii adiłhashígíí
pinacate	kʼíneedlíshii
where are you from	háadish nitsʼééʼ łeeʼ sitą́
where from	háádę́ę́ʼ
very	íiyisíí
where are you from	háádę́ę́ʼísh íiyisíí naniná
Namibia	Namííbya
North Korea	Náhookǫsjí Binááʼádaałtsʼózí Dineʼé Bikéyah Yázhí
Oman	Omą́ą́
Palestine	Péléstain
Qatar	Kʼatár
Rwanda	Wánda Dineʼé bikéyah
Samoa	Samóa
Saudi Arabia	Ásáí Bikéyah Saʼoodí
Seychelles	Seishel
Slovakia	Słóbaʼ bikéyah
Slovenia	Słobíín bikéyah
Solomon Islands	Sólomon Tó Bináhaazyínígíí
Somalia	Soomáálii bikéyah
South Korea	Shádiʼááhjí Binááʼádaałtsʼózí Dineʼé Bikéyah Yázhí
South Sudan	Shádiʼááhjí Soodą́ą
Sri Lanka	Swii Lankʼa
Sudan	Soodą́ą
Syria	Sííwiya
São Tomé and Príncipe	São Tomé dóó Príncipe
Tajikistan	Tʼajiʼ bikéyah
Tonga	Tʼónga
Turkmenistan	Tʼóokmen bikéyah
Tuvalu	Tʼoobááloo
Uganda	Yogénda
United Arab Emirates	Ásáí Bikéyah Yázhí Ałhidadiidzooígíí
United Kingdom of Great Britain and Northern Ireland	Tótaʼ Dineʼé dóó Náhookǫsjí Bitsiighaʼ Łichííʼí Bikéyah Ałhidadiidzooígíí
Vanuatu	Banoʼáátʼoo
Yemen	Shádiʼááhjí Ásáí bikéyah
tséʼédǫ́ʼii bitsiinézí	tséʼédǫ́ʼii bitsiinézí
entwine	naʼatłʼoʼii
Christmas	naʼatłʼoʼ
inside	hahoodzooígíí biyiʼ
Nóódaʼí bizaad	Nóódaʼí bizaad
Dziłghą́ʼiʼ bizaad	Dziłghą́ʼiʼ bizaad
Tsiiʼyishbizhí Dineʼé bizaad	Tsiiʼyishbizhí Dineʼé bizaad
Japanese	Nííhon bizaad
Binááʼádaałtsʼózí dineʼé bizaad	Binááʼádaałtsʼózí dineʼé bizaad
Tʼoobááloo bizaad	Tʼoobááloo bizaad
Kʼatalą́ą́ bizaad	Kʼatalą́ą́ bizaad
Dáághahii bizaad	Dáághahii bizaad
Galician	Galego Dineʼé bizaad
Sequoyah	Hastiin Sequoyah
Bééshbichʼahii bizaad	Bééshbichʼahii bizaad
Spanish	Naakaii bizaad
Biʼééʼ łichííʼí bizaad	Biʼééʼ łichííʼí bizaad
Léétin bizaad	Léétin bizaad
Albéínii bizaad	Albéínii bizaad
Gwíík bizaad	Gwíík bizaad
Afrikaans	Afrikaaner Dineʼé bizaad
Basque	Dibé Ndeiniłkaadí Dineʼé bizaad
Italian	Doohatsʼíí Yátiʼ Dineʼé Bizaad
Aárish bizaad	Aárish bizaad
Hííbwoo bizaad	Hííbwoo bizaad
Ásáí bizaad	Ásáí bizaad
Azééwii bizaad	Azééwii bizaad
Frisian	Fwíízhin Dineʼé bizaad
Tʼáámiil bizaad	Tʼáámiil bizaad
Tʼóok bizaad	Tʼóok bizaad
Aymara bizaad	Aymara bizaad
Kéchwa bizaad	Kéchwa bizaad
Méhigo bizaad	Méhigo bizaad
Aooméénii bizaad	Aooméénii bizaad
Hawaiian	Hawáai Dineʼé bizaad
Chek bizaad	Chek bizaad
Polish	Póolish Dineʼé bizaad
Létbii bizaad	Létbii bizaad
Hángewii dineʼé bizaad	Hángewii dineʼé bizaad
Kolíya dineʼé bizaad	Kolíya dineʼé bizaad
Finnish	Nahoditsʼǫʼłání Dineʼé bizaad
Georgian	Jóojah Dineʼé bizaad
Danish	Déinish Dineʼé bizaad
Chʼah diʼilii bizaad	Chʼah diʼilii bizaad
Látsębooʼ bizaad	Látsębooʼ bizaad
Wooméin bizaad	Wooméin bizaad
Ééstii bizaad	Ééstii bizaad
Maléízha bizaad	Maléízha bizaad
Yóókwein bizaad	Yóókwein bizaad
Wóómąsh bizaad	Wóómąsh bizaad
Híndoo bizaad	Híndoo bizaad
Bálgaa bizaad	Bálgaa bizaad
Séwib bizaad	Séwib bizaad
Eʼeʼaahjí Naakaii Dootłʼizhí bizaad	Eʼeʼaahjí Naakaii Dootłʼizhí bizaad
Hakʼaz Dineʼé bizaad	Hakʼaz Dineʼé bizaad
Greenlandic	Haʼaʼaahjí Hakʼaz Dineʼé bizaad
Indoníízha bizaad	Indoníízha bizaad
Mííanmáa bizaad	Mííanmáa bizaad
Słóbaʼ bizaad	Słóbaʼ bizaad
Tʼáí bizaad	Tʼáí bizaad
Zulu	Zulu Dineʼé bizaad
Tííbeʼ dineʼé bizaad	Tííbeʼ dineʼé bizaad
Icelandic	Tin Dineʼé bizaad
Bengali	Bangla Dineʼé bizaad
Soomáálii bizaad	Soomáálii bizaad
Łitʼoowę́ę́ bizaad	Łitʼoowę́ę́ bizaad
Mandarin	Mééndawin
Słobíín bizaad	Słobíín bizaad
Tʼajiʼ bizaad	Tʼajiʼ bizaad
Malagasy	Malagasii Dineʼé bizaad
Kwóóʼad bizaad	Kwóóʼad bizaad
Kíígiz bizaad	Kíígiz bizaad
Vietnamese	Biʼednam Dineʼé bizaad
Ózbeʼ bizaad	Ózbeʼ bizaad
Kʼóódii bizaad	Kʼóódii bizaad
Aynu dineʼé bizaad	Aynu dineʼé bizaad
Kʼazah dineʼé bizaad	Kʼazah dineʼé bizaad
Sínghal bizaad	Sínghal bizaad
Bosna bizaad	Bosna bizaad
naʼagizhgo haneʼ	naʼagizhgo haneʼ
Tʼónga bizaad	Tʼónga bizaad
Anishinaabe bizaad	Anishinaabe bizaad
Swati	Swáazi Dineʼé bizaad
Swahííli bizaad	Swahííli bizaad
Nepali	Dziłgaiitsoh Honeezkʼazii Dineʼé bizaad
Lááʼoo bizaad	Lááʼoo bizaad
Sorbian	Sóówbyan Dineʼé bizaad
Dziłizhin bizaad	Dziłizhin bizaad
Amharic	Amhara Dineʼé bizaad
Wíígow bizaad	Wíígow bizaad
Chééwokii dineʼé bizaad	Chééwokii dineʼé bizaad
Inuktitut	Náhookǫsjí Hakʼaz Dineʼé bizaad
Tswana	Tswana Dineʼé bizaad
Xhosa	Xhosa Dineʼé bizaad
Kʼawakʼalbaʼ bizaad	Kʼawakʼalbaʼ bizaad
Beehai bizaad	Beehai bizaad
chʼosh áłtʼą́ą́ʼígíí	chʼosh áłtʼą́ą́ʼígíí
thinks	íinízin
tábąąh chʼosh	tábąąh chʼosh
Western Sahara	Kéyah Sahééwa Eʼeʼaahjí Siʼánígíí
Russian Federation	Biʼééʼ Łichííʼí Bikéyah Ałhidadiidzooígíí
iichʼąhii biyázhí	iichʼąhii biyázhí
here	wóshdę́ę́ʼ
this way	wóshdę́ę́ʼgo
this way	wóshchʼishídi
dóó wóshdę́ę́ʼ	dóó wóshdę́ę́ʼ
dóó wóshdę́ę́ʼ	dóóshdę́ę́ʼ
pod	atsʼaʼ
run	yiiltééh
three time	táadi
jeeh dígházii	jeeh dígházii
smh	yíłmáás
explain	halneʼ
wifebeater	iizáanii
soup	atooʼ
dah naatʼaʼí	dah naatʼaʼí
hurricane	tónteeldę́ę́ʼ níyoltsoh
vicinity	nahósʼaʼjí
sunshine	sháńdíín
Native American	Bitsįʼ yishtłizhii
oxford	kétsʼiiní
work shoe	ké ndootsʼosii
ké ntsaaí	ké ntsaaí
being	ídlį́
be	ídlį́įgi
encouraging	chánah
Thanksgiving	Tązhii Daʼaghał
Thanksgiving	Késhmish Yázhí
sumac	chiiłchin
roasted corn	neeshjízhii
kneel	ntsidigoʼí
dumpling	kʼíneeshbízhii
bread	łeesʼáán
naadą́ą́ʼ łeesʼáán	naadą́ą́ʼ łeesʼáán
Milky Way	łeesʼáán yílzhódí
chʼoshłóóʼ bideetsohígíí	chʼoshłóóʼ bideetsohígíí
nizhónígo ałhééhosiilzįįd	nizhónígo ałhééhosiilzįįd
tea	dééh
cooked	sitʼé
purple	tsédídéehgo dootłʼizh
sister	ádí
brother	ánaaí
brother	atsilí
sibling	alah
comrade	achʼooní
marine iguana	naʼashǫ́ʼiitsoh naʼałkǫ́ʼígíí
twin	naakiishchíín
clouds	daakʼos
save	hashtʼeʼ nihénil
purpose	biniiyé
order	hashtʼeʼ
whose	háí bi-
this	díísh
which	háidísh
which	háídíshąʼ
who	háíshąʼ
who	háísh
which	háidíígíí
what	haʼátʼíí
what	haʼíí
someone	háíshįį
anyone	háiida
háiishąʼ dóʼ	háiishąʼ dóʼ
tʼáá háiida	tʼáá háiida
which	haʼátʼéegi
what way	haʼátʼéego
what	haʼátʼíishąʼ
doings	áhátʼíinii
Antarctica	Shádiʼááhjí Honeezkʼazii
South America	Shádiʼááhjí Kéyah dah siʼánígíí
North America	Náhookǫsjí Kéyah dah siʼánígíí
bite me	shiiłhash
dedication	baa deetʼáanii
tooh łéʼétsoh	tooh łéʼétsoh
marrow	awol
grebe	naalʼeełii keelóól
Happy New Year	Baa Hózhǫ́ǫgo Nee Nínáádoohah
make	ájiiłʼįįh
how	kótʼáo
like	doo shił yáʼátʼéeh da
tricycle	dziʼizí bijáád táʼígíí
shídóʼ	shídóʼ
waist	anííʼ
head	atsiistsʼiin
throat	adáyiʼ
wrist	álátsíín
thorax	ajéítsʼiin
torso	azhiʼ
back	ííshgháán
rump	atłʼaaʼ
ankle	akétsíín
-tsʼin	atsʼin
body	hatsʼíís
body	hatah
head	hatsiistsʼiin
face	haniiʼ
waist	hanííʼ
neck	hakʼos
throat	hadáyiʼ
shoulder	hawos
arm	hagaan
elbow	hachʼoozhlaaʼ
wrist	hálátsíín
hand	hálaʼ
thorax	hajéítsʼiin
chest	hayid
stomach	habid
trunk	hazhiʼ
back	hwííshgháán
foot	hakeeʼ
skin	hakágí
muscle	hadoh
bone	hatsʼin
hair	hatsiiʼ
rump	hatłʼaaʼ
leg	hajáád
knee	hagod
ankle	hakétsíín
twenty-one	naadįįłaʼ
I'm twenty years old	naadiin shinááhai
up to	tʼáá hó ájítʼéégóó
for each other	áłká
upon each other	ałkʼi
without	tʼáágééd
measurement	íʼneelʼąąh
risk	bizááká
bááh dah díníilghaazh	bááh dah díníilghaazh
what	haash
what	daash
woman	asdzą́ą́
light	adinídíín
cartilage	ooshgę́ę́zh
beef	béégashii bitsįʼ
away	sitsʼą́ą́ʼ
friend	ałkʼis
análí asdzą́ą́	análí asdzą́ą́
análí hastiin	análí hastiin
baa hózhǫ́ǫgo niʼdizhchį́	baa hózhǫ́ǫgo niʼdizhchį́
arrowhead	táłkááʼbéésh
chair	bikááʼ dah asdáhí
chair	bikʼi dah asdáhí
baby	lókʼeeshchąąʼí
candy	ałkʼésdisí
doo shił bééhózin da	doo shił bééhózin da
bit	yáál
atsá biyáázh	atsá biyáázh
heel	éí ííníyą́ąʼgo naaʼdidoolyééł
jooł nabíznítaałí	jooł nabíznítaałí
baseball	jooł yikalí
basketball	jooł iih nálniihí
obviously	bééhózingo
understandable	bééhózínígo
that	eii
know	yééhósin
thick-billed parrot	naaléełchííʼ
Diné bizaad doo shił bééhózin da	Diné bizaad doo shił bééhózin da
Sunday	náádamóo
between	bitaʼ
lucky	bízháneeʼ
sweat bee	tsísʼnáyázhí
tsísʼná bighan	tsísʼná bighan
cool	honeezkʼází
week	náádamóogo
roller	gáagii naashchʼąąʼígíí
jádí biniiʼtsʼózí	jádí biniiʼtsʼózí
naaʼahóóhai bikeetsohígíí	naaʼahóóhai bikeetsohígíí
painting	naʼashchʼąąʼ
for	bíká
name	yízhí
further	nówehjí
move	nówehjįʼ
further on	nówehgóó
further	nówehédi
here	naʼ
son	biyeʼ
let's go	tįʼ
let's go	tįʼę́ę
uvula	adáziz
knee	bigod
ear	bijaaʼ
foot	bikeeʼ
ankle	bikétsíín
neck	bikʼos
head	bitsiitsʼiin
magpie	įįʼąʼii
day	yoołkááłígíí
say	haʼní
possibly	shaʼshin
bą́ą́h ílį́	bą́ą́h ílį́
closer	woshchʼishjí
closer	woshchʼishídi
here	woshdę́ę́ʼ
closer	woshchʼishígíí
wait	átʼahálo
later	átʼah
jailer	awáalya yaa áhályání
good	yáʼáhootʼééh
all right	tʼááʼáko
all right	tʼááshʼáko
hole	aʼáán
slippery	hwíídéeltǫʼ
medicine pouch	jish
charcoal	tʼeesh
łichííʼ ałnáʼásdzoh	łichííʼ ałnáʼásdzoh
bluish	dinooltłʼizh
cent	tsindáo
in addition	baʼąą
fifteen cent	gíinisi
tʼáá áłah	tʼáá áłah
together	áłah
tʼóó báhádzidgo	tʼóó báhádzidgo
doo asohodéébéézhgóó	doo asohodéébéézhgóó
clan	dóoneʼé
no	nda yeeʼ
Nunavut	Náhookǫsjí Hakʼaz Dineʼé bikéyah
haitʼáo naniná	haitʼáo naniná
how are you doing	haalá áńtʼé
well	ąąʼ
ąąʼ háádę́ę́ʼ	ąąʼ háádę́ę́ʼ
ąąʼ haʼíí baa naniná	ąąʼ haʼíí baa naniná
deaf	jééhkał
absentee	ádinígíí
tłʼízí yázhí	tłʼízí yázhí
dibé yázhí	dibé yázhí
kʼaaʼ yeiłtįįh	kʼaaʼ yeiłtįįh
victor	akʼehdidlíní
cross	ałnáʼázdzoh
béésh dootłʼizh	béésh dootłʼizh
down	hadah
waterfall	adahʼíílį́
atsiniltłʼish bee adinídíín	atsiniltłʼish bee adinídíín
fat	beʼakʼah
fat	bikʼah
brother	shilah
first	átsé
recently	áníídí
new	ániid
hangover	yoolééł
ugly	chxǫ́ǫ́ʼí
what's your name	daash yinílyé
what is your name	haash yinílyé
was	ńtʼééʼ
I'm hungry	dichin nisin
hail	ńló
doughnut	bááh łikaní bigháhoodzání
what is that	shá yínízhí
haʼátʼíí átʼé	haʼátʼíí átʼé
duodenum	abid dijoolí
witch	adiłgąshii
rheumatism	agizii
incision	ashgish
scrotum	achoʼ
achoʼ bizis	achoʼ bizis
calf	achʼozh
relative	kwáʼásiní
achʼéʼé	-ké
do you have children	áłchínísh nihee dahólǫ́
I'm thirsty	dibááʼ nisin
thirst	dibááʼ
dibááʼ shiʼniiłhį	dibááʼ shiʼniiłhį
will you marry me	ahidiitʼash shį́į́
Star Wars	Sǫʼtah Anah
war	anah
sleep	nákʼeeshchąąʼ
quickly	tsį́įłgo
laziness	iłhóyééʼ
nearby	nahgóó
poverty	téʼéʼį́
Ghąąjįʼ	Bineʼnaʼałʼaash
łeeʼshibéézh	neeshjįzhii
comforter	golchóón
sǫʼ bee jį́	sǫʼ bee jį́
autumn	aakʼeed
woman	shiʼáád
man	shikąʼ
up here	kodóó
whitish	dinilgai
yellow	diniltso
orange	diniltsxo
gray	dinilzhin
valence-change prefix	-d-
hospital	azeeʼálʼį́
dreadful	hóyééʼ
panic	ił hóóyééʼ
dreadful	hóóyééʼ
loincloth	tłʼeestsooz
almost	kʼadę́ę
hey	héí
valence-change prefix	-l-
fruit	tsin bineestʼąʼ
tʼóó ádíshní	tʼóó ádíshní
old age	są́
alcohol	tó łikoní
geʼ shoo	geʼ shoo
áníłʼį́ shoo	áníłʼį́ shoo
okay	goshį́į́
here	hąh
decision	bíla
extremely	chxǫ́ǫ́h
aside	nahjįʼ
make room	hoołʼaah
cornmeal mush	tanaashgiizh
Super Bowl	Jooł Yitalíjí Akéeʼdi Ahąąh Honinééhígíí
side-by-side	ahąąh
really	yeeʼ
siih hasin	siih hasin
Valentine's Day	Hajéí Béédahaniih
Valentine's Day	Ayóóʼádajóʼnínígíí Béédahaniih
Grand Canyon	tsékooh hatsoh
today	jį́į́dą́ą́ʼ
Haashchʼééowaan	Haashchʼééłtiʼí
teacher	báʼóltaʼí
egg	naaʼahóóhai bikʼǫ́ǫ́ʼ éí haitʼáo nínízin
bull	dóola
anything	doo bá niséyáhí da
sour red ochre	chííh díkʼǫ́ǫ́zhí
good morning	yáʼátʼééh abínóó
of course	bíighah
cool	sxih
stirring stick	ádístsiin
certain	léiʼ
little	-chil
ligature	-sh-
male	akąʼ
female	aʼáád
hello	yáʼátʼóo
side	wónaanígóó
tʼáá shį́į́ áko	tʼáá shį́į́ áko
hunger	dichin
bun	tsiiyéél
thank you	ahéheeʼ náʼiihíyáhígíí
here	kojįʼ
womenfolk	sáanii
aunt	ákʼaʼí
how	haitʼáo
tʼááłáʼí góneʼ	tʼááłáʼí góneʼ
job	naanish hanishtá
Ll	Ł
how	kótʼéego
sitting	sidá
sitting	siké
sitting	naháaztą́
Dinékʼehjí shíká	Dinékʼehjí shíká iʼdoowoł nínízingo, kojįʼ hodíílnih
clan	haa dóoneʼé lá nílį́
write	akʼeʼełchí
puberty cake	alkąąd
sky	yótʼááh
resilient	haʼíínílní
kit fox	mąʼiiłtsooí yázhí
ugly	nichǫ́ǫ́ʼí
nostril	ánííʼ
noon	ałníʼníʼą́
yidą́	yiidą́
yileeh	aleeh
yileeh	azlį́į́ʼ
grinding stone	tsédaashchʼíní
yidą́	yiidą́ą́ʼ
lost	yóóʼ
duoplural	yighááh
sew	náʼáłkad
shiitéézh	shitéézh
shiijééʼ	shijééʼ
mistaken	nitʼááh
arrive	yíghááh
game pit	tééʼndééh
hard	nitłʼiz
remember	yénálniih
coating	yijeeh
read	yółtaʼ
live	kééhatʼį́
go	iighááh
go	chʼéghááh
pencil	bee akʼeʼelchíhí
go	náánádááh
singing	yikʼaash
blow	diyóół
authority	haniih
side	ooshkʼiizh
yiijį́į́h	woohjį́į́h
charcoal	yitʼeesh
yeełtʼé	yeełtʼé
very	ayóí
hesitant	yitiih
yilzhóóh	yiilzhóóh
wow	yáah
thing	tʼáadoo leʼé
pulling	yidzį́į́s
straight	yikʼąąs
yózhíh	yíníshíh
yózhíh	yínízhíh
yózhíh	józhíh
yózhíh	yíníijíh
finger	áʼázhoozh
stepfather	hazhéʼé ájíłʼíní
pulling	yizǫ́ǫ́s
tózis biih	yizííd
sharp	yikʼęęh
sharp	yikʼį́į́h
rib	átsą́ą́ʼ
orders	naalʼaʼ
hand	álákʼee
with difficulty	naalchʼąął
into	ʼiih
yildééh	yishdééh
yildééh	wołdééh
yildééh	yiildééh
cooking	yibéézh
back and forth	yiłhod
four time	dį́įdi
beating	yiłtązh
what	yááh
handsome	bíiyis
by	bą́ą́h
desiccate	néíłtsááh
dessicate	náltsááh
popcorn	yiłtʼees
hardening	yiłtłʼis
disliking	yiłdin
yidzííʼ	yidziih
autumn	aakʼeedgo
on all fours	yildlóósh
yilnood	wołnood
upward	góde
nest	atʼoh
finally	hajoobáʼágo
getting	yilyé
going	yinééh
property	inchxǫ́ʼí
O	Ǫ
N	Ń
maternal aunt	hákʼaʼí
sarcasm	ąąh nehelghaał
bark	aháshtʼóózh
thumb	álátsoh
theft	aneestʼį́į́ʼ
ewe	dibé tsaʼii
cider	bilasáana bitooʼ
anvil	bikʼiʼatsidí
astronomy	sǫʼ naalkaah
boundary	hoodzo
bubblegum	jeeh dildoní
college	óltaʼ hótsaa
sprinkling	yoosas
hauling	yooshoł
strychnine	mąʼiitsoh bee yigą́
nausea	náʼákwi
yooloh	yíloh
live long	nízaadgóó asʼahgo hinínáa doo dóó naʼdoodił
duoplural	yiijį́į́ł
on all fours	yildlosh
on all fours	chʼéldlóósh
naakiishchíín	naakishchíín
run	chʼéjeeh
short	biʼoh
servant	neiłʼaʼ
ałchin	naaʼné
penis	ziz
go through	yibadooghááh
dił	naashchiiʼ
low	wóyah
on all fours	iildlóósh
bean	bihóól
salt	sáál
diimáás	iimáás
iilkeed	iiłkeed
marked	yisdzoh
pull	iizǫ́ǫ́s
beating	haiłhaał
notch	haikʼę́ę́h
eyelid	anáziz
on all fours	yíldlóósh
son-in-law	aadaaní
dress	biil
give	yíyeeh
gives	yíjááh
afraid	yináldzid
see	yiyiiłtsééh
hear	yidiitsʼį́į́h
Eskimo	Hakʼaz Dineʼé
cut	yiyiigish
do	átʼį́
semen	íígąsh
marriage	iigeh
profession	inaanish
opportunity	áshjish
sexual intercourse	ashtéézh
masturbation	ákʼinálchįįh
drunkard	adláanii
leather	akał
graveyard	jishchááʼ
pillow	tsiisʼááł
prayer stick	kʼeetʼáán
body odor	kʼǫ́ǫ́zh
pregnancy	ootsą́
vomit	kwih
beggar	adókeedí
thief	aniʼįįhii
fringe	ajánil
anus	ajilchiiʼ
aunt	amáyázhí
uncle	adáʼi
gambling	oobįįh
farmer	kʼéédidléhí
butcher	náʼáłʼahí
sailor	naʼałʼeełí
libidinous	ałjiłnii
declaration of war	anaaʼ hwiiniidzį́į́ʼ
adolescence	anoosééł
trachea	azooł
blood vessel	atsʼoos
nerve	atsʼóóz
stinger	azǫ́ǫ́z
yeast	dííkʼǫsh
magic	álííl
sausage	náshgǫzh
phlegm	chátłʼish
mirror	biiʼadéestʼį́į́ʼ
stirrup	biiʼdeesʼeez
stiff	daastsʼin
watchman	haʼasídí
sweat	hátásiil
sinew	atsʼid
knot	shaazh
June bug	táłchaaʼ
suicide	naʼázhdiilghé
meadow	hootso
ambassador	naalchiʼí
womb	iishchʼid
Bááh Díílid	Niinahnízaad
adultery	adilghé
nightmare	akʼiʼiilchį́
fence	anítʼiʼ
liar	biyoochʼídí
lap	atsékʼee
finally	hónáásiiʼ
down here	kóyaa
up here	kódei
on one's back	tséde
on one's face	tséʼyaa
sometimes	łahda
bedroll	yaateeł
bed	tsáskʼeh
match	tsitłʼéłí
bashfulness	yáhásin
strength	dziil
daughter	achʼéʼé
daughter	atsiʼ
card player	adikaʼí
god	haashchʼééh
believe	yoodlą́
obsidian	noolyínii
sound	íitsʼaʼ
jet	bááshzhinii
contamination	iʼniiyą́ą́ʼ
night	chahałheeł
reverence	jidísin
arroyo	cháshkʼeh
mine	haʼagééd
malachite	adishtłʼish
landslide	hodichįįh
tanner	ałdzéhé
snowstorm	chííl
menstrual discharge	chooyin
judge	ánihwííʼaahii
eye socket	anákʼee
white	anágaii
vagina	ajóózh
gland	akááz
belly	atéél
hysteria	adiitłah
anger	áháchįʼ
disintegration	adiitaaʼ
witchcraft	adigąsh
crotch	atłʼeh
bile	atłʼizh
syphilis	cháchʼosh
great-grandmother	achó
mistletoe	dahtsʼaaʼ
hill	deeskʼid
sickness	daʼatsaah
frying pan	tseeʼé
trash	tsʼiilzéí
fat	łikʼaii
alkali	łeeyáán
shout	dilwosh
extinguish	yiniłtséés
win	oołbįįh
mischief	ádílááh
melancholy	chʼiináii
itch	yihę́ę́s
vomit	dikóóh
cough	dilkos
look	yiníłʼį́
interpreter	adiitsʼaʼii
fatigue	adínéesnaʼ
pelvic bone	akaiʼ
epidemic	naʼałniih
aviator	naʼałtʼaʼí
pimples	néetsah
game corral	needzį́į́ʼ
sleet	níló yázhí
stabbing	yiyiiłtʼoh
left-handed	nitłʼah
niiteesh	niteesh
dam	dáʼdeestłʼin
gray titmouse	diltʼóshii
white strip	dzígai
breath	didziih
stick dice	tsidił
club	tsihał
fart	tłʼid
sexual intercourse	akʼééd
sawmill	niʼiijíhí
fireplace	kǫʼkʼeh
pinion tree	chʼoł
saw	bee achʼiishí
bee nahazhoohí	bee nahazhoohí
day after tomorrow	naakiiską́ągo
last year	kóhootʼéédą́ą́ʼ
year(s) ago	nááhaiídą́ą́ʼ
witch	ánítʼį́į́h
buffalo robe	chʼidí
hunchback	chooyiní
corncob	dáʼátsiin
bullsnake	diyóósh
nasal mucus	anéʼéshtił
breath	ayih
hairbrush	béʼézhóóʼ
refrigerator	bee azkʼazí
pelvis	akʼaashjaaʼ
suspicion	ayahoolni
sprain	ahishkʼosh
venereal disease	aaʼadiniih
diaphragm	acháshjish
kidney	achą́ʼáshkʼazhí
cornhusk	dáʼátʼąąʼ
sightseeing	dahooltsé
eczema	dishchʼid
fun	honeeni
winner	honeesnánígíí
infection	iiʼnííyą́ą́ʼ
pick	yóbé
body hair	ákáshtłʼo
knowledge	bíhooʼą́ą́ʼii
impetigo	naʼatłeeh
danger	náhádzid
mistake	oodzííʼ
repair	ánéídlééh
herd	neiniłkaad
rest	hanályį́į́h
bite	-GHAZH
become	-LĮ́Į́ʼ
do	ánééh
know	yééhoosįįh
puberty	kinaaldá
go	chʼéʼaash
go	chʼékááh
Lukachukai	Lókʼaachʼégai
Ganado	Lókʼaahniteel
Keams Canyon	Lókʼaadeeshjin
rough	dichʼíízh
mechanic	chidíʼánéílʼíní
slope	díní-
spoil	dikʼǫsh
ball	-JOOL
copies	yeʼelééh
DD214	siláołtsooí ídlį́į́ ńtʼę́ęʼgo naaltsoos bee bééhózinígíí
room	hooʼaah
knowledge	bééhoozįįh
morning dawn	hoolʼįįh
slippery	yídéeltǫʼ
big	-tso
small	-tsʼíísí
middle	ííłniih
ílį́	íłį́
thimble	nígíí
wrestling	naʼahínítaah
joke	nahatʼiʼ
jiní	náhodidleeh
hole	hoodzą́
crackles	dildon
thorny	adijił
sticks out	haajííł
extending	adilnííh
extending	dzídzadilnííh
raising	yadidiilnííh
extending	chʼídeelnííh
extending	dilnííh
squeezing	yiyiinih
moving	doolnih
kicker	aditał
dashing	chʼéltaał
dashing	iiltaał
kick	yiyiitał
equidistant	aheenízaad
far	ánízáád
trotting	chʼéltłʼééh
flying	chʼétʼááh
darting	chʼélnood
rolling	chʼémáás
béésh ditʼódí	béésh ditʼódí
noise	hahóóʼá
pancreas	alohkʼeʼ
sweat	átásiil
spleen	atélí
cousin	azeedí
warrior	naabaahii
New Mexico	Naakaii Bitoʼ
Arizona	Sahdiibisí
instruction	naʼnitin
cove	nástłʼah
lean	yidiilkaal
dusk	hiłiijį́į́h
aunt	azháʼáád
floats	chʼéldóóh
floats	naaldo
floats	haaldóóh
sneaking	naalʼiz
kick	yiyiiʼis
male	-kąʼ
deception	inótʼááh
cellar	łeʼoogeed
shin	ajástis
cheek	aniitsįʼ
chin	ayaatsʼiin
thigh	atsooskʼid
little finger	áláyáázh
arrives stretching	yítʼééh
stretches	yitʼééh
longs	iitʼééh
stretches	haatʼééh
lines	ditʼééh
extends	naatʼiʼ
extending	náyoołtʼih
stretching	yidiłtʼééh
clenching	yiniłmas
clenching	yiniiłmas
ball	niimas
rolling	yisdábąąs
