house	Haus
thereof	dovun
fall	Ënnergang
create	entstoen
turn off	ausmaachen
oaken	eechen
indicate	hiweisen
pain in the neck	Nervesee
throughout	uechter
ancestry	Ofstamung
demand	verlaangen
desire	Verlaangen
resolve	Entschloss
magnificent	herrlech
glory	Herrlechkeet
mercy	Gnod
behaviour	Optrieden
open	opschloen
seldom	sielen
actually	eegentlech
belong	gehéieren
in	matzen
shoelace	Stréckel
east	ëstlech
tulip	Tulp
offend	toufen
punish	strofen
timetable	Zäitplang
timetable	Stonneplang
timetable	Horaire
timetable	Fuerplang
ivory	Elfebeen
greenhouse effect	Zäreneffekt
despise	veruechten
despise	mepriséieren
armed	bewaffent
armed	arméiert
secret	Geheechnes
greenhouse gas	Zäregas
absence	Absence
recommendation	Recommandatioun
care	suergen
glassy	glaseg
stormy	stiermesch
pancake	Paangech
union	Unioun
author	Auteur
Dutchman	Hollänner
Dane	Dän
Serb	serbesch
Montenegrin	Montenegriner
Czech	Tschech
Slovak	Slowak
Belarusian	Wäissruss
Chinese	Chines
Vietnamese	Vietnames
Lao	Laot
Nepalese	Nepales
Turk	Tierk
virology	Virologie
transcription	Transkriptioun
mitten	Moul
twig	Zwäig
slice	Scheif
bowl	Schossel
lesson	Lektioun
rosehip	Spackelter
spit	späizen
drone	leieren
water	netzen
grumble	grommelen
ambush	Lauer
whip	Gäissel
fart	Fuerz
stinginess	Gäiz
cobblestone	Pawee
tanner	Gierwer
tannery	Gierwerei
preacher	Priedeger
sermon	Priedegt
spawn	Bruck
rider	Reider
yield	wäichen
pant	käichen
spawn	läichen
soak	weechen
pass	reechen
piss	seechen
creep	schläichen
blow one's nose	schnäizen
cross	kräizen
weigh	laaschten
feel	taaschten
forge	schmidden
splint	schinnen
bone	Knachen
pit	Grouf
guard	Wiechter
loyalty	Trei
shame	Schan
wagonload	Fouer
slat	Lat
murder	Muerd
trace	Spuer
rummage	wullen
give up	ofleeën
compile	uleeën
guy	Kärel
lime	Kallek
sometimes	munchmol
monk	Mënch
crumbly	mierf
spread	verdeelen
glazen	gliesen
respect	uechten
slaughter	schluechten
ice up	veräisen
alter	veränneren
seamstress	Néiesch
alter	ëmänneren
water	wässeren
wander	wanderen
wave	wénken
wipe	wëschen
rag	Lomp
mix	mëschen
mix	vermëschen
grizzle	gréngen
sound	kléngen
sprout	kéngen
wrestle	réngen
force	zwéngen
therefore	deemno
there	dohin
thereover	driwwer
thereunder	drënner
publication	Publikatioun
her	hiert
habit	Gewunnecht
spelling	Schreifweis
way	Weis
inside	dobannen
realise	an Uecht huelen
perform	leeschten
achievement	Leeschtung
through	doduerch
land	Kadaster
weird	koppeg
place name	Flouernumm
quarry	Steebroch
in places	plazeweis
stupidity	Kueberei
Germanophone	däitschsproocheg
Hessian	hessesch
specific	spezifesch
put right	riichtbéien
drawbar	Täissel
behind	hannendrun
behind	hannendran
behind	dohanner
over there	dohannen
behind	derhanner
pre-	vir-
nationality	Nationalitéit
Frenchman	Fransous
Frenchwoman	Franséisin
solution	Léisung
personal	perséinlech
quarrel	Gestreits
deny	leegnen
denial	Leegnung
conspiracy	Verschwierung
conspire	verschwieren
tell off	erhuuschen
quaffable	sëffeg
conscience	Gewëssen
case	Sträitfall
coincidence	Zoufall
anyway	souwisou
along	laanscht
demanding	kriddeleg
thoughtless	Lazert
at most	héchstens
notebook	Bichelchen
please	wann ech gelift
sorry	et deet mer leed
I don't understand	ech verstinn net
I love you	ech hunn dech gär
how old are you	wéi al bass du
fidget	zabbelen
tender	zäertlech
tenderness	Zäertlechkeet
graft	praffen
phone	uruffen
when	wéini
click	uklicken
absolutely	onbedéngt
forbid	verbidden
prohibition	Verbuet
tolerate	verdroen
high-rise	Héichhaus
fatality	Doudesaffer
paramedic	Secourist
encroach	iwwergräifen
critical	kritesch
condition	Zoustand
responsible	zoustänneg
British	brittesch
break out	ausbriechen
possibly	méiglecherweis
clothing	Gezei
naked	plakeg
embankment	Rampli
unpaved	Summerwee
fall	eroffalen
allocate	verginn
indicate	hindeiten
arrive	ukommen
network	Netzwierk
miss	vermëssen
miss	mëssen
yolk	Dueder
wind	wéckelen
bang	Knuppert
hand in	ofginn
spend	ausginn
expense	Ausgab
accompany	begleeden
subsequently	doropshin
spacious	geraimeg
sound	Geräisch
tidy up	raumen
thorough	gehéiereg
plead	plädéieren
against	géinteneen
sharpen	schläifen
whetstone	Schläifsteen
cut	Schlëff
drag	schleefen
brush	sträifen
whistle	päifen
slime	schläimen
glue	läimen
glue	Läim
slag	Schlak
solid	zolidd
din	Zodi
genderfluid	geschlechtsflësseg
border	Grenz
header	Kappball
half	Halschent
cattle	Rëndvéi
travel	reesen
chirp	zwitscheren
thereon	drun
upset	opreegen
sensation	Sensatioun
free kick	Fräistouss
high jump	Héichsprong
long jump	Wäitsprong
triple jump	Dräisprong
sketch	Skizz
deliver	ausdroen
athletic	athletesch
competition	Kompetitioun
opening	Ëffnung
opening	Erëffnung
division	Andeelung
thin	Sprenz
conscript	Zwangsrekrutéierten
conscript	zwangsrekrutéieren
safe	hannerwands
general	Generol
linguistic	sproochlech
literary	literaresch
introduce	virstellen
enlarge	vergréisseren
profession	Beruff
day labourer	Doléiner
malicious	Krëppebësser
thereagainst	dogéint
historic	historesch
offer	Offer
tuition	Nohëllef
down-	nidder-
over-	uewer-
Moselle	Musel
watercourse	Waasserlaf
Rhine	Rhäin
proper noun	Eegennumm
Alzette	Uelzecht
near	niewen-
Clervaux	Klierf
Eisch	Äisch
Oesling	Éislek
Capellen	Capellen
out	doraus
thereon	dorun
item	Neiegkeet
item	Noriicht
trouble	bedrécken
in the end	zu gudder Lescht
in the end	schliisslech
stomach ulcer	Moschwier
conductor	Kondukter
baker's dozen	Bäckeschdosen
Nancy	Nanzeg
Trier	Tréier
Aachen	Oochen
pointed	spëtzen
therefor	dofir
in front of	virdrun
suffocate	erstécken
convenient	kammoud
chest of drawers	Kammoud
several	etlech
pleasure	Gellecht
longstanding	jorelaang
emission	Emissioun
genuine	onverfälscht
adulterate	verfälschen
worth	Wäert
whir	soueren
shake	rëselen
mess	duercherneen
mess	Duercherneen
mess	Onuerdnung
order	Uerdnung
language	Sproochgebitt
dash	ditzen
dash	jauwen
run	bëselen
uphill	biergop
downhill	biergof
cultivate	ubauen
attempt	Ulaf
appearance	Optrëtt
accessory	Opsaz
start	ufänken
light	umaachen
bush	Trausch
button	Knäppchen
key	Tast
machine	Maschinn
daily	deeglech
darling	Liibling
education	Erzéiung
educate	erzéien
earring	Ouerrank
flute	Flütt
parent	Elterenhaus
parent	Heemechtshaus
home	Doheem
honeycomb	Wab
insurance	Assurance
insurance	Versécherung
Japanese	japanesch
Japanese	Japanesch
lighthouse	Phar
lighthouse	Liichttuerm
memory	Memoire
memory	Gediechtnes
memory	Erënnerung
revolution	Revolutioun
rotation	Ëmdréiung
invert	ëmdréien
sense	Gespier
sickle	Séchel
strange	droleg
notion	Virstellung
cautious	virsiichteg
waggle	wackelen
rein	Zigel
both	béid
effective	effikass
correct	richteg
sharp	schaarf
dog	Mupp
moral	moralesch
immoral	onmoralesch
injure	verwonnen
offend	vexéieren
offend	beleedegen
order	Oflaf
drain	Offloss
sinn	oflafen
drain	offléissen
heel	Tallong
striker	Stiermer
midfielder	Mëttelfeldspiller
defender	Verteideger
defender	Verdeedeger
defend	verdeedegen
coil	opwéckelen
whip	Baatsch
strength	Stäerkt
weight	Gewiicht
laundry basket	Maandel
laundry basket	Wäschkuerf
great	maandelweis
waste	Offall
disparaging	offälleg
walk	Promenad
walk	Spadséiergang
able	capabel
stone	stengen
account	Kont
work	wierken
competent	dichteg
successively	hannereneen
squirt	sprëtzen
peaceful	friddlech
finished	eriwwer
marionette	Marionett
by	andeems
spy	spionéieren
spy	Spioun
constant	stänneg
wastefulness	Muttwëll
Englander	Englänner
pretentious	bretzeg
exaggerate	iwwerdreiwen
proud	houfreg
good	ongutt
chainsaw	Motorsee
Germanic	germanesch
heap	kéipweis
some	iergenden
author	Schrëftsteller
punishment	Strof
punish	bestrofen
stick	pechen
successive	noeneen
importance	Wichtegkeet
multiplication	Multiplikatioun
juggle	jongléieren
drawing	Zeechnung
bushes	Gestraich
odd	kauzeg
around	ronderëm
guest of honour	Éieregaascht
unexpected	onerwaart
expect	erwaarden
baby	Puppelchen
participation	Bedeelegung
mark	markéieren
fork	Gafel
eyebrow	Aper
Luxembourg	Stater
main	haapt-
tint	téinen
swap	Tosch
dizygotic	zweeeeëg
skew	schif
mistletoe	Mëspel
glassblower	Glasbléiser
gland	Drüs
stye	Weeschësser
Caspian Sea	Kaspescht Mier
penknife	Täschemesser
midwife	Hiewan
bay leaf	Lorberblat
beechwood	Bichenholz
bag	Tut
triturus	Abbes
thresher	Dreschmaschinn
cure	Heelung
Portugal	Portugis
map	Landkaart
Portugal	Portugisin
Portuguese	portugisesch
Brazilian	brasilianesch
Italy	Italieener
Italy	Italieenerin
Italian	italieenesch
epidemiologist	Epidemiolog
infect	infizéieren
curve	Kurv
virologist	Virolog
inspection	Kontroll
eye color	Aefaarf
Faroese	Färöesch
Danish	Dänesch
corruption	Korruptioun
bribe	Bestiechung
development	Entwécklungshëllef
postcard	Postkaart
champagne	Schampes
born	gebuer
verdict	Urteel
brain	Gehier
err	ieren
similar	änlech
Latin	Latäin
great	groussaarteg
municipal	stättesch
lord	Här
truth	Wouerecht
course	Cours
colleague	Kolleeg
outward	äusserlech
working class	Aarbechterfamill
working class	Aarbechterklass
accident	Aarbechtsaccident
working life	Aarbechtsalldag
working conditions	Aarbechtsbedéngungen
worksheet	Aarbechtsblat
workday	Aarbechtsdag
occupational physician	Aarbechtsdokter
work permit	Aarbechtserlabnes
work	aarbechtsfäeg
labour law	Aarbechtsgesetz
work	Aarbechtsgezei
workgroup	Aarbechtsgrupp
work	Aarbechtskleedung
work	Aarbechtsklima
colleague	Aarbechtskolleeg
working conditions	Aarbechtskonditiounen
employment contract	Aarbechtskontrakt
labour force	Aarbechtskraaft
unemployment	Aarbechtslosegkeet
unemployment	Aarbechtslosenzuel
job market	Aarbechtsmaart
minister	Aarbechtsminister
workload	Aarbechtspensum
job	Aarbechtsplaz
procedure	Aarbechtsprozess
labour law	Aarbechtsrecht
rhythm	Aarbechtsrhythmus
work	Aarbechtssëtzung
employment	Aarbechtssituatioun
employment contract	Aarbechtsvertrag
work	Aarbechtszäit
workroom	Aarbechtszëmmer
axehandle	Aaxtestill
olive tree	Olivebam
breathlessness	Otemnout
antibody	Antikierper
asymptomatic	asymptomatesch
curfew	Ausgangsspär
self-isolation	Autoisolatioun
blood test	Bluttanalys
requirement	Caddieflicht
work	Aarbechtsgeschir
wages	Aarbechtsloun
workboot	Aarbechtsschong
workers	Aarbechtsleit
lampshade	Abat-jour
shelter	Abri
mahogany	Acajou
obstacle	Accroc
shopping trolley	Caddie
COVID-19	Coronarentrée
medical	Beootmungsapparat
medical	Beootmungsgerät
medical	Beootmungsmaschinn
cheche	Chèche
partial	Chômage partiel
game	Geeschterspill
health	Gesondheetsminister
herd immunity	Häerdenimmunitéit
common minnow	Ellchen
loan sharks	Aachtelchesleit
heads of household	Aalscht
Eupatorium cannabinum	Aapkraut
forefather	Virfar
single	celibataire
separated	vuneneen
engaged	verloobt
engaged	fiancéiert
stage	Liewensphas
stepbrother	Stéifbrudder
stepsister	Stéifschwëster
event	Ereegnes
Valentine's Day	Vältesdag
New Year's Day	Neijoerschdag
carnival	Fuesent
wedding day	Hochzäitsdag
Mother's Day	Mammendag
Father's Day	Pappendag
workman	Aarbechtsmann
spanking	Aaschbrigel
rectum	Aaschdaarm
plural	Méizuel
singular	Eenzuel
singular	Singulier
January	Haartmount
February	Spierkel
March	Aussenzäit
March	Lenzmount
April	Ouschtermount
April	Fréileng
May	Päischtmount
May	Oktavmount
May	Bléiemount
June	Broochmount
July	Heemount
August	Karschnatz
August	Broutschnatt
September	Huewermount
September	Hierschtmount
October	Wäimount
December	Chrëschtmount
November	Allerhellegemount
November	Wantermount
November	Reismount
mass	Abgestuerwemass
abhorrence	Abschei
abhorrence	Abscheilechkeet
foolish	Ablerei
bleak	Ablett
steelworks	Acierie
steelworks	Stolwierk
tomfoolery	Aferei
anal cleft	Aaschfuer
school	Scolariséierung
closing ceremony	Ofschlossbal
degree	Studienofschloss
end	Ofschloss
wedding dress	Brautkleed
wedding dress	Hochzäitskleed
fishing rod	Fëschrutt
staple	Agraff
anti-Semite	Antisemitt
workspace	Aarbechtsberäich
labour	Aarbechtskampf
workgroup	Aarbechtskrees
bracelet	Aarmband
wristwatch	Aarmbandauer
eighth final	Aachtelsfinall
crotchet	Aachtelsnout
eight	Aachtchen
heptagon	Siweneck
octagon	Aachteck
nonagon	Néngeck
cube	Küb
half-moon	Hallefmound
built-in	Abaukichen
position paper	Aarbechtspabeier
parting	Abschid
leaving do	Abschidsfest
advance payment	Akkont
adherence	Adhésioun
adoptive parents	Adoptivelteren
adoptive brother	Adoptivbrudder
adoptive son	Adoptivjong
adoptive child	Adoptivkand
adoptive daughter	Adoptivmeedchen
adoptive sister	Adoptivschwëster
idolatry	Afeléift
import	Afouer
stapler	Agrafeuse
aggression	Aggressioun
koine	Koiné
convince	iwwerzeegen
blessing	Seegen
ginger	Geimer
hot	gliddeg
hedgehog	Kéiseker
team	Ekipp
purchasing	Akaf
shopping basket	Akafskuerf
shopping trolley	Akafsweenchen
piece rate	Akkordloun
fishing hook	Aangelkreepchen
wall	Abauschaf
chocolate	Knippchen
dexterity	Geschécklechkeet
penny	Fenneg
doghouse	Hondshaischen
veterinarian	Déierendokter
adjoint	Adjoint
ophthalmologist	Aendokter
addendum	Ajoute
foundation	Fëllement
tiled	Zillendaach
metal	Alliage
alpinist	Alpinist
alpinist	Biergsteiger
bedroom	Schlofkummer
bedroom	Schlofzëmmer
stair	Träpplek
guest room	Friemenzëmmer
children	Kannerzëmmer
cafetière	Kaffisbiz
cafetière	Kaffiskrou
ditch	Griecht
sail	Seegel
sail	seegelen
rule	Reegel
pharmacist	Apdikter
purchasing agent	Akeefer
shopping	akafen
repurchase	erëmkafen
repurchase	zeréckkafen
buy	nokafen
ransom	fräikafen
copy	knäipen
