approbatur	A
optical	valo-opillinen
heliophilous	valohakuinen
photochemical	valokemiallinen
photographic	valokuvamainen
heliophobic	valopakoinen
power politics	valtapoliittinen
majority	valtioenemmistöinen
transnational	valtioidenvälinen
state	valtionjohtoinen
state finance	valtiontaloudellinen
political science	valtiotieteellinen
deficient	vajauksellinen
escape room	pakohuone
brother	velinen
wagonful	vaunulastillinen
plywood	vanerinen
old	vanhanmallinen
archaistic	vanhansävyinen
old	vanhantyylinen
padded	vanutäytteinen
substitute	varamiehinen
qualified	varauksellinen
charged	varauksinen
contrast	varjoainetehosteinen
stalk	varrellinen
clinging	vartalonmukainen
tight	vartalonmyötäinen
deliberate	vartavastinen
calflike	vasikkamainen
vasomotor	vasomotorinen
contraindicated	vasta-aiheinen
receptive	vastaanottavainen
responsive	vastaanottokykyinen
equivalent	vastaavankokoinen
equivalent	vastaavanlaatuinen
equivalent	vastaavanmuotoinen
equivalent	vastaavansuuruinen
equivalent	vastaavantyyppinen
reluctant	vastahankainen
grain	vastasukainen
reverse	vastasuuntainen
funded	vastikkeellinen
resistance	vastuksellinen
reluctant	vastustushaluinen
accountable	vastuuvelvollinen
Votic language	vatjankielinen
ventral	vatsanpuoleinen
gastroenteritis	vatsatautinen
upset stomach	vatsavaivainen
run-up	vauhdillinen
baby	vauvaikäinen
roguish	veijarimainen
paid	vekselivetoinen
venereological	venerologinen
Russian	venäläistyylinen
Veps language	vepsänkielinen
broadcloth	verkainen
mesh	verkkoseinäinen
parafiscal	veronluonteinen
capacity	veronmaksukykyinen
tax policy	veropoliittinen
allegoric	vertauksellinen
copsy	vesakkoinen
watery	vesinen
pertaining	vesioikeudellinen
water	vesipohjainen
hydrocephalous	vesipäinen
water	vesistöinen
environmentally friendly	vesistöystävällinen
water	vesitäytteinen
baize	boiji
psychrotrophic	psykrotrofinen
temple garment	temppeligarmentti
endowment	endaumentti
robotic vacuum cleaner	robotti-imuri
foundation garment	muotoileva alusvaate
log	seuna
Svir	Syväri
suksia suo	suksia suolle
Swede	svedu
trash	ihmisroska
notebookful	vihkollinen
substitute	viransijainen
charming	viehätysvoimainen
White Karelia	vienankarjalainen
export	vientivoittoinen
damn	vietävänmoinen
greenish	viheriäinen
drizzly	vihmainen
rubella	vihurirokkoinen
entertaining	viihteellinen
Viking time	viikinkiaikainen
weekly wage	viikkopalkkainen
moustached	viiksellinen
cold wind	viimainen
Christmas	viimejouluinen
time	viimekertainen
Sunday	viimepyhäinen
night	viimeöinen
boozy	viinainen
streaked	viiruinen
slant	viirusilmäinen
five person	viisihenkinen
fivefold	viisijakoinen
five	viisikerroksinen
five	viisikiloinen
five	viisimiehinen
five million	viisimiljoonainen
five	viisiminuuttinen
five	viisipenninen
five	viisipiikkinen
five	viisipäiväinen
five	viisirivinen
five	viisiruplainen
five	viisisakarainen
five	viisiviikkoinen
five	viisivuotinen
oblique	viistohampainen
hatchback	viistoperäinen
referential	viittauksellinen
referential	viittauksenomainen
sign language	viittomakielinen
lined	viivallinen
woolly	villakankainen
suffering	vilutautinen
furious	vimmainen
violet	violetinvärinen
official nature	virallisluonteinen
stimulating	virikkeellinen
officious	virkaintoinen
civil servant	virkamiesmäinen
official uniform	virkapukuinen
Estonian	vironkielinen
official capacity	virkasuhteinen
Swedish	vironruotsalainen
swift	virtainen
honor	hunööri
dull	kalsu
chatter	leksotella
celebrity	kusitolppa
kokemusta on	kokemusta on
attention whore	huomiohuora
YouTube	peukkuhuora
believe me	usko huviksesi
virtuosic	virtuoosimainen
virtuosic	virtuoosinen
virological	virusopillinen
viral	virusperäinen
curly birch	visakoivuinen
vitalistic	vitalistinen
vitaminic	vitamiinipitoinen
slow	vitkallinen
scourge	vitsauksenomainen
nuance	vivahteinen
yearning	voitonhaluinen
competitive	voitontahtoinen
seasonal	vuodenaikainen
seasonal	vuodenajoittainen
soapstone	vuolukivinen
lined	vuorillinen
daily	vuorokausittainen
alternating	vuorotahtinen
power politics	voimapoliittinen
decennial	vuosikymmeninen
centennial	vuosisatainen
millennial	vuosituhantinen
intensive	voimaperäinen
pin-up girl	pin-up-tyttö
poltergeist phenomenon	poltergeist-ilmiö
puffadder	puffadderi
puzzle game	puzzlepeli
rock movie	rockelokuva
rock club	rockklubi
rock lyrics	rocklyriikka
rock opera	rockooppera
Roquefort	roquefortjuusto
romaine	romainesalaatti
rugby team	rugbyjoukkue
rugby match	rugbyottelu
perforation	rei’ite
stomp	polkaisu
polymerizing	polymerointi
talking	pomilointi
bossing around	pomoilu
bouncing	pompahtelu
vaulting	ponkaisu
springing	ponnahtelu
popularizing	popularisointi
drilling station	poraamo
drilling repeatedly	porailu
borer	porari
bubbling	poreilu
alternating pace	vuorotahti
vomit	puklata
maiden	fröökynä
maternal insult	äitisi oli, kun sinua teki
dumb	järjenjättiläinen
flash	älynväläys
hydroxychloroquine	hydroksiklorokiini
edge	metsänranta
passenger car	peltilehmä
lousy hunting dog	kinnasvärkki
device	värkki
pornocrat	pornokraatti
pigging	porsastelu
Portland cement	portlandsementti
bourgeois ideology	porvarismi
postfix	postfiksi
post-Fordism	postfordismi
postcommunism	postkommunismi
postmenopause	postmenopaussi
teasing	pottuilu
bouncing	poukahtelu
bouncing	poukkoilu
academic ceremony	publiikki
dropping	pudottelu
wind player	puhaltaja
presidency	puheenjohtajisto
presidium	puhemiehistö
piercing	puhkaisu
village	puhto
accosting	puhuttelu
pouf	puhvi
tricker	puijari
attaching	puikkarointi
threshing cabin	puimala
bouquet	puketti
clothes	pukimo
changing room	pukkari
taking	pulikointi
drunkard	puliukko
chubby	pullero
normal	pulliainen
muscle	pullistelija
swelling	pullistelu
bottling plant	pullottamo
boulder	pulteri
pulverizer	pulverisaattori
bombazine	pumasiini
pile	pumaska
pumping station	pumppuamo
blushing	punastelu
punk music	punkmusiikki
weaver	punoja
weighing	puntarointi
spool	puolasto
half-miler	puolimaileri
assent	puolto
defending	puolustelu
shopkeeper	puotipuksu
resisting	pullikointi
margravine	rajakreivitär
hybrid interference	hybridivaikuttaminen
hybrid warfare	hybridisodankäynti
cyberthreat	kyberuhka
cyberwarfare	kybersodankäynti
information operation	informaatiovaikuttaminen
travois	purilas
squeezing	puristelu
unloader	purkain
dismantling place	purkamo
jarful	purkillinen
grumble	purnaaja
pile	purukasa
chewable tablet	purutabletti
pushing	pusku
pustule	pusteli
pudding	putinki
faller	putoaja
company	puulaaki
gleam	puunto
wardrobe	puvustamo
indenting	pykälöinti
pylon	pyloni
wriggling	pyristely
aspiration	pyrky
sprinting	pyrähtely
catcher	pyydystäjä
wiping	pyyhiskely
pleading	pyytely
requester	pyytäjä
rolling around	pyöriskely
rotating	pyörittely
round shape	pyörylä
spinning	pyörähtely
small wheel	pyöräke
wheelwork	pyörästö
pondering	pähkäily
complaining	päivittely
on call	päivystäjä
idiot	pälli
staring	pällistely
fungal cattle disease	pälvisilsa
glance	päly
glancer	pälyilijä
glancing	pälyily
pen	pännä
swot	pänttääjä
splash	pärsky
bow	pääksy
letting out	päästely
conclusion	päätäntö
child	kymmenen tikkua laudalla
Muslim country	muslimimaa
sear	sulkuvarmistin
data breacher	tietomurtaja
root vegetable	liemijuures
broth ladle	liemikauha
broth cup	liemikuppi
broth plate	liemilautanen
broth spoon	liemilusikka
soup	liemiruoka
concentrated bouillon	liemitiiviste
stove clock	liesikello
rangehood	liesikupu
silt layer	lietekerros
silt layer	lietekerrostuma
sludge compost	lietekomposti
slurry manure storage	lietelantala
alluvium	lietemaa
slurry plastering	lieterappaus
side effect	lieveilmiö
muscle sense	lihasaisti
muscle reflex	lihasheijaste
muscle weakness	lihasheikkous
muscle tension	lihasjännitys
muscle stiffness	lihasjäykkyys
muscle tumor	lihaskasvain
muscle pain	lihaskipu
muscle spasm	lihaskouristus
muscle fitness	lihaskunto
muscle fitness test	lihaskuntotesti
muscular effort	lihasponnistus
muscular dystrophy	lihasrappeuma
muscle strain	lihasrasitus
muscle reflex	lihasrefleksi
muscular rheumatism	lihasreuma
muscle strain	lihasrevähtymä
muscle disorder	lihassairaus
muscular contraction	lihassupistus
muscular atrophy	lihassurkastuma
muscular atrophy disease	lihassurkastumasairaus
muscle injury	lihasvamma
muscle strain injury	lihasvenähtymä
overdose	liika-annostus
overrepresentation	liikaedustus
overcutting	liikahakkuu
excessive tension	liikajännitys
overgrowth	liikakasvu
overloading	liikakuormitus
excess demand	liikakysyntä
overuse	liikakäyttö
excess	liikamäärä
overweight	liikapaino
overexploitation	liikapyynti
overstrain	liikarasitus
hyperactivity	liikatoiminta
overproduction	liikatuotanto
excessive fatigue	liikaväsymys
wishing	virvonta
state machine	tilakone
balance scale	tasapainovaaka
fool	pöhlö
structure	pömpeli
food	pöperö
fur	pörrö
flaunting	pöyhkeily
dragging	raahailu
maturing	raakakypsytys
unfinished	raakilemaisuus
ink rubber	raapekumi
judge	raatilainen
rabulism	rabulismi
rabulist	rabulisti
radioing	radiointi
radio operator	radisti
radon content	radonpitoisuus
refining	raffinointi
showiness	raflaavuus
raglan sleeve	raglanhiha
funding	rahastointi
pennilessness	rahattomuus
plutocracy	rahavaltaisuus
cargo pilot	rahtari
boisterous	raikuli
liveliness	railakkuus
forest	raiskio
boisterousness	raisuus
rail	raiteisto
raving madness	raivohulluus
trimmer	raivuri
limitedness	rajallisuus
unlimitedness	rajoittamattomuus
granularity	rakeisuus
building	rakentelu
lovelessness	rakkaudettomuus
fissuring	rakoilu
crackling	raksahtelu
singing carefree	rallattelu
lameness	rampuus
punishability	rangaistavuus
ranking list	rankinglista
reporting	raportointi
stair	rappunen
crumbly	rapsakka
fine	rapsu
crackling	rasahtelu
racistness	rasistisuus
painfulness	rasittavuus
greasiness	rasvaisuus
rectangular	närte
equalization tax	tasausvero
income equalization	tulontasaus
rationalizer	rationalisoija
rationalizing	rationalisointi
solution orientation	ratkaisukeskeisyys
Christianity	ratkaisukristillisyys
solver	ratkoja
steel worker	raudoittaja
restlessness	rauhattomuus
cowardliness	raukkamaisuus
cowardly	raukkis
briskness	ravakkuus
rich	ravinteisuus
nutritiousness	ravitsevuus
realness	reaalisuus
reactant	reaktantti
referent	referentti
summarizer	referoija
summarizing	referointi
reflectivity	reflektiivisyys
reflect	reflektoida
reflector	reflektori
condition	reflektorisuus
reformer	reformaattori
regionality	regionaalisuus
reglement	reglementti
self-importance	rehvakkuus
bragging	rehvastelu
bolt	reikeli
interrailer	reilaaja
brave	reippailu
acting up	reistailu
raver	reivaaja
reject	rejekti
license number	rekkari
reclamation	reklamointi
relish	relissi
renovating	remontointi
renovation	remppa
celebrate	remuaja
bander	rengastaja
acting	renttuilu
tatteredness	repaleisuus
replicating	replikointi
picking apart	repostelu
republicanism	republikanismi
thrillingness	repäisevyys
ripping	repäisy
reviewer	resensentti
paha saa palkkansa	paha saa palkkansa
storage space	irtaimistovarasto
storage space	asuntosäilö
space	säilytystila
rack	varastohylly
electric pallet jack	lavansiirtovaunu
hentai	hentsu
resident	residentti
reciprocity	resiprookki
reciting	resitointi
retinitis	retiniitti
retinoschisis	retinoskiisi
rhetoricalness	retorisuus
rag	reuhake
reversal	reversaali
reviser	reviisori
reveling	revittely
fuss	revohka
festival	rieha
jubilance	riemukkuus
rushing	riento
whacking	riepottelu
small	rieskanen
lecher	rietastelija
behaving lecherously	rietastelu
rigoristicness	rigoristisuus
rhyming	riimittely
disputedness	riitaisuus
drawing	riitinki
quarreling	riitely
sufficiency	riittoisuus
insufficiency	riittämättömyys
wooing	riiustelu
enrichment plant	rikastamo
enricher	rikastuttaja
brokenness	rikkinäisyys
cheekiness	rikkiviisaus
breaker	rikkoja
unbrokenness	rikkomattomuus
entertainment	rillumarei
having fun	rilluttelu
night	rimpsa
struggling	rimpuilu
ringing	rimputtelu
comparable	rinnaste
appositivity	rinnasteisuus
large breast	rintavuus
sprinkling	ripottelu
having diarrhea	ripulointi
hanging	ripustelu
crackling	risahtelu
brokenness	risaisuus
flower	ristikki
crossed	ristikkäisyys
contradictoriness	ristiriitaisuus
briskness	riuskuus
rival	rivaali
briskness	rivakkuus
event	jakajaiset
roll-on roll-off vessel	ro-ro-alus
deck	luhtikäytävä
deck	luhtitalo
fractional ownership residence	osaomistusasunto
apartment	puutalo-osake
mennä yli hilse	mennä yli hilseen
big	rohjake
big	rohjo
hoarder	rohmuaja
lob	roikku
chase	roilo
Romanistics	romanistiikka
group	ronkka
shoe	ronttonen
Roman Catholicism	roomalaiskatolilaisuus
litterer	roskaaja
filthiness	roskaisuus
robber	rosmo
jaggedness	rosoisuus
underfloor	rossipohja
acting	rosvoilu
organization	rotaryjärjestö
clunker	rotisko
clunker	rottelo
crushing mill	rouhimo
kibble	rouhos
munching	rouskuttelu
addressing	rouvittelu
regalness	ruhtinaallisuus
roll	ruladi
writing	runoilu
poeticness	runollisuus
poem collection	runosto
poeticness	runottomuus
disfiguring	runtelu
meal break	ruokis
rustiness	ruosteisuus
untidiness	ruokottomuus
Swedish	ruotsinmielisyys
Swedish translation	ruotsinnos
Sweden	ruotsinruotsalainen
translator	ruotsintaja
dominate	ruotsinvoittoisuus
traditional dish	ruppana
smallpox	rupuli
riffraff	rupusakki
tracery	ruususto
rosette	ruusunen
corporality	ruumiillisuus
congested	ruuhkaisuus
routineness	rutiinimaisuus
device	rustinki
rustic style	rustiikki
scribbling	rustailu
Russianist	russisti
winnowing fan	löyhytin
spike	sorppa
straightness	ryhdikkyys
bad posture	ryhdittömyys
grouping	ryhmittely
group leader	ryhmyri
clear one's throat	ryiskely
clearing one's throat	rykäisy
rumbling	rymistely
assault rifle	rynnäri
rushing	ryntäily
charge	ryntö
measure	rypistyvyys
messing with	ryppyily
wrinkledness	ryppyisyys
frowning	ryppyotsaisuus
crashing	rysähtely
rhythmicality	rytmikkyys
rhythmicality	rytmillisyys
rhythmicality	rytmisyys
fallen tree	rytö
tippling	ryypiskely
looting	ryöstely
rumbling	rähinöinti
splashing	räiskähtely
explosivity	räjähdysherkkyys
explosion accident	räjähdysonnettomuus
explosive strength	räjähdysvoimakkuus
exploding	räjähtely
blaster	räjäyttäjä
yapper	räksyttäjä
medieval class	rälssi
list	rämpsy
loudness	rämäkkyys
recklessness	rämäpäisyys
hothead	rämäpää
ramshackleness	ränsistyneisyys
acting	räpiköinti
frail	räpiskä
acting	räpistely
blinking	räpsähtely
fluttering	räpyttely
rattle	räpättäjä
blabbermouthed woman	räpätäti
making	räsähtely
bill	rätinki
boldness	räväkkyys
ruffian	räyhääjä
animal abuser	rääkkääjä
tailoring	räätälöinti
obscenity	räävittömyys
squacco heron	rääkkähaikara
crew	ekipaasi
garland	girlandi
fortochka	fortuska
neck strap	harjustin
sow	imisä
coupé	kupee
draft pole	ojas
snort	tuhahdus
concave	onteva
splinter	sälö
wave	huiskua
small strip	liuskale
swamp esker	murtomaa
clear	kajakka
capote	kapotti
ogee	karniisi
split log	kelles
lure	juksa
vamp	kauto
fabric	kutous
sleigh	ajelureki
backstay	takale
toecap	kärjys
shearling	kelsi
canvas	kanvaasi
insole	pinkopohja
tear strength	repimislujuus
covering up	salailu
grunt	röhkäisy
forming runners	rönsyily
shanty	rötiskö
commit	rötöstelijä
committing crime	rötöstely
puffing up	röyhistely
burping	röyhtäily
creditor	saamamies
Sami language	saamenkielisyys
eligibility	saantokelpoisuus
walk	saapastelija
walking	saapastelu
islander culture	saaristolaiskulttuuri
encirclement	saarros
foulness	saastaisuus
pollution	saasteettomuus
pollutedness	saasteisuus
Satanic	saatanallisuus
escorting	saattelu
fabled	sadunomaisuus
body	sadusto
lunch break	safkis
sawing	sahailu
saffian	sahviaani
ailing	sairastelu
morbidity	sairastuvuus
stinginess	saituus
sacristy	sakasti
sacral	sakraali
German	saksmanni
appetizer	sakuska
insidiousness	salakavaluus
secretiveness	salaperäisyys
furtiveness	salavihkaisuus
permissibility	sallivuus
appropriateness	salonkikelpoisuus
congeniality	samanhenkisyys
same price	samanhintaisuus
same age	samanikäisyys
likemindedness	samanmielisyys
similar shape	samanmuotoisuus
alikeness	samannäköisyys
having	samapalkkaisuus
exhausted	sippi
broomrape	näive
honeywort	vahakukka
sardonyx	sardonyksi
samba dancer	sambaaja
extinguish	sammuttaja
turning off	sammuttelu
wanderer	samooja
chamotte	samotti
sampan	sampaani
sanforization	sanforointi
heroicalness	sankarillisuus
denseness	sankkuus
sanctioning	sanktiointi
press	sanomalehdistö
sandalwood	santeli
biliousness	sapekkuus
sedged area	saraikko
hinging	saranointi
person	sarjalainen
sarcasticness	sarkastisuus
shashlik	saslikki
hundred	satamarkkanen
hundred	sataruplanen
raininess	sateisuus
high yield	satoisuus
felicity	sattuvuus
telling tale	satuilu
smoking	sauhuttelu
seamer	saumaaja
seamlessness	saumattomuus
sauna overseer	saunottaja
handle	saverikko
Savonian	savolaisuus
working	savotointi
selectivity	selektiviteetti
suburb	Hervanta
Hervanta	Herwood
official authority	virkavalta
character design	hahmosuunnittelu
character designer	hahmosuunnittelija
joker valve	jokeriventtiili
halter	seisauttaja
stagnation	seisetila
stander	seisoja
standing	seisoskelu
noninterference	sekaantumattomuus
messiness	sekaisuus
mixedness	sekakoosteisuus
miscellaneousness	sekalaisuus
craziness	sekapäisyys
mixed-breed	sekarotuisuus
chaoticness	sekasortoisuus
mucking around	sekoilu
mixing	sekoittelu
madness	sekopäisyys
sexiness	seksikkyys
sexistness	seksistisyys
secularist	sekularisti
secularism	sekularistisuus
secondariness	sekundaarisuus
stopwatch	sekundaattori
making excuse	selittely
explainer	selittäjä
unexplainability	selittämättömyys
wilderness	selkonen
clarification	selvennös
investigator	selvittäjä
distinctness	selväpiirteisyys
cementing	sementointi
semioticist	semiootikko
sensualness	sensuaalisuus
sentimentalness	sentimentaalisuus
centralism	sentralismi
centralization	sentralisointi
centrifuging	sentrifugointi
separating	separointi
ballasting	sepelöinti
fabling	sepittely
fabulist	sepittäjä
wreathing	seppelöinti
commentator booth	selostamo
play into someone's hands	pelata jonkun pussiin
bird cherry forest	tuomikko
corrosive sublimate	sublimaatti
longboat	barkassi
bayonet	painetti
waxed end	pikilanka
rafter rod	selkoin
father	isiö
mother	äitiö
limestick	liimatikku
sherbet	serbetti
cousin	serkkunen
cousinhood	serkkuus
serologist	serologi
shirting	sertinki
serviette	servietti
couch	seslonki
seasonality	sesonkiluonteisuus
banknote	setelistö
Sethianism	setiläisyys
setter	setteri
Seto	setukainen
avuncularity	setämäisyys
sift	seulos
following	seurailu
outgoingness	seurallisuus
travel companion	seuramatkalainen
cheviot	seviotti
tolerability	siedettävyys
unscrupulousness	siekailemattomuus
soulfulness	sielukkuus
sip	siemaisu
inseminator	siementäjä
unbearability	sietämättömyys
nemophila	sievikki
sugarcoating	sievistely
cuteness	sievyys
chiffon scarf	sifonkihuivi
sightseeing bus	sightseeingbussi
signaling	signalointi
call number	signumi
aiming	sihtailu
looming	siinto
moving	siirtely
Karelian	siirtokarjalainen
mover	siirtäjä
assist	siivittäjä
cleanliness	siivollisuus
dirtiness	siivottomuus
placing	sijoittelu
behaving	sikailu
being	sikamaisuus
fertility	sikiävyys
patting	silittely
quality	siliävyys
budding	silmikointi
thimble	silmuri
eyeing	silmäily
glancing	silmäisy
visualness	silmämääräisyys
freedom fighter	vapaustaistelija
United States of Europe	Euroopan yhdysvallat
getter	getteri
person	yksinasuja
muisti	muistiinpaneminen
missing	missaaminen
invalidating	mitätöiminen
becoming invalidate	mitätöityminen
making	moiskahtaminen
ringing out	mojahtaminen
thudding	moksahtaminen
babbling	molottaminen
splashing	molskahtaminen
mumbling	mongertaminen
kicking	monottaminen
motorizing	moottoroiminen
mopping	moppaaminen
dissing	morkkaaminen
motivating	motivoiminen
becoming motivated	motivoituminen
hammering	moukaroiminen
caterwauling	mouruaminen
making out	muhinoiminen
coming to mind	muistuminen
thudding	muksahtaminen
plopping	mulahtaminen
suddenly twisting	muljahtaminen
suddenly twisting	muljauttaminen
scowling	mulkaiseminen
leering	mulkoileminen
profoundly	mullistaminen
replacing	mullittaminen
splashing	mulskahtaminen
screwing up	munaaminen
provisioning	muonittaminen
covering	muovittaminen
growling	murahtaminen
worrying	murehtiminen
murdering	murhaaminen
sulking	murjottaminen
eating	murkinoiminen
barricading	murrostaminen
eating loudly	mussuttaminen
blackening	mustaaminen
muttering	mutiseminen
mummifying	muumioiminen
hatching	munittaminen
work	wörkkiä
smoothness	siloisuus
SIM card	simmi
hazer	simputtaja
chemisette	simsetti
simulating	simulointi
simultaneity	simultaanisuus
stapling	sinkilöinti
hanging on	sinnittely
squinting	siristely
chip	sirunen
chiseling	siselöinti
gutsiness	sisukkuus
decorator	sisustaja
tying	sitaisu
sitarist	sitaristi
tier	sitoja
bindery	sitomo
sitostanol	sitostanoli
nonaligned	sitoutumattomuus
bindingness	sitovuus
succade	sitronaatti
bemoaning	siunailu
blessedness	siunauksellisuus
service	siunaustilaisuus
ethicalness	siveellisyys
brush stroke	siveltimenveto
painting	sively
uneducatedness	sivistymättömyys
civilizedness	sivistyneisyys
side	sivujäsenyys
crossfall	sivukaltevuus
bystandership	sivullisuus
reproacher	soimaaja
sonorousness	soinnikkuus
toned	soinnillisuus
sonorousness	soinnullisuus
swampiness	soisuus
music	soitanto
piece	soite
splutterer	sönköttäjä
acting cute	söpöily
gravy train	hillotolppa
smiling contentedly	myhäileminen
muting	mykistäminen
milling	myllyttäminen
bellowing	mylvähtäminen
rotting	mädättäminen
splashing	mäiskyttäminen
smacking	mäiskähtäminen
thudding	mäjähtäminen
bleating	mäkättäminen
munching	mässyttäminen
gourmandizing	mässäileminen
thudding	mätkähtäminen
whacking	mätkäyttäminen
mounding	mätästäminen
defining	määritteleminen
determine	määräytyminen
messing up	möhliminen
sulking	mököttäminen
speech	mölähtäminen
blurting	möläyttäminen
babbling	mölöttäminen
crawling	mönkiminen
growling	mörähtäminen
parallelizing	yhdensuuntaistaminen
integrating	yhdentäminen
personalizing	yksilöiminen
reaching	ylettyminen
reaching	ylettäminen
ennobling	ylevöittäminen
overclocking	ylikellottaminen
praising	ylistäminen
being	yllättyminen
surprising	yllättäminen
zooming	zoomaaminen
doing philately	postimerkkeileminen
raising	ylentäminen
punching	rei’ittäminen
making parallel	samansuuntaistaminen
linked	sukupuolittuminen
confiscating	takavarikoiminen
balancing	tasapainoileminen
making	tasapuolistaminen
making homogenous	tasapäistäminen
transliterating	translitteroiminen
transplanting	transplantoiminen
transposing	transponoiminen
mainstreaming	valtavirtaistaminen
streamlining	virtaviivaistaminen
empowerment	voimavaraistaminen
ballot	äänestyslipuke
clerk	liikeapulainen
business matter	liikeasia
exercise therapy	liikehoito
commercial premises	liikehuoneisto
business idea	liikeidea
business street	liikekatu
business center	liikekeskus
chain	liikeketju
commercial property	liikekiinteistö
business letter	liikekirje
dynamic friction	liikekitka
business partner	liikekumppani
business accounting	liikelaskenta
business lunch	liikelounas
business traveller	liikematkustaja
commercial designation	liikemerkintä
business deliberation	liikeneuvottelu
carrier	liikenteenharjoittaja
traffic signaller	liikenteenohjaaja
traffic signalling	liikenteenohjaus
traffic controller	liikenteenvalvoja
traffic control	liikenteenvalvonta
circulating capital	liikepääoma
commercial development	liikerakentaminen
commercial risk	liikeriski
sequence	liikesarja
business relationship	liikesuhde
direction	liikesuunta
business house	liiketalo
movement therapy	liiketerapia
disqualification	liiketoimintakielto
transfer	liiketoimintasiirto
business plan	liiketoimintasuunnitelma
business environment	liiketoimintaympäristö
logo	liiketunnus
business associate	liiketuttava
business acquaintance	liiketuttavuus
business employer	liiketyönantaja
business employee	liiketyöntekijä
sales tax court	liikevaihtovero-oikeus
business taxation	liikeverotus
business communication	liikeviestintä
business correspondence	liikekirjeenvaihto
unit	analyysiyksikkö
bowl	keilaus
societalization	yhteiskunnallistuminen
ensemble	soittajisto
playing	soittelu
instrumentation	soittimisto
blinding	sokaisu
labyrinthine	sokkeloisuus
slenderness	solakkuus
somatizing	somatisointi
decorator	somistaja
window dressing company	somistamo
composing	sommittelu
sonant	sonantti
soloing	sooloilu
spluttering	sopertelu
unadaptability	sopeutumattomuus
suitability	sopivuus
appearing	sopuilu
amicability	sopuisuus
acting	sopulointi
harmoniousness	sopusointuisuus
proportionateness	sopusuhtaisuus
burring	sorakielisyys
fingering	sormeilu
soroptimist	soroptimisti
sorption	sorptio
oppressed	sorronalaisuus
oppressor	sortaja
assortment	sortimentti
lathe operator	sorvaaja
making	sorvailu
sociality	sosiaalisuus
socializing	sosialisointi
society	sosieteetti
sociodrama	sosiodraama
sociography	sosiografia
sociometry	sosiometria
militariness	sotilaallisuus
desertion	sotilaskarkuruus
messer	sotkija
rowing	soutelu
suitability	soveliaisuus
conformism	sovinnaisuus
amicability	sovinnollisuus
ear pump	korvapumppu
regular customer	vakioasiakas
ignore	jättää omaan arvoonsa
rear window grille	huoranportaat
suggestiveness	suggestiivisuus
whooshing	suhahtelu
cycle	suhdanneherkkyys
disproportionateness	suhteettomuus
shredding	suikalointi
long	suikero
side cap	suikka
long	suikula
fluency	sujuvuus
bristle	sukanen
shuttling	sukkulointi
related	sukuisuus
smoothness	sulavuus
sulfonamide	sulfonamidi
withdrawnness	sulkeutuneisuus
sweetness	suloisuus
sweetness	sulokkuus
gracelessness	sulottomuus
summariness	summaarisuus
summariness	summittaisuus
Sunnism	sunnalaisuus
filtrate	suodos
Finnish championship	suomenmestaruus
Finnish	suomenmielisyys
forthrightness	suoraluonteisuus
bluntness	suorasukaisuus
straight line	suoraviivaisuus
straightening	suoristelu
effector	suorittaja
graciousness	suosiollisuus
recommender	suosittaja
recommending	suosittelu
popularity	suosituimmuus
refusing	suostumattomuus
persuading	suostuttelu
desirability	suotavuus
favorability	suotuisuus
whispering	supattelu
reducer	supistaja
contracting	supistelu
typical	supisuomalaisuus
supplement	suplementti
wordcraft	supliikki
suppletion	suppletivismi
supernaturalism	supranaturalismi
superconductive state	supratila
needless to say	sanomattakin lienee selvää
i.e	tahtoo sanoa
quality	samikset
surfing	surffailu
bemoaning	surkeilu
bemoaning	surkuttelu
carefreeness	suruttomuus
thrusting	survaisu
mayfly	surviainen
mash	survos
conman	sutki
kiss	suukkonen
oralness	suullisuus
kiss	suunanto
unscheduled	suunnittelemattomuus
direct	suuntaaja
direction	suuntaisuus
radio direction finder	suuntimo
pretentiousness	suurellisuus
magnificence	suurenmoisuus
enlargement	suurennos
exaggerating	suurentelu
grandness	suurieleisyys
pompousness	suurisanaisuus
ambitiousness	suurisuuntaisuus
laboriousness	suuritöisyys
loudness	suuriäänisyys
roughness	suurpiirteisyys
large	suurkapitalismi
large	suurkapitalisti
working	suutarointi
kisser	suutelija
kiss	suutelo
sexualness	suvullisuus
asexualness	suvuttomuus
warmhearted	sydämellisyys
heartlessness	sydämettömyys
spitting	syljeskely
spitter	sylkijä
pulsation	sykkeisyys
spitting	sylkäisy
symbiotic	symbioottisuus
symbolist	symbolisti
sympathectomy	sympatektomia
syndicalism	syndikalismi
syndicalist	syndikalisti
bigmouthed	suurisuisuus
nature site	luontokohde
nostalgic	jonnet ei muista
directional stability	suuntavakaus
nominal level	nimellistaso
synergist	synergisti
thinking	synkistely
gloominess	synkkämielisyys
syncretism	synkretismi
synchrony	synkronia
synchronism	synkronismi
sinfulness	synnillisyys
innateness	synnynnäisyys
syntheticness	synteettisyys
synthetism	syntetismi
synthesizing	syntetisointi
sinfulness	syntisyys
birth rate	syntyneisyys
person	syrjäkyläläinen
systemicness	systeemisyys
systematicness	systemaattisuus
organizing	systematisointi
systematizing	systemointi
ignitability	syttymisherkkyys
flammability	syttyvyys
igniter	sytyttäjä
profoundness	syvällisyys
attributability	syyksiluettavuus
criminal	syyntakeettomuus
criminal	syyntakeisuus
prosecutor	syyttäjistö
hunger striker	syömälakkolainen
uneaten	syömättömyys
scraps	syönnös
incorrodibility	syöpymättömyys
binging	syöpöttely
